benchmark,condition,units,native,eessi,theoretical_peak,native_pct_of_peak,eessi_pct_of_peak,portability_tax_pct
osu_bw,intra_pkg_OAM0 @ 1 MiB,GB/s,61.42,57.67,200.0,30.7,28.8,6.1
osu_bw,intra_pkg_OAM0 @ 32 MiB,GB/s,148.05,147.18,200.0,74.0,73.6,0.59
osu_bw,inter_pkg_2link_06 @ 1 MiB,GB/s,44.47,42.62,100.0,44.5,42.6,4.16
osu_bw,inter_pkg_2link_06 @ 32 MiB,GB/s,77.22,76.87,100.0,77.2,76.9,0.45
osu_bw,inter_pkg_1link_02 @ 1 MiB,GB/s,28.68,27.86,50.0,57.4,55.7,2.87
osu_bw,inter_pkg_1link_02 @ 32 MiB,GB/s,39.12,39.04,50.0,78.2,78.1,0.19
osu_bw,routed_07 @ 1 MiB,GB/s,41.64,39.75,,,,4.54
osu_bw,routed_07 @ 32 MiB,GB/s,69.98,69.88,,,,0.14
osu_bibw,intra_pkg_OAM0 @ 32 MiB,GB/s,278.68,277.52,400.0,69.7,69.4,0.42
osu_latency,intra_pkg_OAM0 @ 8 B,us,0.52,0.49,,,,-5.77
osu_latency,intra_pkg_OAM0 @ 1 KiB,us,2.53,14.83,,,,486.17
osu_allreduce,N=8 @ 4 B,us,2.74,4.77,,,,74.09
osu_allreduce,N=8 @ 64 KiB,us,92.13,164.39,,,,78.43
osu_allreduce,N=8 @ 1 MiB,us,325.42,197.58,,,,-39.28
osu_alltoall,N=8 @ 4 B,us,5.94,6.94,,,,16.84
osu_alltoall,N=8 @ 64 KiB,us,200.24,130.02,,,,-35.07
osu_alltoall,N=8 @ 1 MiB,us,428.91,356.35,,,,-16.92
osu_bcast,N=8 @ 4 B,us,0.48,1.97,,,,310.42
osu_bcast,N=8 @ 64 KiB,us,51.97,92.43,,,,77.85
osu_bcast,N=8 @ 1 MiB,us,138.69,121.16,,,,-12.64
osu_allgather,N=8 @ 4 B,us,3.57,16.47,,,,361.34
osu_allgather,N=8 @ 64 KiB,us,183.18,99.27,,,,-45.81
osu_allgather,N=8 @ 1 MiB,us,369.58,305.26,,,,-17.4
