################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
  [run 1/6] warm-up — 20:50:25
  [run 1/6] warm-up done in 19s
  [run 2/6] recording — 20:50:44
  [run 2/6] done in 11s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.77
2                       7.53
4                      15.09
8                      30.27
16                     56.73
32                    120.98
64                    222.31
128                   463.63
256                    61.27
512                   123.98
1024                  249.39
2048                  497.73
4096                  972.69
8192                 1826.76
16384                3650.11
32768                6860.10
65536               13241.35
131072              24657.96
262144              41511.52
524288              73261.89
1048576            114477.87
2097152            160588.42
4194304            225196.17
8388608            249465.78
16777216           268441.59
33554432           277687.64
67108864           281971.70
  [run 3/6] recording — 20:50:55
  [run 3/6] done in 10s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.63
2                       7.26
4                      14.44
8                      29.14
16                     58.61
32                    116.93
64                    228.20
128                   448.51
256                    62.48
512                   124.83
1024                  248.46
2048                  497.48
4096                  941.52
8192                 1764.99
16384                3513.38
32768                6539.58
65536               12683.08
131072              23967.27
262144              41247.07
524288              73191.54
1048576            114770.02
2097152            161877.85
4194304            225501.40
8388608            249084.27
16777216           267413.73
33554432           277516.30
67108864           281252.78
  [run 4/6] recording — 20:51:05
  [run 4/6] done in 10s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.68
2                       7.39
4                      14.80
8                      29.69
16                     59.55
32                    118.77
64                    232.78
128                   455.13
256                    62.17
512                   124.41
1024                  247.40
2048                  496.34
4096                  950.96
8192                 1798.99
16384                3581.65
32768                6757.96
65536               13064.69
131072              24249.34
262144              41470.93
524288              73611.77
1048576            114757.11
2097152            161108.41
4194304            225694.89
8388608            249217.88
16777216           268578.30
33554432           277862.31
67108864           281625.74
  [run 5/6] recording — 20:51:15
  [run 5/6] done in 10s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.70
2                       7.38
4                      14.77
8                      28.24
16                     59.30
32                    118.51
64                    233.01
128                   455.78
256                    62.01
512                   123.47
1024                  241.79
2048                  491.65
4096                  933.91
8192                 1769.96
16384                3518.47
32768                6660.03
65536               12991.40
131072              23989.41
262144              41469.71
524288              73319.46
1048576            114640.59
2097152            161050.24
4194304            225722.59
8388608            249442.44
16777216           268444.23
33554432           277377.09
67108864           281221.93
