################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
  [run 1/6] warm-up — 20:50:27
  [run 1/6] warm-up done in 9s
  [run 2/6] recording — 20:50:36
  [run 2/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.63
2                       9.09
4                      18.23
8                      36.75
16                     72.90
32                    141.28
64                    274.56
128                   535.06
256                   521.66
512                   935.41
1024                  884.00
2048                 1777.54
4096                 3463.71
8192                 1879.24
16384                3770.54
32768                7145.51
65536               13895.61
131072              26118.86
262144              45443.55
524288              80991.86
1048576            120571.59
2097152            165084.60
4194304            228847.93
8388608            253099.50
16777216           270378.22
33554432           279042.85
67108864           282630.40
  [run 3/6] recording — 20:50:44
  [run 3/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.63
2                       9.18
4                      18.32
8                      36.81
16                     72.91
32                    142.45
64                    273.89
128                   535.73
256                   522.96
512                   939.10
1024                  890.63
2048                 1766.33
4096                 3477.29
8192                 1878.68
16384                3745.74
32768                7071.10
65536               13795.23
131072              25921.65
262144              45019.82
524288              80334.05
1048576            119608.52
2097152            164462.66
4194304            229093.18
8388608            252159.47
16777216           270187.23
33554432           278100.49
67108864           281441.67
  [run 4/6] recording — 20:50:52
  [run 4/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.82
2                       9.44
4                      18.92
8                      37.83
16                     75.83
32                    146.71
64                    280.63
128                   548.92
256                   522.12
512                   949.92
1024                  919.99
2048                 1818.65
4096                 3546.91
8192                 1941.03
16384                3876.41
32768                7364.06
65536               14266.66
131072              26819.91
262144              45851.35
524288              81264.28
1048576            120586.66
2097152            165806.77
4194304            228415.69
8388608            252222.15
16777216           270170.24
33554432           279149.98
67108864           281803.50
  [run 5/6] recording — 20:51:00
srun: Step created for StepId=18634054.4
  [run 5/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.78
2                       9.41
4                      18.79
8                      37.77
16                     75.39
32                    146.78
64                    283.66
128                   547.38
256                   520.48
512                   950.97
1024                  901.46
2048                 1782.28
4096                 3487.31
8192                 1900.22
16384                3780.65
32768                7179.36
65536               13976.88
131072              26272.44
262144              45198.65
524288              79984.64
1048576            119382.24
2097152            164731.54
4194304            228340.30
8388608            252317.89
16777216           269985.59
33554432           278413.31
67108864           281908.35
  [run 6/6] recording — 20:51:08
  [run 6/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.63
2                       9.12
4                      18.25
8                      36.40
16                     73.08
32                    141.59
64                    273.30
128                   535.67
256                   521.53
512                   932.69
1024                  898.40
2048                 1774.39
4096                 3471.80
8192                 1886.72
16384                3769.68
32768                7155.10
65536               13935.07
131072              26198.59
262144              45264.43
524288              80375.89
1048576            119567.80
2097152            164477.53
4194304            227694.07
8388608            252216.20
16777216           269692.09
33554432           278675.62
67108864           281012.88

# [native sdma=0] intra_pkg_OAM1  GCD(2,3) tier=intra_pkg links=4
  [run 1/6] warm-up — 20:51:16
  [run 1/6] warm-up done in 8s
  [run 2/6] recording — 20:51:24
srun: Step created for StepId=18634054.7
  [run 2/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.65
2                       9.16
4                      18.39
8                      36.68
16                     73.14
32                    143.04
64                    277.01
128                   533.04
256                   523.28
512                   927.20
1024                  886.80
2048                 1777.34
4096                 3465.12
8192                 1871.41
16384                3739.66
32768                7048.10
65536               13641.78
131072              25388.26
262144              42700.59
524288              75457.52
1048576            115412.47
2097152            163128.82
4194304            226614.48
8388608            250306.41
16777216           268511.00
33554432           277272.04
67108864           281755.48
  [run 3/6] recording — 20:51:32
  [run 3/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.58
2                       9.15
4                      18.19
8                      36.54
16                     72.92
32                    141.48
64                    271.59
128                   528.29
256                   520.46
512                   936.42
1024                  839.29
2048                 1666.75
4096                 3283.87
8192                 1868.00
16384                3708.28
32768                6903.88
65536               13478.23
131072              24955.06
262144              42271.50
524288              75333.11
1048576            115671.13
2097152            162750.82
4194304            226722.50
8388608            249118.32
16777216           268357.43
33554432           278235.72
67108864           282384.30
  [run 4/6] recording — 20:51:40
  [run 4/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.71
2                       9.14
4                      18.73
8                      37.30
16                     74.09
32                    142.57
64                    276.93
128                   541.08
256                   524.09
512                   958.64
1024                  897.50
2048                 1755.31
4096                 3466.77
8192                 1792.30
16384                3567.36
32768                6692.87
65536               12998.03
131072              24046.19
262144              41810.33
524288              74131.87
1048576            113732.79
2097152            161298.70
4194304            226518.78
8388608            249162.43
16777216           267556.10
33554432           276629.77
67108864           281379.63
  [run 5/6] recording — 20:51:48
  [run 5/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.58
2                       9.10
4                      18.09
8                      36.34
16                     72.77
32                    141.66
64                    274.03
128                   529.36
256                   519.26
512                   917.83
1024                  886.40
2048                 1758.79
4096                 3431.56
8192                 1865.10
16384                3720.44
32768                7089.69
65536               13583.05
131072              25245.96
262144              42564.67
524288              75675.31
1048576            116065.38
2097152            162365.02
4194304            226415.19
8388608            249663.01
16777216           268025.05
33554432           277657.54
67108864           282146.11
  [run 6/6] recording — 20:51:56
  [run 6/6] done in 9s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.56
2                       9.12
4                      18.20
8                      36.56
16                     72.75
32                    142.00
64                    274.20
128                   526.84
256                   518.53
512                   939.47
1024                  903.36
2048                 1789.49
4096                 3500.40
8192                 1871.66
16384                3726.31
32768                6869.81
65536               13236.69
131072              24800.72
262144              42347.80
524288              75317.77
1048576            115283.16
2097152            162040.20
4194304            227383.20
8388608            251287.60
16777216           269275.71
33554432           277162.85
67108864           281563.82

# [native sdma=0] intra_pkg_OAM2  GCD(4,5) tier=intra_pkg links=4
  [run 1/6] warm-up — 20:52:05
  [run 1/6] warm-up done in 8s
  [run 2/6] recording — 20:52:13
  [run 2/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.58
2                       9.08
4                      18.29
8                      36.53
16                     72.67
32                    141.96
64                    274.31
128                   533.28
256                   517.86
512                   930.23
1024                  885.17
2048                 1758.48
4096                 3439.00
8192                 1803.76
16384                3577.29
32768                6794.10
65536               13206.36
131072              24673.13
262144              41495.23
524288              73836.71
1048576            113077.04
2097152            160200.82
4194304            225597.29
8388608            249489.10
16777216           268237.79
33554432           276679.84
67108864           281199.96
  [run 3/6] recording — 20:52:21
  [run 3/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.61
2                       9.11
4                      18.24
8                      36.56
16                     73.31
32                    142.33
64                    273.16
128                   526.68
256                   515.94
512                   922.64
1024                  879.29
2048                 1737.74
4096                 3428.43
8192                 1795.92
16384                3584.80
32768                6626.97
65536               12872.61
131072              23935.50
262144              41617.06
524288              73800.34
1048576            112669.05
2097152            161093.99
4194304            225411.89
8388608            250754.56
16777216           267809.08
33554432           277124.42
67108864           281636.28
  [run 4/6] recording — 20:52:29
  [run 4/6] done in 9s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.59
2                       9.08
4                      18.20
8                      36.51
16                     72.65
32                    140.72
64                    272.41
128                   532.78
256                   518.17
512                   933.55
1024                  886.73
2048                 1755.00
4096                 3432.48
8192                 1799.33
16384                3602.41
32768                6718.79
65536               12848.58
131072              23943.82
262144              41484.66
524288              73796.81
1048576            113036.75
2097152            161274.86
4194304            225192.54
8388608            249705.60
16777216           267365.46
33554432           276234.16
67108864           280945.86
  [run 5/6] recording — 20:52:38
  [run 5/6] done in 7s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.58
2                       9.10
4                      18.21
8                      36.47
16                     72.72
32                    142.11
64                    274.47
128                   534.10
256                   510.43
512                   920.63
1024                  897.86
2048                 1781.24
4096                 3488.36
8192                 1758.61
16384                3503.14
32768                6591.15
65536               12523.91
131072              23466.97
262144              41028.02
524288              73409.76
1048576            113691.76
2097152            161840.24
4194304            225669.40
8388608            250926.03
16777216           268131.30
33554432           276338.31
67108864           280366.51
  [run 6/6] recording — 20:52:45
  [run 6/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.63
2                       8.79
4                      18.27
8                      36.40
16                     72.88
32                    141.80
64                    272.31
128                   526.40
256                   524.90
512                   939.20
1024                  892.85
2048                 1774.40
