################# EESSI STACK ##################
--- EESSI / HSA_ENABLE_SDMA=0 ---

################################################################
# [eessi sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 20:20:13
  [run 1/6] warm-up done in 19s
  [run 2/6] recording — 20:20:32
  [run 2/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.99
2                       5.91
4                      12.66
8                      26.00
16                     52.01
32                    104.15
64                    202.59
128                   411.33
256                    30.81
512                    61.64
1024                  120.50
2048                  238.14
4096                  486.59
8192                  924.14
16384                1835.12
32768                3478.21
65536                6622.12
131072              12182.14
262144              21110.97
524288              37577.18
1048576             57477.35
2097152             81957.73
4194304            115617.61
8388608            131226.69
16777216           141739.12
33554432           147471.66
67108864           149821.43
  [run 3/6] recording — 20:20:42
  [run 3/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.90
2                       6.01
4                      12.78
8                      26.12
16                     52.53
32                    104.81
64                    204.79
128                   398.03
256                    30.08
512                    60.29
1024                  119.11
2048                  237.24
4096                  460.46
8192                  906.46
16384                1798.48
32768                3431.03
65536                6670.29
131072              12305.36
262144              21228.04
524288              37950.30
1048576             57924.46
2097152             82763.15
4194304            116565.77
8388608            131341.16
16777216           141712.59
33554432           147215.91
67108864           149716.12
  [run 4/6] recording — 20:20:52
  [run 4/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.98
2                       5.88
4                      12.70
8                      26.08
16                     52.09
32                    102.57
64                    201.01
128                   410.33
256                    30.29
512                    60.74
1024                  121.28
2048                  240.36
4096                  483.76
8192                  923.94
16384                1842.34
32768                3403.55
65536                6574.29
131072              12094.04
262144              21160.32
524288              37687.18
1048576             57621.71
2097152             81878.06
4194304            116072.04
8388608            131613.19
16777216           141645.85
33554432           147146.13
67108864           149743.61
  [run 5/6] recording — 20:21:02
  [run 5/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.96
2                       5.78
4                      12.64
8                      25.93
16                     51.77
32                    103.81
64                    207.34
128                   410.73
256                    30.26
512                    60.37
1024                  119.51
2048                  239.03
4096                  484.79
8192                  935.68
16384                1860.47
32768                3298.22
65536                6441.63
131072              12156.14
262144              21134.83
524288              37672.41
1048576             57756.73
2097152             82592.07
4194304            116577.62
8388608            131106.64
16777216           141659.59
33554432           147177.72
67108864           149698.97
  [run 6/6] recording — 20:21:12
  [run 6/6] done in 9s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.89
2                       5.83
4                      12.61
8                      25.79
16                     51.73
32                     90.43
64                    185.29
128                   386.11
256                    30.44
512                    60.99
1024                  119.65
2048                  237.00
4096                  465.32
8192                  903.62
16384                1794.82
32768                3357.30
65536                6477.80
131072              12102.77
262144              21078.75
524288              37760.90
1048576             57669.10
2097152             82489.72
4194304            116405.98
8388608            131677.05
16777216           141622.66
33554432           147178.10
67108864           149770.95

################################################################
# [eessi sdma=0] intra_pkg_OAM1  GCD(2,3) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 20:21:21
  [run 1/6] warm-up done in 10s
  [run 2/6] recording — 20:21:31
  [run 2/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.96
2                       5.91
4                      12.38
8                      25.93
16                     52.12
32                    103.83
64                    206.57
128                   408.27
256                    35.86
512                    72.28
1024                  144.18
2048                  287.37
4096                  569.13
8192                 1028.82
16384                2050.57
32768                3843.40
65536                7436.55
131072              13987.97
262144              22663.69
524288              40321.57
1048576             60534.72
2097152             84653.58
4194304            117826.79
8388608            132808.75
16777216           142331.14
33554432           148007.69
67108864           150443.66
  [run 3/6] recording — 20:21:41
  [run 3/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.93
2                       6.04
4                      12.82
8                      26.19
