######## EESSI STACK (HSA_ENABLE_SDMA=0, UCX_RNDV_THRESH=1024) ########

################################################################
# [eessi sdma=0 rndv=1024] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 01:00:40
  [run 1/6] warm-up done in 22s
  [run 2/6] recording — 01:01:02
  [run 2/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.02
2                       6.10
4                      12.95
8                      26.64
16                     53.42
32                     93.21
64                    189.76
128                   386.63
256                   795.18
512                    42.76
1024                  120.51
2048                  241.18
4096                  482.30
8192                  926.41
16384                1843.86
32768                3437.51
65536                6706.96
131072              12282.74
262144              21084.55
524288              37753.22
1048576             57695.19
2097152             82276.76
4194304            116500.55
8388608            131906.06
16777216           141708.83
33554432           147689.21
67108864           150268.60
  [run 3/6] recording — 01:01:12
  [run 3/6] done in 9s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.92
2                       5.80
4                      12.40
8                      25.27
16                     51.50
32                    102.36
64                    202.91
128                   396.87
256                   759.98
512                    42.76
1024                  119.40
2048                  240.97
4096                  467.15
8192                  909.63
16384                1808.03
32768                3296.69
65536                6514.97
131072              12210.71
262144              21124.83
524288              37622.41
1048576             57662.44
2097152             82590.44
4194304            116401.38
8388608            131863.96
16777216           141901.45
33554432           147569.58
67108864           149999.85
  [run 4/6] recording — 01:01:21
  [run 4/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.99
2                       5.97
4                      12.69
8                      23.67
16                     51.31
32                    103.72
64                    204.06
128                   397.24
256                   791.04
512                    42.81
1024                  121.17
2048                  239.61
4096                  478.40
8192                  924.95
16384                1826.96
32768                3346.34
65536                6537.71
131072              12175.83
262144              21045.60
524288              37607.04
1048576             57517.07
2097152             81962.45
4194304            115556.52
8388608            131154.63
16777216           141642.37
33554432           147218.96
67108864           149737.21
  [run 5/6] recording — 01:01:31
  [run 5/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.99
2                       5.99
4                      12.81
8                      26.17
16                     52.77
32                    105.11
64                    209.41
128                   385.39
256                   799.00
512                    42.82
1024                  119.84
2048                  239.48
4096                  469.62
8192                  922.51
16384                1835.95
32768                3284.93
65536                6457.68
131072              12190.53
262144              21174.54
524288              37799.80
1048576             57776.24
2097152             82837.78
4194304            116303.06
8388608            131278.61
16777216           141769.02
33554432           147210.04
67108864           149653.47
  [run 6/6] recording — 01:01:41
  [run 6/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.99
2                       5.98
4                      12.75
8                      26.03
16                     52.43
32                    104.51
64                    207.95
128                   409.98
256                   799.61
512                    42.73
1024                  120.56
2048                  237.90
4096                  479.93
8192                  932.89
16384                1857.34
32768                3436.90
65536                6696.20
131072              12336.31
262144              21028.20
524288              37604.39
1048576             57713.23
2097152             82023.84
4194304            116091.03
8388608            131226.58
16777216           141124.42
33554432           147099.80
67108864           149476.66

################################################################
# [eessi sdma=0 rndv=1024] intra_pkg_OAM1  GCD(2,3) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 01:01:51
  [run 1/6] warm-up done in 10s
  [run 2/6] recording — 01:02:01
  [run 2/6] done in 9s

