stack,sdma_enabled,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,2.75
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,5.94
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,11.82
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,23.48
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,47.12
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,95.85
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,177.27
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,289.46
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,481.18
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,865.49
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,2856.46
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,5563.64
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,9831.30
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,15089.02
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,23099.09
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,29226.27
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,37139.69
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,43641.00
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,42995.99
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,37643.89
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,39400.03
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,40217.28
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,39427.92
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,39541.92
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,27975.71
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,33554432,24553.55
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,67108864,22138.66
