########## EESSI STACK (HSA_ENABLE_SDMA=0, UCX_RNDV_THRESH=128) ##########

# [eessi sdma=0 rndv=128] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg
  [run 1/6] warm-up — 02:24:02
  [run 1/6] warm-up done in 22s
  [run 2/6] recording — 02:24:24
  [run 2/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.90
2                       5.83
4                      12.41
8                      25.39
16                     50.84
32                    101.91
64                    202.30
128                    14.97
256                    30.03
512                    60.03
1024                  120.23
2048                  239.34
4096                  492.52
8192                  933.89
16384                1859.34
32768                3493.83
65536                6817.62
131072              12425.02
262144              21274.40
524288              37979.11
1048576             58074.89
2097152             82908.09
4194304            116733.73
8388608            132019.09
16777216           141977.70
33554432           147662.78
67108864           150407.64
  [run 3/6] recording — 02:24:34
  [run 3/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.94
2                       5.86
4                      12.48
8                      25.66
16                     51.31
32                    102.37
64                    203.63
128                    15.25
256                    29.97
512                    60.03
1024                  119.99
2048                  240.05
4096                  490.97
8192                  925.53
16384                1840.84
32768                3357.07
65536                6477.91
131072              12154.38
262144              21156.15
524288              37985.08
1048576             57961.37
2097152             82404.22
4194304            116506.16
8388608            131771.02
16777216           142095.85
33554432           148119.41
67108864           150417.59
  [run 4/6] recording — 02:24:44
  [run 4/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.92
2                       5.88
4                      12.49
8                      25.66
16                     50.63
32                    102.52
64                    187.37
128                    15.29
256                    30.37
512                    60.90
1024                  121.33
2048                  241.60
4096                  492.19
8192                  934.80
16384                1838.96
32768                3454.25
65536                6627.25
131072              12245.67
262144              21109.10
524288              37770.47
1048576             57598.17
2097152             82253.05
4194304            115918.64
8388608            131046.61
16777216           141654.27
33554432           147669.25
67108864           150424.17
  [run 5/6] recording — 02:24:54
  [run 5/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.97
2                       5.40
4                      12.55
8                      23.97
16                     51.97
32                    104.08
64                    191.93
128                    14.90
256                    30.24
512                    59.92
1024                  118.52
2048                  235.43
4096                  469.02
8192                  921.60
16384                1840.79
32768                3343.20
65536                6498.67
131072              12330.84
262144              21030.15
524288              37778.81
1048576             57658.11
2097152             82553.27
4194304            116289.55
8388608            130859.05
16777216           141876.89
33554432           147335.83
67108864           149757.69
  [run 6/6] recording — 02:25:04
  [run 6/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.91
2                       5.83
4                      12.46
8                      25.40
16                     50.95
32                    102.55
64                    202.99
128                    14.81
256                    29.71
512                    59.10
1024                  118.20
2048                  236.26
4096                  474.58
8192                  923.07
16384                1827.31
32768                3336.06
65536                6514.79
131072              12064.76
262144              21101.49
524288              37751.77
1048576             57812.19
2097152             82654.49
4194304            116819.84
8388608            131755.13
16777216           141552.92
33554432           146935.44
67108864           149665.65
ALL BENCHMARKS COMPLETE  CSV=results/osu_bw_rndv_128_eessi_18639671.csv
