stack,sdma_enabled,benchmark,num_gcds,run,size_bytes,latency_us
eessi,0,osu_allreduce,2,2,4,1.44
eessi,0,osu_allreduce,2,2,8,1.36
eessi,0,osu_allreduce,2,2,16,1.27
eessi,0,osu_allreduce,2,2,32,1.28
eessi,0,osu_allreduce,2,2,64,1.38
eessi,0,osu_allreduce,2,2,128,1.40
eessi,0,osu_allreduce,2,2,256,1.33
eessi,0,osu_allreduce,2,2,512,35.63
eessi,0,osu_allreduce,2,2,1024,31.31
eessi,0,osu_allreduce,2,2,2048,31.68
eessi,0,osu_allreduce,2,2,4096,48.21
eessi,0,osu_allreduce,2,2,8192,47.02
eessi,0,osu_allreduce,2,2,16384,46.85
eessi,0,osu_allreduce,2,2,32768,46.88
eessi,0,osu_allreduce,2,2,65536,47.31
eessi,0,osu_allreduce,2,2,131072,47.71
eessi,0,osu_allreduce,2,2,262144,49.31
eessi,0,osu_allreduce,2,2,524288,52.85
eessi,0,osu_allreduce,2,2,1048576,56.37
eessi,0,osu_allreduce,2,3,4,1.30
eessi,0,osu_allreduce,2,3,8,1.36
eessi,0,osu_allreduce,2,3,16,1.32
eessi,0,osu_allreduce,2,3,32,1.28
eessi,0,osu_allreduce,2,3,64,1.37
eessi,0,osu_allreduce,2,3,128,1.28
eessi,0,osu_allreduce,2,3,256,1.28
eessi,0,osu_allreduce,2,3,512,35.56
eessi,0,osu_allreduce,2,3,1024,31.40
eessi,0,osu_allreduce,2,3,2048,31.62
eessi,0,osu_allreduce,2,3,4096,47.79
eessi,0,osu_allreduce,2,3,8192,46.66
eessi,0,osu_allreduce,2,3,16384,46.28
eessi,0,osu_allreduce,2,3,32768,46.36
eessi,0,osu_allreduce,2,3,65536,47.06
eessi,0,osu_allreduce,2,3,131072,47.32
eessi,0,osu_allreduce,2,3,262144,48.88
eessi,0,osu_allreduce,2,3,524288,52.26
eessi,0,osu_allreduce,2,3,1048576,56.09
eessi,0,osu_allreduce,2,4,4,1.32
eessi,0,osu_allreduce,2,4,8,1.31
eessi,0,osu_allreduce,2,4,16,1.27
eessi,0,osu_allreduce,2,4,32,1.27
eessi,0,osu_allreduce,2,4,64,1.27
eessi,0,osu_allreduce,2,4,128,1.29
eessi,0,osu_allreduce,2,4,256,1.30
eessi,0,osu_allreduce,2,4,512,35.69
eessi,0,osu_allreduce,2,4,1024,31.41
eessi,0,osu_allreduce,2,4,2048,31.57
eessi,0,osu_allreduce,2,4,4096,48.32
eessi,0,osu_allreduce,2,4,8192,47.04
eessi,0,osu_allreduce,2,4,16384,46.72
eessi,0,osu_allreduce,2,4,32768,46.86
eessi,0,osu_allreduce,2,4,65536,47.29
eessi,0,osu_allreduce,2,4,131072,47.59
eessi,0,osu_allreduce,2,4,262144,48.95
eessi,0,osu_allreduce,2,4,524288,52.40
eessi,0,osu_allreduce,2,4,1048576,55.96
eessi,0,osu_allreduce,2,5,4,1.32
eessi,0,osu_allreduce,2,5,8,1.35
eessi,0,osu_allreduce,2,5,16,1.29
eessi,0,osu_allreduce,2,5,32,1.31
eessi,0,osu_allreduce,2,5,64,1.32
eessi,0,osu_allreduce,2,5,128,1.29
eessi,0,osu_allreduce,2,5,256,1.32
eessi,0,osu_allreduce,2,5,512,35.85
eessi,0,osu_allreduce,2,5,1024,31.73
eessi,0,osu_allreduce,2,5,2048,31.94
eessi,0,osu_allreduce,2,5,4096,47.76
eessi,0,osu_allreduce,2,5,8192,47.26
eessi,0,osu_allreduce,2,5,16384,47.10
eessi,0,osu_allreduce,2,5,32768,47.18
eessi,0,osu_allreduce,2,5,65536,48.21
eessi,0,osu_allreduce,2,5,131072,48.06
eessi,0,osu_allreduce,2,5,262144,49.50
eessi,0,osu_allreduce,2,5,524288,53.13
eessi,0,osu_allreduce,2,5,1048576,56.81
eessi,0,osu_allreduce,2,6,4,1.33
eessi,0,osu_allreduce,2,6,8,1.35
eessi,0,osu_allreduce,2,6,16,1.27
eessi,0,osu_allreduce,2,6,32,1.29
eessi,0,osu_allreduce,2,6,64,1.27
eessi,0,osu_allreduce,2,6,128,1.29
eessi,0,osu_allreduce,2,6,256,1.30
eessi,0,osu_allreduce,2,6,512,35.73
eessi,0,osu_allreduce,2,6,1024,31.42
eessi,0,osu_allreduce,2,6,2048,31.62
eessi,0,osu_allreduce,2,6,4096,47.93
eessi,0,osu_allreduce,2,6,8192,46.83
eessi,0,osu_allreduce,2,6,16384,46.67
eessi,0,osu_allreduce,2,6,32768,47.13
eessi,0,osu_allreduce,2,6,65536,47.15
eessi,0,osu_allreduce,2,6,131072,47.45
eessi,0,osu_allreduce,2,6,262144,49.06
eessi,0,osu_allreduce,2,6,524288,52.48
eessi,0,osu_allreduce,2,6,1048576,55.99
eessi,0,osu_allreduce,4,2,4,2.74
eessi,0,osu_allreduce,4,2,8,2.65
eessi,0,osu_allreduce,4,2,16,2.67
eessi,0,osu_allreduce,4,2,32,2.74
eessi,0,osu_allreduce,4,2,64,2.61
eessi,0,osu_allreduce,4,2,128,2.82
eessi,0,osu_allreduce,4,2,256,2.83
eessi,0,osu_allreduce,4,2,512,44.30
eessi,0,osu_allreduce,4,2,1024,44.69
eessi,0,osu_allreduce,4,2,2048,45.42
eessi,0,osu_allreduce,4,2,4096,102.09
eessi,0,osu_allreduce,4,2,8192,100.39
eessi,0,osu_allreduce,4,2,16384,100.83
eessi,0,osu_allreduce,4,2,32768,107.42
eessi,0,osu_allreduce,4,2,65536,101.72
eessi,0,osu_allreduce,4,2,131072,103.56
eessi,0,osu_allreduce,4,2,262144,106.47
eessi,0,osu_allreduce,4,2,524288,113.84
eessi,0,osu_allreduce,4,2,1048576,126.12
eessi,0,osu_allreduce,4,3,4,2.75
eessi,0,osu_allreduce,4,3,8,2.66
eessi,0,osu_allreduce,4,3,16,2.74
eessi,0,osu_allreduce,4,3,32,2.63
eessi,0,osu_allreduce,4,3,64,2.64
eessi,0,osu_allreduce,4,3,128,2.66
eessi,0,osu_allreduce,4,3,256,2.73
eessi,0,osu_allreduce,4,3,512,44.68
eessi,0,osu_allreduce,4,3,1024,44.69
eessi,0,osu_allreduce,4,3,2048,45.75
eessi,0,osu_allreduce,4,3,4096,105.02
eessi,0,osu_allreduce,4,3,8192,102.61
eessi,0,osu_allreduce,4,3,16384,103.06
eessi,0,osu_allreduce,4,3,32768,109.79
eessi,0,osu_allreduce,4,3,65536,104.03
eessi,0,osu_allreduce,4,3,131072,105.72
eessi,0,osu_allreduce,4,3,262144,109.06
eessi,0,osu_allreduce,4,3,524288,116.30
eessi,0,osu_allreduce,4,3,1048576,128.72
eessi,0,osu_allreduce,4,4,4,2.77
eessi,0,osu_allreduce,4,4,8,2.72
eessi,0,osu_allreduce,4,4,16,2.68
eessi,0,osu_allreduce,4,4,32,2.67
eessi,0,osu_allreduce,4,4,64,2.85
eessi,0,osu_allreduce,4,4,128,2.71
eessi,0,osu_allreduce,4,4,256,2.71
eessi,0,osu_allreduce,4,4,512,44.80
eessi,0,osu_allreduce,4,4,1024,44.73
eessi,0,osu_allreduce,4,4,2048,45.73
eessi,0,osu_allreduce,4,4,4096,106.41
eessi,0,osu_allreduce,4,4,8192,103.83
eessi,0,osu_allreduce,4,4,16384,104.13
eessi,0,osu_allreduce,4,4,32768,109.53
eessi,0,osu_allreduce,4,4,65536,105.28
eessi,0,osu_allreduce,4,4,131072,107.25
eessi,0,osu_allreduce,4,4,262144,111.18
eessi,0,osu_allreduce,4,4,524288,117.92
eessi,0,osu_allreduce,4,4,1048576,129.83
eessi,0,osu_allreduce,4,5,4,2.76
eessi,0,osu_allreduce,4,5,8,2.67
eessi,0,osu_allreduce,4,5,16,2.62
eessi,0,osu_allreduce,4,5,32,2.82
eessi,0,osu_allreduce,4,5,64,2.65
eessi,0,osu_allreduce,4,5,128,2.66
eessi,0,osu_allreduce,4,5,256,2.66
eessi,0,osu_allreduce,4,5,512,46.01
eessi,0,osu_allreduce,4,5,1024,45.87
eessi,0,osu_allreduce,4,5,2048,47.00
eessi,0,osu_allreduce,4,5,4096,103.61
eessi,0,osu_allreduce,4,5,8192,102.19
eessi,0,osu_allreduce,4,5,16384,102.19
eessi,0,osu_allreduce,4,5,32768,109.24
eessi,0,osu_allreduce,4,5,65536,103.13
eessi,0,osu_allreduce,4,5,131072,104.53
eessi,0,osu_allreduce,4,5,262144,108.10
eessi,0,osu_allreduce,4,5,524288,115.14
eessi,0,osu_allreduce,4,5,1048576,127.55
eessi,0,osu_allreduce,4,6,4,2.76
eessi,0,osu_allreduce,4,6,8,2.70
eessi,0,osu_allreduce,4,6,16,2.66
eessi,0,osu_allreduce,4,6,32,2.61
eessi,0,osu_allreduce,4,6,64,2.63
eessi,0,osu_allreduce,4,6,128,2.65
eessi,0,osu_allreduce,4,6,256,2.67
eessi,0,osu_allreduce,4,6,512,44.81
eessi,0,osu_allreduce,4,6,1024,45.15
eessi,0,osu_allreduce,4,6,2048,46.26
eessi,0,osu_allreduce,4,6,4096,105.94
eessi,0,osu_allreduce,4,6,8192,104.72
eessi,0,osu_allreduce,4,6,16384,104.17
eessi,0,osu_allreduce,4,6,32768,111.98
eessi,0,osu_allreduce,4,6,65536,105.66
eessi,0,osu_allreduce,4,6,131072,107.75
eessi,0,osu_allreduce,4,6,262144,110.11
eessi,0,osu_allreduce,4,6,524288,117.36
eessi,0,osu_allreduce,4,6,1048576,129.61
eessi,0,osu_allreduce,8,2,4,4.73
eessi,0,osu_allreduce,8,2,8,4.57
eessi,0,osu_allreduce,8,2,16,4.53
eessi,0,osu_allreduce,8,2,32,4.50
eessi,0,osu_allreduce,8,2,64,4.60
eessi,0,osu_allreduce,8,2,128,4.70
eessi,0,osu_allreduce,8,2,256,47.23
