
# [eessi sdma=0 UCX_RNDV_THRESH=DEFAULT] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:08:59
  [run 1/4] warm-up done in 21s
  [run 2/4] recording — 01:09:20
  [run 2/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.02
2                       6.06
4                      12.98
8                      24.36
16                     53.17
32                    106.68
64                    211.23
128                   418.69
256                    30.14
512                    59.88
1024                  119.78
2048                  240.80
4096                  483.61
8192                  923.73
16384                1821.09
32768                3456.63
65536                6643.66
131072              12339.06
262144              21184.43
524288              37770.67
1048576             57728.16
2097152             82672.18
4194304            116585.76
8388608            132002.63
16777216           141949.60
33554432           147601.28
67108864           150035.79
  [run 3/4] recording — 01:09:30
  [run 3/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.01
2                       6.01
4                      12.83
8                      26.22
16                     52.73
32                    105.28
64                    208.69
128                   414.25
256                    30.36
512                    60.79
1024                  120.04
2048                  238.46
4096                  466.49
8192                  915.89
16384                1815.11
32768                3416.73
65536                6633.45
131072              12274.70
262144              21192.97
524288              37691.14
1048576             57714.61
2097152             82748.90
4194304            116735.56
8388608            131481.80
16777216           141826.70
33554432           147213.61
67108864           149669.37
  [run 4/4] recording — 01:09:40
  [run 4/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.09
2                       5.60
4                      13.20
8                      27.19
16                     54.33
32                    108.92
64                    214.48
128                   425.94
256                    29.83
512                    59.65
1024                  119.19
2048                  238.53
4096                  475.76
8192                  916.14
16384                1806.43
32768                3386.23
65536                6694.09
131072              12297.20
262144              21166.20
524288              37926.00
1048576             57877.24
2097152             82549.75
4194304            116390.92
8388608            131504.98
16777216           141955.54
33554432           147497.27
67108864           149800.67

# [eessi sdma=0 UCX_RNDV_THRESH=1024] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:09:50
  [run 1/4] warm-up done in 10s
  [run 2/4] recording — 01:10:00
  [run 2/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.04
2                       6.09
4                      13.04
8                      24.06
16                     52.84
32                    107.19
64                    212.09
128                   419.36
256                   817.91
512                    42.80
1024                  118.87
2048                  236.63
4096                  457.83
8192                  904.44
16384                1799.16
32768                3467.86
65536                6567.17
131072              12215.65
262144              21021.59
524288              37723.19
1048576             57658.04
2097152             82510.50
4194304            116492.88
8388608            131567.80
16777216           141821.55
33554432           147348.93
67108864           149777.87
  [run 3/4] recording — 01:10:10
  [run 3/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.04
2                       6.10
4                      13.08
8                      26.91
16                     53.73
32                    108.07
64                    213.67
128                   417.70
256                   822.00
512                    43.04
1024                  125.73
2048                  251.54
4096                  496.05
8192                  927.94
16384                1834.17
32768                3307.28
65536                6629.60
131072              12511.26
262144              21137.81
524288              37675.01
1048576             57814.90
2097152             82690.30
4194304            116725.36
8388608            131619.17
16777216           141704.22
33554432           147194.49
67108864           149543.57
  [run 4/4] recording — 01:10:20
  [run 4/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.07
2                       6.13
4                      13.14
8                      27.00
16                     53.95
32                    107.88
64                    214.40
128                   425.37
256                   830.53
512                    43.06
1024                  124.30
2048                  248.27
4096                  479.61
8192                  905.95
16384                1792.09
32768                3439.01
65536                6607.21
131072              12232.07
262144              21115.09
524288              37826.08
1048576             57684.35
2097152             82429.98
4194304            116499.33
8388608            131589.49
16777216           141578.01
33554432           147252.12
67108864           149713.28

# [eessi sdma=0 UCX_RNDV_THRESH=2048] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:10:30
  [run 1/4] warm-up done in 9s
  [run 2/4] recording — 01:10:39
  [run 2/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.04
2                       6.16
4                      13.14
8                      26.94
16                     53.96
32                    108.26
64                    214.76
128                   425.97
256                   839.16
512                    42.88
1024                   85.79
2048                  249.16
4096                  481.23
8192                  914.01
16384                1806.98
32768                3386.42
65536                6655.82
131072              12081.59
262144              21140.84
524288              37744.14
1048576             57682.84
2097152             82488.16
4194304            116504.47
8388608            131663.65
16777216           141768.76
33554432           147363.57
67108864           149759.78
  [run 3/4] recording — 01:10:49
  [run 3/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.06
2                       5.64
4                      13.12
8                      26.88
16                     53.74
32                    107.98
64                    213.89
128                   421.30
256                   824.88
512                    42.97
1024                   86.06
2048                  237.53
4096                  468.89
8192                  908.73
16384                1808.45
32768                3322.51
65536                6577.39
131072              12377.96
262144              21233.76
524288              37899.82
1048576             57969.23
2097152             82675.61
4194304            116645.94
8388608            131173.98
16777216           141621.65
33554432           146899.89
67108864           149427.33
  [run 4/4] recording — 01:10:59
  [run 4/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.09
2                       6.21
4                      13.33
8                      27.19
16                     54.90
32                    109.48
64                    218.07
128                   427.02
256                   841.22
512                    43.02
1024                   86.16
2048                  238.32
4096                  483.08
8192                  913.85
16384                1809.44
32768                3442.59
65536                6693.87
131072              12242.84
262144              21138.62
524288              37976.52
1048576             57852.85
2097152             82507.88
4194304            116326.98
8388608            131557.43
16777216           141791.86
33554432           147284.03
67108864           149645.68

# [eessi sdma=0 UCX_RNDV_THRESH=4096] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:11:09
  [run 1/4] warm-up done in 10s
  [run 2/4] recording — 01:11:19
  [run 2/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
