stack,sdma_enabled,mpich_gpu_ipc_threshold,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,2.67
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,5.91
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,12.01
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,23.86
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,48.56
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,91.69
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,178.66
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,365.28
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,409.83
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,777.45
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,569.66
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,1132.90
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,2286.66
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,1083.96
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,2159.53
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,4063.28
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,7888.38
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,14638.23
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,23382.95
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,41303.27
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,61484.72
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,85133.50
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,117757.70
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,132886.72
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,142603.47
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,33554432,148344.26
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,67108864,150602.30
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,2.75
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,5.99
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,12.04
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,24.11
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,49.33
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,95.79
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,182.94
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,354.46
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,431.14
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,774.75
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,566.39
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,1135.64
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,2247.77
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,1092.44
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,2179.79
native,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,4027.42
