stack,sdma_enabled,config_label,nccl_nchannels,nccl_ignore_aff,nccl_net_gdr,benchmark,num_gcds,run,size_bytes,latency_us
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,4,37.85
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,8,36.57
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,16,36.43
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,32,38.22
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,64,41.47
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,128,47.19
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,256,47.14
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,512,47.59
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,1024,47.88
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,2048,48.58
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,4096,49.75
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,8192,50.69
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,16384,51.95
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,32768,51.24
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,65536,51.51
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,131072,52.49
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,262144,85.57
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,524288,108.72
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,2,1048576,120.96
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,4,38.00
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,8,36.70
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,16,36.61
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,32,38.36
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,64,41.62
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,128,46.39
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,256,46.38
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,512,46.77
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,1024,47.29
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,2048,47.94
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,4096,48.65
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,8192,49.90
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,16384,50.87
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,32768,51.52
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,65536,51.15
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,131072,52.42
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,262144,83.45
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,524288,107.19
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,3,1048576,118.97
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,4,37.44
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,8,37.04
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,16,36.89
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,32,38.18
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,64,41.07
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,128,47.53
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,256,47.49
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,512,47.79
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,1024,48.17
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,2048,49.00
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,4096,49.79
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,8192,51.03
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,16384,52.12
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,32768,51.72
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,65536,51.86
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,131072,52.71
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,262144,85.01
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,524288,108.13
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,4,1048576,119.92
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,4,34.80
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,8,34.61
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,16,34.39
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,32,36.33
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,64,39.50
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,128,45.17
eessi_xccl,0,baseline,NA,NA,NA,osu_xccl_allreduce,8,5,256,45.15
