stack,sdma_enabled,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,9.99
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,20.29
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,40.02
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,71.12
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,147.08
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,328.57
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,683.73
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,1292.92
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,2514.85
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,4716.84
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,9044.16
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,14413.15
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,15809.53
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,17464.52
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,20385.68
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,26289.53
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,31796.29
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,33389.36
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,31808.30
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,15121.99
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,11800.16
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,10669.75
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,10190.92
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,10301.65
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,10345.65
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,10.29
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,20.53
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,40.21
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,72.43
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,161.32
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,332.23
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,693.08
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,1312.20
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,2550.91
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,4814.04
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,9199.11
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,15230.55
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,14143.26
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,18234.51
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,21844.29
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,26356.90
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,32497.76
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,33782.43
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,262144,32191.74
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,524288,15118.27
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1048576,11727.87
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2097152,10779.88
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4194304,10156.60
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8388608,10126.48
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16777216,10200.13
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,1,9.29
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,2,20.80
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,4,40.18
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,8,82.68
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,16,168.85
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,32,335.35
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,64,694.30
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,128,1154.27
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,256,2425.95
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,512,4754.89
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,1024,9099.40
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,2048,15354.79
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,4096,14296.75
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,8192,17960.51
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,16384,21234.41
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,32768,26555.54
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,65536,30609.86
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,131072,33744.81
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,262144,32137.34
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,524288,15139.42
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,1048576,12263.12
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,2097152,11408.20
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,4194304,10910.36
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,8388608,10755.09
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,16777216,10822.00
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,1,10.35
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,2,20.64
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,4,40.68
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,8,82.37
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,16,165.98
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,32,324.76
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,64,675.33
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,128,1311.02
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,256,2547.49
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,512,4782.71
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,1024,9155.18
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,2048,15647.17
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,4096,17627.44
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,8192,17319.78
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,16384,20740.57
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,32768,26659.24
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,65536,30793.67
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,131072,34829.50
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,262144,32940.43
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,524288,15637.45
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,1048576,11689.08
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,2097152,11331.08
