benchmark,stack,jobid,run,perf_ns_per_day,wall_s,core_s,ntmpi,toolchain
crambin,eessi,18658571,2,422.473,20.451,1144.329,8,rfoss-2025a-SYCL
crambin,eessi,18658571,3,414.943,20.823,1164.994,8,rfoss-2025a-SYCL
crambin,eessi,18658571,4,414.512,20.844,1166.276,8,rfoss-2025a-SYCL
crambin,eessi,18658571,5,411.088,21.018,1175.996,8,rfoss-2025a-SYCL
crambin,eessi,18658571,6,406.241,21.269,1189.884,8,rfoss-2025a-SYCL
crambin,eessi,18658571,7,403.143,21.432,1199.097,8,rfoss-2025a-SYCL
crambin,native,18658570,2,413.057,20.918,1163.792,8,cpeAMD-25.03-VkFFT-rocm
crambin,native,18658570,3,414.003,20.870,1161.024,8,cpeAMD-25.03-VkFFT-rocm
crambin,native,18658570,4,382.546,22.586,1257.167,8,cpeAMD-25.03-VkFFT-rocm
crambin,native,18658570,5,408.951,21.128,1175.513,8,cpeAMD-25.03-VkFFT-rocm
crambin,native,18658570,6,398.681,21.672,1206.017,8,cpeAMD-25.03-VkFFT-rocm
crambin,native,18658570,7,413.521,20.894,1162.550,8,cpeAMD-25.03-VkFFT-rocm
hEGFRDimerPair,eessi,18659046,2,50.158,275.614,15430.296,8,rfoss-2025a-SYCL
hEGFRDimerPair,eessi,18659046,3,50.025,276.345,15470.624,8,rfoss-2025a-SYCL
hEGFRDimerPair,eessi,18659046,4,48.589,284.515,15928.158,8,rfoss-2025a-SYCL
hEGFRDimerPair,eessi,18659046,5,50.517,273.656,15320.061,8,rfoss-2025a-SYCL
hEGFRDimerPair,eessi,18659046,6,50.415,274.206,15351.798,8,rfoss-2025a-SYCL
hEGFRDimerPair,eessi,18659046,7,51.067,270.707,15155.642,8,rfoss-2025a-SYCL
hEGFRDimerPair,native,18659047,2,51.987,265.915,14878.928,8,cpeAMD-25.03-VkFFT-rocm
hEGFRDimerPair,native,18659047,3,52.087,265.404,14848.653,8,cpeAMD-25.03-VkFFT-rocm
hEGFRDimerPair,native,18659047,4,52.072,265.483,14854.600,8,cpeAMD-25.03-VkFFT-rocm
hEGFRDimerPair,native,18659047,5,51.802,266.864,14932.191,8,cpeAMD-25.03-VkFFT-rocm
hEGFRDimerPair,native,18659047,6,52.124,265.219,14840.496,8,cpeAMD-25.03-VkFFT-rocm
hEGFRDimerPair,native,18659047,7,51.837,266.683,14921.190,8,cpeAMD-25.03-VkFFT-rocm
hEGFRDimer,eessi,18658924,2,84.959,162.716,9107.899,8,rfoss-2025a-SYCL
hEGFRDimer,eessi,18658924,3,85.316,162.035,9069.605,8,rfoss-2025a-SYCL
hEGFRDimer,eessi,18658924,4,84.774,163.072,9128.373,8,rfoss-2025a-SYCL
hEGFRDimer,eessi,18658924,5,76.396,180.954,10130.191,8,rfoss-2025a-SYCL
hEGFRDimer,eessi,18658924,6,86.020,160.710,8997.112,8,rfoss-2025a-SYCL
hEGFRDimer,eessi,18658924,7,85.606,161.486,9039.129,8,rfoss-2025a-SYCL
hEGFRDimer,native,18658925,2,85.481,161.723,9041.189,8,cpeAMD-25.03-VkFFT-rocm
hEGFRDimer,native,18658925,3,85.298,162.070,9063.764,8,cpeAMD-25.03-VkFFT-rocm
hEGFRDimer,native,18658925,4,85.813,161.097,9006.545,8,cpeAMD-25.03-VkFFT-rocm
hEGFRDimer,native,18658925,5,85.643,161.417,9026.681,8,cpeAMD-25.03-VkFFT-rocm
hEGFRDimer,native,18658925,6,85.516,161.656,9040.575,8,cpeAMD-25.03-VkFFT-rocm
hEGFRDimer,native,18658925,7,85.608,161.483,9030.776,8,cpeAMD-25.03-VkFFT-rocm
stmv,eessi,18656109,2,93.209,148.314,8303.695,8,rfoss-2025a-SYCL
stmv,eessi,18656109,3,92.402,149.609,8375.960,8,rfoss-2025a-SYCL
stmv,eessi,18656109,4,92.742,149.060,8346.026,8,rfoss-2025a-SYCL
stmv,eessi,18656109,5,93.347,148.094,8291.329,8,rfoss-2025a-SYCL
stmv,eessi,18656109,6,93.157,148.396,8308.128,8,rfoss-2025a-SYCL
stmv,eessi,18656109,7,92.836,148.909,8337.266,8,rfoss-2025a-SYCL
stmv,native,18656108,2,95.745,144.385,8074.517,8,cpeAMD-25.03-VkFFT-rocm
stmv,native,18656108,3,96.183,143.727,8038.109,8,cpeAMD-25.03-VkFFT-rocm
stmv,native,18656108,4,95.854,144.221,8065.225,8,cpeAMD-25.03-VkFFT-rocm
stmv,native,18656108,5,94.608,146.121,8171.703,8,cpeAMD-25.03-VkFFT-rocm
stmv,native,18656108,6,94.580,146.164,8174.119,8,cpeAMD-25.03-VkFFT-rocm
stmv,native,18656108,7,95.222,145.178,8119.065,8,cpeAMD-25.03-VkFFT-rocm
