Using OSU collective binaries from: /users/joglekar/eessi/versions/2025.06/software/linux/x86_64/amd/zen3/software/OSU-Micro-Benchmarks/7.5-rompi-2025a/libexec/osu-micro-benchmarks/mpi/collective

################################################################
# osu_allreduce  N=2 GCDs   devices=0,1   cpu_mask=49,57
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.04
8                      27.29
16                     25.06
32                     25.08
64                     25.26
128                    25.39
256                    25.42
512                    25.70
1024                   26.09
2048                   26.59
4096                   31.30
8192                   32.04
16384                  45.11
32768                  48.75
65536                  56.65
131072                 75.87
262144                110.04
524288                177.03
1048576               307.07
  [run 3/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.25
8                      27.38
16                     25.43
32                     25.40
64                     25.44
128                    25.40
256                    25.45
512                    26.02
1024                   26.14
2048                   26.84
4096                   32.44
8192                   32.61
16384                  47.06
32768                  50.75
65536                  59.54
131072                 77.81
262144                112.74
524288                178.36
1048576               312.39
  [run 4/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.10
8                      27.38
16                     25.33
32                     25.43
64                     25.43
128                    25.58
256                    25.51
512                    25.79
1024                   26.38
2048                   27.04
4096                   32.12
8192                   32.74
16384                  46.60
32768                  49.71
65536                  58.75
131072                 77.06
262144                111.78
524288                180.33
1048576               313.86
  [run 5/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.47
8                      27.57
16                     25.36
32                     25.42
64                     25.42
128                    25.68
256                    25.72
512                    25.92
1024                   26.25
2048                   27.08
4096                   32.43
8192                   32.69
16384                  46.79
32768                  49.91
65536                  59.01
131072                 76.23
262144                112.01
524288                180.33
1048576               313.78
  [run 6/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.05
8                      27.40
16                     28.02
32                     27.20
64                     27.22
128                    27.66
256                    27.58
512                    28.06
1024                   28.29
2048                   29.54
4096                   31.82
8192                   35.67
16384                  46.86
32768                  49.94
65536                  59.05
131072                 76.17
262144                112.04
524288                178.99
1048576               313.48

################################################################
# osu_allreduce  N=4 GCDs   devices=0,1,2,3   cpu_mask=49,57,17,25
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.70
8                      29.42
16                     27.11
32                     27.06
64                     27.37
128                    28.27
256                    27.31
512                    34.39
1024                   34.78
2048                   36.13
4096                   38.49
8192                   74.70
16384                  81.27
32768                  87.71
65536                 101.08
131072                153.99
262144                203.15
524288                318.82
1048576               539.67
  [run 3/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.69
8                      29.32
16                     27.25
32                     27.24
64                     27.13
128                    27.91
256                    27.39
512                    34.50
1024                   34.86
2048                   35.87
4096                   38.29
8192                   79.60
16384                  82.85
32768                  91.60
65536                 106.61
131072                137.04
262144                200.17
524288                316.85
1048576               546.42
  [run 4/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.98
8                      29.34
16                     27.35
32                     27.33
64                     27.10
128                    27.87
256                    27.59
512                    34.37
1024                   34.49
2048                   35.85
4096                   38.27
8192                   75.44
16384                  78.19
32768                  86.91
65536                 104.79
131072                137.98
262144                199.66
524288                320.14
1048576               548.51
  [run 5/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.49
8                      29.30
16                     27.16
32                     27.36
64                     26.92
128                    27.91
256                    27.34
512                    34.75
1024                   35.16
2048                   36.17
4096                   38.57
8192                   81.25
16384                  83.06
32768                  94.87
65536                 103.07
131072                138.67
262144                195.96
524288                312.90
1048576               546.60
  [run 6/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.98
8                      29.47
16                     27.29
32                     27.09
64                     26.82
128                    27.60
256                    27.28
512                    34.59
