benchmark,num_gcds,run,size_bytes,latency_us
osu_allreduce,2,2,4,25.05
osu_allreduce,2,2,8,26.60
osu_allreduce,2,2,16,27.10
osu_allreduce,2,2,32,28.00
osu_allreduce,2,2,64,28.03
osu_allreduce,2,2,128,28.10
osu_allreduce,2,2,256,28.06
osu_allreduce,2,2,512,29.49
osu_allreduce,2,2,1024,28.43
osu_allreduce,2,2,2048,28.83
osu_allreduce,2,2,4096,29.75
osu_allreduce,2,2,8192,29.78
osu_allreduce,2,2,16384,29.34
osu_allreduce,2,2,32768,30.24
osu_allreduce,2,2,65536,39.76
osu_allreduce,2,2,131072,46.69
osu_allreduce,2,2,262144,39.82
osu_allreduce,2,2,524288,43.22
osu_allreduce,2,2,1048576,51.56
osu_allreduce,2,3,4,24.84
osu_allreduce,2,3,8,26.72
osu_allreduce,2,3,16,27.15
osu_allreduce,2,3,32,27.91
osu_allreduce,2,3,64,27.93
osu_allreduce,2,3,128,28.01
osu_allreduce,2,3,256,28.01
osu_allreduce,2,3,512,29.90
osu_allreduce,2,3,1024,28.55
osu_allreduce,2,3,2048,28.84
osu_allreduce,2,3,4096,29.83
osu_allreduce,2,3,8192,29.73
osu_allreduce,2,3,16384,29.87
osu_allreduce,2,3,32768,30.72
osu_allreduce,2,3,65536,39.30
osu_allreduce,2,3,131072,45.95
osu_allreduce,2,3,262144,39.40
osu_allreduce,2,3,524288,43.43
osu_allreduce,2,3,1048576,51.89
osu_allreduce,2,4,4,24.98
osu_allreduce,2,4,8,26.70
osu_allreduce,2,4,16,27.15
osu_allreduce,2,4,32,27.98
osu_allreduce,2,4,64,27.99
osu_allreduce,2,4,128,28.06
osu_allreduce,2,4,256,28.12
osu_allreduce,2,4,512,29.58
osu_allreduce,2,4,1024,28.73
osu_allreduce,2,4,2048,29.33
osu_allreduce,2,4,4096,29.85
osu_allreduce,2,4,8192,29.58
osu_allreduce,2,4,16384,29.52
osu_allreduce,2,4,32768,29.59
osu_allreduce,2,4,65536,39.66
osu_allreduce,2,4,131072,45.71
osu_allreduce,2,4,262144,39.85
osu_allreduce,2,4,524288,43.46
osu_allreduce,2,4,1048576,51.73
osu_allreduce,2,5,4,25.13
osu_allreduce,2,5,8,26.56
osu_allreduce,2,5,16,27.03
osu_allreduce,2,5,32,27.95
osu_allreduce,2,5,64,27.88
osu_allreduce,2,5,128,27.81
osu_allreduce,2,5,256,27.81
osu_allreduce,2,5,512,29.39
osu_allreduce,2,5,1024,28.38
osu_allreduce,2,5,2048,28.88
osu_allreduce,2,5,4096,29.85
osu_allreduce,2,5,8192,29.69
osu_allreduce,2,5,16384,29.48
osu_allreduce,2,5,32768,29.62
osu_allreduce,2,5,65536,39.50
osu_allreduce,2,5,131072,45.81
osu_allreduce,2,5,262144,39.19
osu_allreduce,2,5,524288,43.30
osu_allreduce,2,5,1048576,51.63
osu_allreduce,2,6,4,25.12
osu_allreduce,2,6,8,26.68
osu_allreduce,2,6,16,27.11
osu_allreduce,2,6,32,27.97
osu_allreduce,2,6,64,27.96
osu_allreduce,2,6,128,27.99
osu_allreduce,2,6,256,28.12
osu_allreduce,2,6,512,29.42
osu_allreduce,2,6,1024,28.56
osu_allreduce,2,6,2048,29.16
osu_allreduce,2,6,4096,30.21
osu_allreduce,2,6,8192,29.67
osu_allreduce,2,6,16384,29.66
osu_allreduce,2,6,32768,29.63
osu_allreduce,2,6,65536,39.57
osu_allreduce,2,6,131072,46.40
osu_allreduce,2,6,262144,40.16
osu_allreduce,2,6,524288,43.59
osu_allreduce,2,6,1048576,52.02
osu_allreduce,4,2,4,29.11
osu_allreduce,4,2,8,30.82
osu_allreduce,4,2,16,31.28
osu_allreduce,4,2,32,32.73
osu_allreduce,4,2,64,35.37
osu_allreduce,4,2,128,35.29
osu_allreduce,4,2,256,35.46
osu_allreduce,4,2,512,37.29
osu_allreduce,4,2,1024,36.02
osu_allreduce,4,2,2048,36.37
osu_allreduce,4,2,4096,37.08
osu_allreduce,4,2,8192,37.97
osu_allreduce,4,2,16384,37.38
osu_allreduce,4,2,32768,37.80
osu_allreduce,4,2,65536,56.52
osu_allreduce,4,2,131072,63.75
