Using OSU collective binaries from: /users/joglekar/eessi/versions/2025.06/software/linux/x86_64/amd/zen3/software/OSU-Micro-Benchmarks/7.5-rompi-2025a/libexec/osu-micro-benchmarks/mpi/collective

################################################################
# osu_allreduce  N=2 GCDs   devices=0,1   cpu_mask=49,57
################################################################
  [run 1/6] warm-up starting

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.32
8                       1.43
16                      1.29
32                      1.25
64                      1.28
128                     1.46
256                     1.30
512                    18.24
1024                   18.70
2048                   19.45
4096                   28.20
8192                   50.31
16384                  50.50
32768                  50.54
65536                  50.71
131072                 50.95
262144                 51.71
524288                 54.07
1048576                58.47
  [run 2/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.28
8                       1.48
16                      1.23
32                      1.23
64                      1.23
128                     1.26
256                     1.26
512                    18.01
1024                   18.65
2048                   19.46
4096                   28.04
8192                   50.00
16384                  50.33
32768                  50.67
65536                  50.92
131072                 51.01
262144                 51.97
524288                 54.38
1048576                58.65
  [run 3/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.33
8                       1.32
16                      1.27
32                      1.27
64                      1.28
128                     1.30
256                     1.30
512                    18.13
1024                   18.62
2048                   19.38
4096                   27.87
8192                   50.56
16384                  50.29
32768                  50.44
65536                  50.43
131072                 50.66
262144                 51.60
524288                 53.83
1048576                58.41
  [run 4/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.31
8                       1.31
16                      1.25
32                      1.26
64                      1.26
128                     1.28
256                     1.29
512                    18.11
1024                   18.56
2048                   19.41
4096                   28.16
8192                   50.60
16384                  50.30
32768                  50.47
65536                  50.67
131072                 50.79
262144                 51.82
524288                 54.80
1048576                58.62
  [run 5/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.31
8                       1.38
16                      1.43
32                      1.26
64                      1.26
128                     1.28
256                     1.48
512                    17.96
1024                   18.59
2048                   19.23
4096                   27.92
8192                   49.70
16384                  49.28
32768                  50.30
65536                  50.68
131072                 50.69
262144                 51.28
524288                 54.40
1048576                59.14
  [run 6/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.37
8                       1.42
16                      1.25
32                      1.26
64                      1.26
128                     1.48
256                     1.29
512                    18.24
1024                   18.69
2048                   19.40
4096                   28.26
8192                   51.06
16384                  50.47
32768                  50.58
65536                  50.64
131072                 51.55
262144                 52.62
524288                 56.16
1048576                58.96

################################################################
# osu_allreduce  N=4 GCDs   devices=0,1,2,3   cpu_mask=49,57,17,25
################################################################
  [run 1/6] warm-up starting

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.78
8                       2.69
16                      3.04
32                      2.65
64                      2.66
128                     2.68
256                     2.89
512                    24.00
1024                   24.02
2048                   25.58
4096                   56.33
8192                   96.80
16384                  98.08
32768                 107.76
65536                  99.25
131072                100.32
262144                102.57
524288                109.22
1048576               121.55
  [run 2/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.77
8                       2.67
16                      2.63
32                      2.64
64                      2.66
128                     2.89
256                     2.70
512                    24.03
1024                   24.41
2048                   25.26
4096                   56.30
8192                   94.67
16384                  97.36
32768                 111.69
65536                  99.17
131072                100.83
262144                103.92
524288                108.92
1048576               121.02
  [run 3/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.74
8                       2.63
16                      2.59
32                      2.82
64                      2.63
128                     2.85
256                     2.65
512                    24.26
1024                   24.31
2048                   25.79
4096                   54.66
8192                   97.20
16384                  99.06
32768                 111.78
65536                 100.51
131072                101.73
262144                104.04
524288                111.36
1048576               124.49
  [run 4/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.92
8                       2.75
16                      2.83
32                      2.83
64                      2.81
128                     2.69
256                     2.90
512                    24.44
1024                   24.50
2048                   25.97
4096                   55.29
8192                   98.68
16384                 100.04
32768                 119.01
65536                 101.58
131072                103.14
262144                105.82
524288                112.68
1048576               125.26
  [run 5/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.79
8                       2.93
16                      2.66
32                      2.88
64                      2.68
128                     2.92
256                     2.81
512                    24.58
1024                   24.59
2048                   25.70
4096                   56.84
8192                   99.36
16384                 100.24
32768                 118.43
65536                 101.28
131072                102.48
262144                104.90
524288                112.08
1048576               124.45
  [run 6/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.82
8                       2.80
16                      2.65
32                      2.72
64                      2.87
128                     2.85
256                     2.73
512                    24.09
1024                   24.63
2048                   26.24
4096                   56.12
8192                   95.21
16384                  97.29
32768                 120.21
65536                  99.01
131072                100.66
262144                103.47
524288                108.74
1048576               121.39

################################################################
# osu_allreduce  N=6 GCDs   devices=0,1,2,3,4,5   cpu_mask=49,57,17,25,1,9
################################################################
  [run 1/6] warm-up starting

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       3.97
8                       3.66
16                      3.68
32                      3.80
64                      3.71
128                     3.76
256                    23.24
512                    48.01
1024                   50.21
2048                   50.08
4096                   70.57
8192                   70.62
16384                 132.67
32768                 130.89
65536                 125.60
131072                122.73
262144                134.78
524288                109.34
1048576               588.57
  [run 2/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.17
8                       3.83
16                      3.70
32                      3.70
64                      3.71
128                     3.70
256                    23.21
512                    47.10
1024                   49.63
2048                   49.71
4096                   69.89
8192                   70.27
16384                 124.68
32768                 141.21
65536                 123.30
131072                121.03
262144                116.66
524288                109.61
1048576               593.52
  [run 3/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.23
8                       3.93
16                      3.68
32                      3.77
64                      3.80
128                     3.87
256                    22.80
512                    47.35
1024                   50.13
2048                   49.58
4096                   70.42
8192                   69.67
16384                 120.56
32768                 133.79
65536                 117.98
131072                111.55
262144                119.97
524288                110.09
1048576               599.97
  [run 4/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
