Using OSU collective binaries from: /users/joglekar/eessi/versions/2025.06/software/linux/x86_64/amd/zen3/software/OSU-Micro-Benchmarks/7.5-rompi-2025a/libexec/osu-micro-benchmarks/mpi/collective

################################################################
# osu_alltoall  N=2 GCDs   devices=0,1   cpu_mask=49,57
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.63
2                      11.96
4                      12.28
8                      12.59
16                     11.45
32                     11.34
64                     11.16
128                    11.14
256                    11.22
512                    16.19
1024                   17.18
2048                   17.18
4096                   30.64
8192                   32.35
16384                  32.23
32768                  33.37
65536                  33.61
131072                 33.95
262144                 34.12
524288                 36.98
1048576                43.40
  [run 3/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.85
2                      12.10
4                      12.42
8                      12.71
16                     11.63
32                     11.54
64                     11.29
128                    11.21
256                    11.36
512                    16.28
1024                   17.17
2048                   17.31
4096                   30.50
8192                   32.26
16384                  32.13
32768                  33.90
65536                  34.19
131072                 34.51
262144                 33.67
524288                 36.66
1048576                41.79
  [run 4/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.05
2                      12.05
4                      12.43
8                      12.68
16                     11.53
32                     11.52
64                     11.24
128                    11.40
256                    11.40
512                    16.41
1024                   17.28
2048                   17.37
4096                   30.54
8192                   32.25
16384                  32.37
32768                  33.29
65536                  33.59
131072                 33.90
262144                 34.11
524288                 37.00
1048576                42.18
  [run 5/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.06
2                      12.01
4                      12.18
8                      12.72
16                     11.55
32                     11.60
64                     11.52
128                    11.58
256                    11.55
512                    16.40
1024                   16.72
2048                   17.22
4096                   30.73
8192                   31.96
16384                  31.91
32768                  33.07
65536                  33.51
131072                 33.89
262144                 33.83
524288                 36.01
1048576                41.86
  [run 6/6] recording

