benchmark,num_gcds,run,size_bytes,latency_us
osu_alltoall,2,2,1,23.08
osu_alltoall,2,2,2,24.86
osu_alltoall,2,2,4,25.48
osu_alltoall,2,2,8,25.63
osu_alltoall,2,2,16,25.47
osu_alltoall,2,2,32,25.49
osu_alltoall,2,2,64,25.62
osu_alltoall,2,2,128,26.94
osu_alltoall,2,2,256,26.09
osu_alltoall,2,2,512,26.41
osu_alltoall,2,2,1024,27.05
osu_alltoall,2,2,2048,28.06
osu_alltoall,2,2,4096,29.34
osu_alltoall,2,2,8192,28.71
osu_alltoall,2,2,16384,29.06
osu_alltoall,2,2,32768,29.32
osu_alltoall,2,2,65536,32.29
osu_alltoall,2,2,131072,38.35
osu_alltoall,2,2,262144,36.51
osu_alltoall,2,2,524288,38.53
osu_alltoall,2,2,1048576,47.00
osu_alltoall,2,3,1,22.86
osu_alltoall,2,3,2,24.75
osu_alltoall,2,3,4,25.19
osu_alltoall,2,3,8,25.14
osu_alltoall,2,3,16,25.10
osu_alltoall,2,3,32,25.16
osu_alltoall,2,3,64,25.32
osu_alltoall,2,3,128,26.64
osu_alltoall,2,3,256,25.68
osu_alltoall,2,3,512,26.18
osu_alltoall,2,3,1024,26.69
osu_alltoall,2,3,2048,27.80
osu_alltoall,2,3,4096,29.11
osu_alltoall,2,3,8192,28.37
osu_alltoall,2,3,16384,28.65
osu_alltoall,2,3,32768,28.92
osu_alltoall,2,3,65536,32.06
osu_alltoall,2,3,131072,38.28
osu_alltoall,2,3,262144,36.09
osu_alltoall,2,3,524288,37.37
osu_alltoall,2,3,1048576,46.61
osu_alltoall,2,4,1,22.82
osu_alltoall,2,4,2,24.72
osu_alltoall,2,4,4,25.31
osu_alltoall,2,4,8,25.27
osu_alltoall,2,4,16,25.24
osu_alltoall,2,4,32,25.38
osu_alltoall,2,4,64,25.43
osu_alltoall,2,4,128,26.77
osu_alltoall,2,4,256,25.83
osu_alltoall,2,4,512,26.24
osu_alltoall,2,4,1024,26.88
osu_alltoall,2,4,2048,28.24
osu_alltoall,2,4,4096,29.38
osu_alltoall,2,4,8192,28.48
osu_alltoall,2,4,16384,28.80
osu_alltoall,2,4,32768,29.29
osu_alltoall,2,4,65536,32.36
osu_alltoall,2,4,131072,38.39
osu_alltoall,2,4,262144,36.25
osu_alltoall,2,4,524288,38.01
osu_alltoall,2,4,1048576,47.04
osu_alltoall,2,5,1,22.94
osu_alltoall,2,5,2,24.69
osu_alltoall,2,5,4,25.09
osu_alltoall,2,5,8,25.16
osu_alltoall,2,5,16,25.13
osu_alltoall,2,5,32,25.09
osu_alltoall,2,5,64,25.21
osu_alltoall,2,5,128,26.51
osu_alltoall,2,5,256,25.43
osu_alltoall,2,5,512,25.80
osu_alltoall,2,5,1024,26.56
osu_alltoall,2,5,2048,27.89
osu_alltoall,2,5,4096,28.78
osu_alltoall,2,5,8192,28.14
osu_alltoall,2,5,16384,28.37
osu_alltoall,2,5,32768,28.99
osu_alltoall,2,5,65536,31.91
osu_alltoall,2,5,131072,38.11
osu_alltoall,2,5,262144,35.84
osu_alltoall,2,5,524288,37.46
osu_alltoall,2,5,1048576,46.51
osu_alltoall,2,6,1,23.07
osu_alltoall,2,6,2,25.00
osu_alltoall,2,6,4,25.61
osu_alltoall,2,6,8,25.59
osu_alltoall,2,6,16,25.57
osu_alltoall,2,6,32,25.54
osu_alltoall,2,6,64,25.70
osu_alltoall,2,6,128,26.98
osu_alltoall,2,6,256,26.05
osu_alltoall,2,6,512,26.53
osu_alltoall,2,6,1024,27.09
osu_alltoall,2,6,2048,28.42
osu_alltoall,2,6,4096,29.50
osu_alltoall,2,6,8192,28.62
osu_alltoall,2,6,16384,28.79
osu_alltoall,2,6,32768,29.30
osu_alltoall,2,6,65536,32.35
osu_alltoall,2,6,131072,38.49
osu_alltoall,2,6,262144,36.34
osu_alltoall,2,6,524288,37.96
osu_alltoall,2,6,1048576,46.92
osu_alltoall,4,2,1,24.51
osu_alltoall,4,2,2,26.65
osu_alltoall,4,2,4,27.28
osu_alltoall,4,2,8,27.48
osu_alltoall,4,2,16,27.33
osu_alltoall,4,2,32,27.25
osu_alltoall,4,2,64,27.38
osu_alltoall,4,2,128,28.80
osu_alltoall,4,2,256,27.62
osu_alltoall,4,2,512,27.93
osu_alltoall,4,2,1024,27.98
osu_alltoall,4,2,2048,29.34
osu_alltoall,4,2,4096,30.65
osu_alltoall,4,2,8192,30.56
osu_alltoall,4,2,16384,33.37
osu_alltoall,4,2,32768,40.34
osu_alltoall,4,2,65536,39.61
osu_alltoall,4,2,131072,41.54
osu_alltoall,4,2,262144,54.32
osu_alltoall,4,2,524288,80.46
osu_alltoall,4,2,1048576,131.96
osu_alltoall,4,3,1,24.66
