Using OSU collective binaries from: /users/joglekar/eessi/versions/2025.06/software/linux/x86_64/amd/zen3/software/OSU-Micro-Benchmarks/7.5-rompi-2025a/libexec/osu-micro-benchmarks/mpi/collective

################################################################
# osu_alltoall  N=2 GCDs   devices=0,1   cpu_mask=49,57
################################################################
  [run 1/6] warm-up starting

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.70
2                       1.69
4                       1.59
8                       1.56
16                      1.56
32                      1.56
64                      1.57
128                     1.57
256                     1.61
512                    11.77
1024                   12.37
2048                   12.30
4096                   18.13
8192                   18.51
16384                  18.57
32768                  20.32
65536                  24.78
131072                 34.59
262144                 62.73
524288                109.71
1048576               143.10
  [run 2/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.67
2                       1.59
4                       1.63
8                       1.60
16                      1.59
32                      1.55
64                      1.61
128                     1.62
256                     1.71
512                    11.34
1024                   11.60
2048                   11.53
4096                   18.30
8192                   18.74
16384                  18.67
32768                  20.44
65536                  23.68
131072                 31.21
262144                 57.14
524288                105.21
1048576               137.65
  [run 3/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.69
2                       1.60
4                       1.55
8                       1.60
16                      1.56
32                      1.59
64                      1.55
128                     1.57
256                     1.62
512                    11.40
1024                   11.34
2048                   11.63
4096                   18.62
8192                   18.82
16384                  19.24
32768                  20.83
65536                  25.19
131072                 35.17
262144                 62.93
524288                110.14
1048576               142.27
  [run 4/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.59
2                       1.60
4                       1.52
8                       1.52
16                      1.52
32                      1.52
64                      1.52
128                     1.55
256                     1.56
512                    11.34
1024                   12.54
2048                   12.45
4096                   18.35
8192                   18.72
16384                  19.42
32768                  20.82
65536                  24.94
131072                 30.33
262144                 57.66
524288                105.43
1048576               136.51
  [run 5/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.64
2                       1.65
4                       1.58
8                       1.60
16                      1.57
32                      1.60
64                      1.57
128                     1.59
256                     1.65
512                    11.33
1024                   11.89
2048                   11.62
4096                   18.37
8192                   18.56
16384                  18.54
32768                  19.85
65536                  24.52
131072                 34.07
262144                 61.39
524288                108.24
1048576               141.66
  [run 6/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.67
2                       1.61
4                       1.55
8                       1.56
16                      1.59
32                      1.59
64                      1.61
128                     1.64
256                     1.65
512                    11.39
1024                   11.50
2048                   11.22
4096                   18.15
8192                   18.67
16384                  18.49
32768                  19.78
65536                  23.50
131072                 30.37
262144                 55.87
524288                104.21
1048576               137.41

################################################################
# osu_alltoall  N=4 GCDs   devices=0,1,2,3   cpu_mask=49,57,17,25
################################################################
  [run 1/6] warm-up starting

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.44
2                       3.38
4                       3.21
8                       3.22
16                      3.17
32                      3.20
64                      3.10
128                     3.18
256                     3.22
512                    28.44
1024                   28.61
2048                   21.80
4096                   45.13
8192                   45.79
16384                  45.74
32768                  47.88
65536                  53.57
131072                 72.17
262144                127.21
524288                223.50
1048576               259.97
  [run 2/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.38
2                       3.36
4                       3.11
8                       3.19
16                      3.05
32                      3.09
64                      3.20
128                     3.10
256                     3.13
512                    27.44
1024                   27.73
2048                   21.80
4096                   44.63
8192                   44.00
16384                  45.12
32768                  46.66
65536                  53.38
131072                 70.65
262144                127.21
524288                219.96
1048576               255.56
  [run 3/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.52
2                       3.28
4                       3.27
8                       3.13
16                      3.09
32                      3.10
64                      3.15
128                     3.28
256                     3.24
512                    26.88
1024                   26.97
2048                   21.00
4096                   44.40
8192                   44.32
16384                  47.34
32768                  49.05
65536                  53.01
131072                 72.11
262144                121.28
524288                216.94
1048576               253.29
  [run 4/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.93
2                       3.32
4                       3.28
8                       3.10
16                      3.24
32                      3.13
64                      3.27
128                     3.22
256                     3.32
512                    26.38
1024                   26.55
2048                   20.22
4096                   44.34
8192                   45.17
16384                  46.59
32768                  47.58
65536                  50.94
131072                 66.62
262144                116.71
524288                208.90
1048576               248.11
  [run 5/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.96
2                       3.32
4                       3.23
8                       3.10
16                      3.19
32                      3.09
64                      3.25
128                     3.16
256                     3.23
512                    26.90
1024                   26.38
2048                   21.12
4096                   44.11
8192                   44.65
16384                  45.86
32768                  47.79
65536                  53.60
131072                 73.61
262144                129.27
524288                214.26
1048576               258.39
  [run 6/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.85
2                       3.29
4                       3.10
8                       3.07
16                      3.06
32                      3.07
64                      3.08
128                     3.12
256                     3.15
512                    27.02
1024                   27.33
2048                   21.24
4096                   44.36
8192                   45.15
16384                  46.67
32768                  47.60
65536                  51.08
131072                 68.10
262144                117.35
524288                211.68
1048576               247.50

################################################################
# osu_alltoall  N=6 GCDs   devices=0,1,2,3,4,5   cpu_mask=49,57,17,25,1,9
################################################################
  [run 1/6] warm-up starting

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.92
2                       4.54
4                       4.51
8                       4.66
16                      4.49
32                      4.65
64                      4.54
128                     4.59
256                    42.99
512                    42.65
1024                   43.92
2048                   38.62
4096                  114.67
8192                  114.80
16384                 116.10
32768                 118.86
65536                 125.33
131072                150.14
262144                214.83
524288                301.85
1048576               375.08
  [run 2/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.92
2                       4.77
4                       4.70
8                       4.73
16                      4.72
32                      4.69
64                      4.77
128                     4.66
256                    43.77
512                    43.92
1024                   43.96
2048                   38.94
4096                  115.85
8192                  116.04
16384                 116.75
32768                 118.82
65536                 125.46
131072                148.75
262144                215.36
524288                301.66
1048576               373.81
  [run 3/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.99
2                       4.77
4                       4.70
8                       4.61
16                      4.75
32                      4.62
64                      4.77
128                     4.77
256                    44.70
512                    44.86
1024                   45.49
2048                   39.14
4096                  116.20
8192                  117.31
16384                 117.93
32768                 120.50
65536                 127.02
131072                151.15
262144                216.44
524288                307.48
1048576               372.94
  [run 4/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.04
2                       4.52
4                       4.62
8                       4.65
16                      4.62
32                      4.56
64                      4.51
128                     4.69
256                    43.37
512                    43.39
1024                   44.34
2048                   38.88
4096                  115.70
8192                  116.47
16384                 117.40
32768                 119.85
65536                 126.14
131072                148.95
262144                214.22
524288                306.57
1048576               372.73
  [run 5/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.03
2                       4.56
4                       4.62
8                       4.60
16                      4.59
32                      4.73
64                      4.64
128                     4.67
256                    43.86
512                    44.22
1024                   43.78
2048                   38.11
4096                  116.35
8192                  116.93
16384                 118.77
32768                 119.14
65536                 125.39
131072                153.00
262144                216.07
524288                309.84
1048576               375.05
  [run 6/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.75
2                       4.62
4                       4.82
8                       4.65
16                      4.53
32                      4.47
64                      4.66
128                     4.73
256                    43.22
512                    42.52
1024                   43.52
2048                   38.41
4096                  115.87
8192                  116.12
16384                 117.39
32768                 120.23
65536                 127.19
131072                151.79
262144                214.35
524288                303.20
1048576               374.18

################################################################
# osu_alltoall  N=8 GCDs   devices=0,1,2,3,4,5,6,7   cpu_mask=49,57,17,25,1,9,33,41
################################################################
  [run 1/6] warm-up starting

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       8.99
2                       6.95
4                       6.71
8                       6.75
16                      6.69
32                      6.71
64                      6.98
128                     7.10
256                    61.61
512                    61.43
1024                   56.61
2048                   57.52
4096                  147.55
8192                  148.45
16384                 152.65
32768                 155.02
65536                 162.06
131072                193.36
262144                266.62
524288                381.66
1048576               453.45
  [run 2/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.17
2                       6.91
4                       6.90
8                       6.84
16                      6.78
32                      6.76
64                      7.02
128                     7.06
256                    60.51
512                    60.99
1024                   55.56
2048                   56.18
4096                  145.98
8192                  148.49
16384                 149.42
32768                 150.48
65536                 160.68
131072                189.49
262144                264.64
524288                373.25
1048576               451.54
  [run 3/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.18
2                       6.92
4                       6.98
8                       6.91
16                      6.82
32                      6.96
64                      7.05
128                     7.13
256                    62.26
512                    61.97
1024                   57.33
2048                   57.71
4096                  147.31
8192                  148.62
16384                 151.69
32768                 154.18
65536                 162.13
131072                193.79
262144                267.58
524288                384.34
1048576               457.04
  [run 4/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.16
2                       6.83
4                       6.78
8                       6.90
16                      7.07
32                      6.95
64                      7.03
128                     7.15
256                    62.18
512                    61.63
1024                   56.69
2048                   57.42
4096                  146.91
8192                  148.31
16384                 152.15
32768                 154.07
65536                 161.89
131072                193.35
262144                271.03
524288                382.78
1048576               454.42
  [run 5/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.08
2                       6.85
4                       6.98
8                       6.90
16                      6.87
32                      6.91
64                      6.95
128                     7.09
256                    61.62
512                    61.56
1024                   56.50
2048                   57.34
4096                  147.31
8192                  147.36
16384                 150.62
32768                 154.51
65536                 161.36
131072                193.63
262144                274.02
524288                377.11
1048576               451.39
  [run 6/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.10
2                       6.90
4                       6.90
8                       6.82
16                      6.78
32                      6.80
64                      7.13
128                     7.23
256                    61.93
512                    62.08
1024                   56.44
2048                   56.94
4096                  146.58
8192                  147.20
16384                 150.09
32768                 154.00
65536                 160.08
131072                192.77
262144                264.32
524288                383.42
1048576               453.44
