
################################################################
# intra_pkg_OAM0   GCD(0,1)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.03
2                       6.08
4                      12.91
8                      26.52
16                     53.02
32                    106.12
64                    188.40
128                   404.62
256                    48.12
512                    94.60
1024                  188.27
2048                  367.26
4096                  376.07
8192                  739.99
16384                1489.88
32768                2933.65
65536                5699.41
131072              10993.37
262144              20617.85
524288              36271.28
1048576             58458.70
2097152             82876.32
4194304            105334.37
8388608            120753.92
16777216           130395.45
33554432           136292.27
67108864           139325.79
134217728          140813.49
268435456          141653.75
536870912          142380.61
1073741824         142302.07
  [run 3] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.02
2                       6.03
4                      12.84
8                      26.44
16                     49.42
32                    102.20
64                    209.83
128                   417.86
256                    47.97
512                    94.57
1024                  187.73
2048                  367.30
4096                  375.72
8192                  737.44
16384                1485.26
32768                2924.57
65536                5667.95
131072              10960.03
262144              20490.27
524288              36254.86
1048576             58339.20
2097152             82932.22
4194304            105297.63
8388608            120693.82
16777216           130873.86
33554432           136424.98
67108864           139444.20
134217728          141152.65
268435456          142121.17
536870912          142656.96
1073741824         142391.49
  [run 4] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.97
2                       5.96
4                      12.70
8                      25.94
16                     52.04
32                    103.30
64                    206.63
128                   407.76
256                    48.03
512                    94.62
1024                  188.21
2048                  365.70
4096                  375.92
8192                  741.65
16384                1482.67
32768                2927.97
65536                5688.00
131072              10979.61
262144              20567.17
524288              36291.65
1048576             58381.25
2097152             83059.63
4194304            105210.24
8388608            120757.32
16777216           130633.55
33554432           136135.05
67108864           139330.99
134217728          140767.84
268435456          141623.19
536870912          142228.92
1073741824         142180.06
  [run 5] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.95
2                       5.91
4                      12.63
8                      25.79
16                     50.76
32                     93.28
64                    204.54
128                   408.44
256                    47.93
512                    94.62
1024                  188.45
2048                  369.11
4096                  374.09
8192                  740.10
16384                1483.17
32768                2928.18
65536                5694.72
131072              10980.94
262144              20564.96
524288              36269.83
1048576             58342.50
2097152             82920.00
4194304            105139.80
8388608            120598.72
16777216           130366.86
33554432           136403.49
67108864           139301.45
134217728          140994.85
268435456          141982.57
536870912          142564.41
1073741824         142143.29
  [run 6] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.96
2                       5.92
4                      12.67
8                      25.84
16                     52.00
32                    103.98
64                    206.04
128                   408.79
256                    47.61
512                    94.45
1024                  188.17
2048                  368.32
4096                  374.49
8192                  770.71
16384                1536.92
32768                3036.73
65536                5890.60
131072              11382.28
262144              21224.14
524288              37268.88
1048576             59732.96
2097152             84657.74
4194304            106374.05
8388608            121413.00
16777216           130730.39
33554432           136244.08
67108864           139111.56
134217728          141086.04
268435456          141878.67
536870912          142443.80
1073741824         142087.30

################################################################
# intra_pkg_OAM1   GCD(2,3)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.02
2                       6.03
4                      12.89
8                      26.32
16                     52.90
32                    105.57
64                    209.90
128                   415.64
256                    47.50
512                    94.62
1024                  186.63
2048                  364.79
4096                  371.90
8192                  736.52
16384                1474.35
32768                3008.90
65536                5860.73
131072              11325.16
262144              21086.15
524288              37221.48
1048576             59546.44
2097152             84302.60
4194304            106183.59
8388608            121257.83
16777216           130565.95
33554432           135804.62
67108864           138609.01
134217728          140316.52
268435456          141312.13
536870912          141574.66
1073741824         141776.64
  [run 3] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.99
2                       5.48
4                      12.73
8                      26.15
16                     52.01
32                    104.29
64                    207.17
128                   411.23
256                    47.62
512                    94.81
1024                  187.79
2048                  365.38
4096                  373.60
8192                  739.36
16384                1482.75
32768                2942.10
65536                5883.33
131072              11319.07
262144              21122.57
524288              37210.73
1048576             59579.79
2097152             84373.69
4194304            106169.12
8388608            121251.08
16777216           130649.49
33554432           135945.00
67108864           138713.16
134217728          140608.37
268435456          141268.88
536870912          142082.13
1073741824         142147.06
  [run 4] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.96
2                       5.92
4                      12.66
8                      25.81
16                     51.13
32                     94.36
64                    205.35
128                   406.40
256                    47.56
512                    94.73
1024                  188.24
2048                  364.00
4096                  374.71
8192                  739.01
16384                1476.20
32768                2919.52
65536                5690.20
131072              10967.03
262144              20549.39
524288              36238.23
1048576             58678.96
2097152             84348.02
4194304            106147.60
8388608            121182.49
16777216           130826.96
33554432           135882.70
67108864           138890.87
134217728          140554.65
268435456          141033.62
536870912          141783.29
1073741824         141853.69
  [run 5] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.97
2                       6.01
4                      12.72
8                      26.11
16                     52.37
32                    104.76
64                    208.43
128                   407.65
256                    47.52
512                    94.89
1024                  188.07
2048                  367.82
4096                  371.61
8192                  739.47
16384                1475.75
32768                2918.54
65536                5661.41
131072              10949.09
262144              20484.24
524288              36164.56
1048576             58190.43
2097152             82696.77
4194304            105105.62
8388608            121159.57
16777216           130755.23
33554432           135666.01
67108864           138772.26
134217728          140136.00
268435456          141194.86
536870912          141673.23
1073741824         141792.47
  [run 6] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.95
2                       5.93
4                      12.54
8                      25.75
16                     51.48
32                    103.07
64                    205.18
128                   404.59
256                    47.44
512                    94.71
1024                  187.48
2048                  368.26
4096                  373.16
8192                  739.13
16384                1471.54
32768                2917.12
65536                5654.63
131072              10936.19
262144              20472.78
524288              36039.04
1048576             58197.81
2097152             84251.44
4194304            106127.19
8388608            121155.01
16777216           130520.26
33554432           135845.50
67108864           138681.13
134217728          140391.29
268435456          141299.04
536870912          141893.27
1073741824         142163.29

################################################################
# intra_pkg_OAM2   GCD(4,5)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.94
2                       5.94
4                      12.60
8                      25.87
16                     46.62
32                    101.82
64                    204.12
128                   403.16
256                    49.76
512                    98.72
1024                  192.28
2048                  379.94
4096                  390.10
8192                  769.52
16384                1543.05
32768                3031.14
65536                5920.91
131072              11393.18
262144              21177.12
524288              37380.18
1048576             59760.64
2097152             84455.82
4194304            106286.85
8388608            121301.72
16777216           130286.01
33554432           135717.89
67108864           138553.85
134217728          139921.86
268435456          140590.92
536870912          141166.55
1073741824         141524.75
  [run 3] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.99
2                       5.97
4                      12.68
8                      26.10
16                     52.04
32                    104.50
64                    206.94
128                   410.65
256                    49.61
512                    98.85
1024                  191.99
2048                  379.19
4096                  389.66
8192                  771.40
16384                1535.38
32768                3031.99
65536                5902.49
131072              11341.83
262144              21190.42
524288              37268.50
1048576             59715.28
2097152             84507.42
4194304            106393.29
8388608            121487.39
16777216           130661.10
33554432           135682.75
67108864           138448.85
134217728          140042.26
268435456          140451.01
536870912          141097.71
1073741824         141092.33
  [run 4] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.90
2                       5.83
4                      12.35
8                      25.34
16                     50.63
32                    101.57
64                    201.16
128                   398.00
256                    50.29
512                    99.59
1024                  196.85
2048                  386.31
4096                  390.54
8192                  776.17
16384                1545.82
32768                3058.90
65536                5955.03
131072              11420.18
262144              21300.31
524288              37518.96
1048576             59877.66
2097152             84694.98
4194304            106422.74
8388608            121603.88
16777216           130723.25
33554432           135713.23
67108864           138579.55
134217728          139874.34
268435456          140922.75
536870912          141223.29
1073741824         141506.22
  [run 5] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.98
2                       6.01
4                      12.72
8                      26.17
16                     52.34
32                    105.08
64                    208.34
128                   413.41
256                    49.65
512                    97.39
1024                  192.03
2048                  378.83
4096                  389.16
8192                  769.15
16384                1536.78
32768                3031.46
65536                5896.22
131072              11362.82
262144              21173.71
524288              37350.09
1048576             60035.95
2097152             84855.74
4194304            106504.22
8388608            121388.00
16777216           130466.76
33554432           135590.58
67108864           138379.96
134217728          139773.46
268435456          140322.13
536870912          140867.60
1073741824         140970.42
  [run 6] recording
