
################################################################
# intra_pkg_OAM0   GCD(0,1)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.51
2                       0.49
4                       0.49
8                       0.48
16                      0.48
32                      0.49
64                      0.49
128                     0.50
256                     0.51
512                     4.89
1024                    4.85
2048                    5.03
4096                   14.31
8192                   14.41
16384                  14.60
32768                  14.62
65536                  14.80
131072                 15.28
262144                 16.18
524288                 17.94
1048576                21.42
2097152                28.51
4194304                43.58
  [run 3] recording

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.52
2                       0.50
4                       0.50
8                       0.50
16                      0.49
32                      0.50
64                      0.50
128                     0.51
256                     0.52
512                     4.96
1024                    4.88
2048                    4.96
4096                   14.43
8192                   14.54
16384                  14.87
32768                  14.79
65536                  15.05
131072                 15.35
262144                 16.24
524288                 18.04
1048576                21.38
2097152                28.56
4194304                43.58
  [run 4] recording

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.51
2                       0.50
4                       0.49
8                       0.49
16                      0.49
32                      0.49
64                      0.49
128                     0.50
256                     0.52
512                     4.92
1024                    4.86
2048                    5.06
4096                   14.44
8192                   15.12
16384                  14.74
32768                  15.90
65536                  16.58
131072                 15.46
262144                 16.19
524288                 17.97
1048576                22.17
2097152                28.54
4194304                43.63
  [run 5] recording

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.52
2                       0.49
4                       0.49
8                       0.50
16                      0.48
32                      0.49
64                      0.50
128                     0.50
256                     0.51
512                     4.90
1024                    4.87
2048                    5.05
4096                   14.42
8192                   14.49
16384                  16.87
32768                  14.89
65536                  14.71
131072                 15.04
262144                 16.00
524288                 17.76
1048576                21.20
2097152                28.35
4194304                43.28
  [run 6] recording

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.52
2                       0.50
4                       0.49
8                       0.49
16                      0.49
32                      0.49
64                      0.49
128                     0.50
256                     0.51
512                     4.89
1024                    4.81
2048                    4.95
4096                   14.33
8192                   14.06
16384                  13.98
32768                  14.37
65536                  14.64
131072                 14.87
262144                 15.76
524288                 17.39
1048576                20.71
2097152                28.36
4194304                43.08

################################################################
# intra_pkg_OAM1   GCD(2,3)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.52
2                       0.49
4                       0.49
8                       0.49
16                      0.49
32                      0.49
64                      0.49
128                     0.51
256                     0.52
512                     4.85
1024                    4.79
2048                    4.99
4096                   13.80
8192                   13.68
16384                  13.77
32768                  13.86
65536                  14.09
131072                 14.61
262144                 15.51
524288                 17.18
1048576                20.98
2097152                28.04
4194304                42.99
  [run 3] recording

