================================================================
osu_mbw_mr aggregate (8 ranks, 4 pairs, 3 configs)
================================================================

################################################################
# [osu_mbw_mr] cfg_routed_split
# Pairing: (0,4)(1,5)(2,6)(3,7) all_routed
# ROCR order: 0,1,2,3,4,5,6,7   (rank i ↔ rank i+4)
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.06       10062865.39
2                      20.37       10183038.12
4                      41.49       10373680.43
8                      83.97       10495814.49
16                    167.71       10481973.21
32                    335.11       10472181.89
64                    664.21       10378263.38
128                    95.55         746455.30
256                   190.56         744372.91
512                   376.26         734880.71
1024                  742.17         724773.78
2048                 1459.17         712484.23
4096                 2855.18         697064.84
8192                 5541.60         676464.31
16384               10630.43         648830.24
32768               19873.95         606504.72
65536               35762.74         545696.05
131072              58109.74         443342.09
262144              83045.29         316792.62
524288             106544.62         203217.74
1048576            123961.33         118218.74
2097152            133939.03          63867.11
4194304            138161.38          32940.24
  [run 3/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.10       10104696.10
2                      20.95       10477296.09
4                      42.73       10682170.28
8                      86.05       10756131.91
16                    175.42       10963848.64
32                    352.03       11000918.10
64                    694.81       10856425.68
128                    95.34         744843.06
256                   190.40         743758.32
512                   377.07         736462.23
1024                  744.73         727275.32
2048                 1455.00         710451.08
4096                 2850.75         695984.18
8192                 5533.72         675502.44
16384               10625.17         648508.97
32768               19916.55         607804.96
65536               35765.28         545734.94
131072              58185.20         443917.82
262144              82531.70         314833.45
524288             105940.39         202065.26
1048576            123646.19         117918.19
2097152            134083.67          63936.08
4194304            138256.97          32963.03
  [run 4/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       9.97        9967763.44
2                      20.29       10144129.86
4                      41.38       10345937.22
8                      83.61       10451469.81
16                    165.71       10356815.56
32                    334.26       10445665.76
64                    662.57       10352697.39
128                    95.80         748465.89
256                   189.43         739975.85
512                   378.42         739093.59
1024                  742.16         724763.59
2048                 1463.25         714478.00
4096                 2856.39         697361.92
8192                 5539.07         676155.85
16384               10639.76         649399.49
32768               19920.04         607911.45
65536               35776.51         545906.18
131072              58096.23         443239.07
262144              82752.46         315675.59
524288             106363.00         202871.33
1048576            123851.80         118114.28
2097152            134241.30          64011.24
4194304            138228.41          32956.22
  [run 5/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.11       10113212.68
2                      21.05       10525060.75
4                      42.69       10672819.10
8                      85.54       10692311.51
16                    170.65       10665526.79
32                    340.23       10632163.08
64                    674.79       10543595.45
128                    95.89         749108.80
256                   191.02         746187.40
512                   378.97         740176.36
1024                  752.09         734466.22
2048                 1476.17         720786.99
4096                 2885.21         704396.47
8192                 5599.28         683505.89
16384               10737.20         655346.39
32768               20181.25         615882.90
65536               36457.79         556301.80
131072              59003.39         450160.12
262144              83979.46         320356.20
524288             107613.43         205256.33
1048576            124315.57         118556.56
2097152            134222.80          64002.42
4194304            138253.20          32962.13
  [run 6/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.12       10115703.30
2                      19.99        9992842.04
4                      41.09       10271413.06
8                      83.74       10467349.79
16                    167.79       10487138.87
32                    335.13       10472901.62
64                    671.33       10489514.07
128                    96.00         749990.87
256                   190.04         742341.79
512                   375.96         734306.59
1024                  742.19         724798.73
2048                 1463.43         714566.66
4096                 2882.16         703651.22
8192                 5583.29         681554.17
16384               10726.84         654714.38
32768               20085.97         612975.17
65536               36115.17         551073.73
131072              58642.08         447403.59
262144              83515.90         318587.89
524288             107127.17         204328.87
1048576            124481.13         118714.46
2097152            134433.91          64103.08
4194304            138348.14          32984.77

################################################################
# [osu_mbw_mr] cfg_intra_pkg
# Pairing: (0,1)(2,3)(4,5)(6,7) all_intra_pkg_4link
# ROCR order: 0,2,4,6,1,3,5,7   (rank i ↔ rank i+4)
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.18       10183123.18
2                      21.41       10703143.20
4                      43.61       10902360.95
8                      88.09       11010888.84
16                    173.76       10860194.20
32                    351.50       10984439.64
64                    695.30       10864096.73
128                    95.94         749546.32
256                   190.57         744403.39
512                   378.73         739709.55
1024                  747.78         730254.77
2048                 1466.23         715931.46
4096                 1503.16         366983.17
8192                 2971.43         362723.88
16384                5910.48         360746.94
32768               11754.70         358724.97
65536               22880.84         349133.94
131072              44138.15         336747.33
262144              82554.28         314919.60
524288             145621.46         277750.90
1048576            234234.39         223383.32
2097152            332849.41         158714.96
4194304            422699.52         100779.42
  [run 3/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       9.91        9911752.49
2                      20.43       10212836.92
4                      41.73       10431630.09
8                      84.80       10599728.28
16                    170.70       10668843.78
32                    353.50       11047016.60
64                    702.68       10979390.59
128                    95.16         743462.12
256                   190.05         742382.66
512                   377.38         737070.73
1024                  745.06         727596.07
2048                 1457.30         711573.77
4096                 1514.98         369867.91
8192                 2997.90         365954.94
16384                5951.93         363276.75
32768               11866.19         362127.52
65536               23095.39         352407.69
131072              44545.88         339858.08
262144              83273.50         317663.19
524288             146515.89         279456.89
1048576            235545.11         224633.32
2097152            334109.72         159315.93
4194304            422821.80         100808.57
  [run 4/6] recording
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.63       10632563.83
2                      20.82       10411191.22
4                      42.37       10593577.60
8                      85.73       10715703.29
16                    171.62       10726077.97
32                    348.77       10898976.07
64                    695.22       10862770.22
128                    95.30         744562.99
256                   189.77         741293.16
512                   377.96         738211.87
1024                  749.73         732161.00
2048                 1483.57         724397.85
4096                 1516.42         370219.53
