--- osu_allreduce (Latency in us) ---,,,,,,,,,,,,
Message_Size_Bytes,EESSI_2GCD,Cray_2GCD,Delta_%_2GCD,EESSI_4GCD,Cray_4GCD,Delta_%_4GCD,EESSI_6GCD,Cray_6GCD,Delta_%_6GCD,EESSI_8GCD,Cray_8GCD,Delta_%_8GCD
4,26.18,0.41,6285.85%,28.77,0.52,5411.11%,27.93,0.67,4044.51%,31.31,1.33,2257.98%
8,27.4,0.42,6363.21%,29.37,0.52,5548.08%,28.86,0.65,4339.69%,32.19,1.34,2298.96%
16,25.84,0.42,6081.82%,27.23,0.52,5096.95%,27.03,0.68,3899.11%,29.78,1.34,2118.93%
32,25.71,0.42,5991.47%,27.22,0.52,5093.89%,27.15,0.66,4025.84%,29.84,1.33,2150.23%
64,25.75,0.43,5917.29%,27.07,0.55,4839.42%,27.14,0.65,4075.38%,29.85,1.39,2041.32%
128,25.94,0.44,5769.23%,27.91,0.58,4695.88%,27.93,0.67,4068.36%,31.27,1.41,2120.74%
256,25.94,2.54,921.10%,27.38,3.72,636.08%,27.76,4.75,484.18%,43.36,5.82,644.57%
512,26.3,2.61,907.59%,34.52,4.02,759.56%,36.03,5.11,604.85%,43.69,6.21,603.32%
1024,26.63,2.72,879.04%,34.91,3.86,805.24%,36.44,4.75,666.47%,44.59,6.54,582.07%
2048,27.42,2.52,989.75%,36.05,3.74,864.47%,37.89,5.47,593.19%,46.87,8.5,451.59%
4096,32.02,3.66,774.92%,38.39,5.72,570.85%,43.64,7.63,472.16%,50.5,14.33,252.34%
8192,33.15,22.07,50.23%,77.6,25.78,200.99%,126.08,30.67,311.03%,123.86,39.12,216.60%
16384,46.48,24.9,86.71%,80.98,30.75,163.34%,130.59,37.27,250.35%,125.41,46.09,172.07%
32768,50.62,29.07,74.13%,85.06,35.48,139.73%,136.31,47.07,189.58%,132.89,65.34,103.36%
65536,59.88,38.74,54.55%,93.99,45.74,105.47%,146.42,61.85,136.72%,158.33,90.96,74.06%
131072,79.37,63.3,25.38%,123.36,75.52,63.35%,175.76,107.13,64.06%,211.75,195.96,8.06%
262144,115.35,67.14,71.80%,181.71,85.73,111.96%,233.19,124.63,87.11%,306.49,197.8,54.95%
524288,186.29,74.34,150.59%,295.14,98.66,199.16%,350.21,146.36,139.29%,511.09,216.32,136.26%
1048576,329.8,79.52,314.73%,518.25,111.45,364.99%,574.65,172.03,234.05%,931.28,275.69,237.80%
,,,,,,,,,,,,
--- osu_alltoall (Latency in us) ---,,,,,,,,,,,,
Message_Size_Bytes,EESSI_2GCD,Cray_2GCD,Delta_%_2GCD,EESSI_4GCD,Cray_4GCD,Delta_%_4GCD,EESSI_6GCD,Cray_6GCD,Delta_%_6GCD,EESSI_8GCD,Cray_8GCD,Delta_%_8GCD
1,11.66,0.37,3033.60%,15.9,0.44,3513.64%,23.23,0.62,3634.62%,22.75,4.44,412.35%
2,12.01,0.38,3060.00%,15.86,0.44,3504.09%,23.24,0.62,3660.13%,22.46,4.53,396.12%
4,12.33,0.38,3126.70%,15.84,0.43,3567.44%,23.2,0.61,3716.34%,22.46,4.39,411.39%
8,12.63,0.38,3224.21%,15.93,0.44,3537.90%,23,0.62,3621.36%,22.69,4.55,398.90%
16,11.49,0.38,2907.33%,15.89,0.44,3512.27%,23.2,0.61,3678.89%,22.04,4.62,376.65%
32,11.37,0.4,2755.78%,15.89,0.46,3340.09%,23.23,0.63,3598.73%,22.02,4.73,365.92%
64,11.2,0.41,2646.05%,15.91,0.47,3291.56%,23.11,0.64,3521.19%,21.94,5.62,290.41%
128,11.19,0.43,2513.11%,15.96,0.49,3150.20%,23.14,0.67,3332.94%,22.42,6.2,261.64%
256,11.27,1.54,631.95%,15.94,1.85,759.52%,23.26,2.57,804.28%,22.79,7.87,189.51%
512,16.32,1.56,944.94%,22.18,1.87,1087.15%,30.72,2.56,1098.28%,46.94,8.15,476.32%
1024,17.29,3.38,411.66%,23.27,4.1,468.04%,32.18,5.44,491.54%,47.53,10.87,337.28%
2048,17.29,3.41,406.41%,23.33,4.1,469.02%,32.12,5.43,491.53%,46.6,10.8,331.48%
4096,30.73,3.57,760.10%,40.54,4.29,845.89%,57.44,5.84,884.22%,80.99,11.51,603.88%
8192,32.54,24.18,34.61%,43.08,30.01,43.55%,60.08,40.83,47.16%,82.68,79.37,4.16%
16384,32.44,24.23,33.86%,42.86,30.13,42.24%,59.79,41.15,45.31%,82.52,79.91,3.26%
32768,33.56,24.36,37.80%,43.76,30.29,44.47%,61.08,41.51,47.16%,82.49,80.37,2.63%
65536,33.78,26.54,27.27%,44.02,32.9,33.78%,61,44.46,37.21%,82.17,84.88,-3.20%
131072,34.2,27.5,24.34%,44.59,34.4,29.62%,61.5,46.36,32.65%,83.21,87.49,-4.90%
262144,36.43,31.1,17.13%,47.45,38.64,22.78%,64.55,51.68,24.91%,90.23,95.27,-5.29%
524288,40.56,36.56,10.96%,54,46.1,17.14%,72.23,60.85,18.70%,128.27,109.43,17.21%
1048576,63.36,48.33,31.11%,85.39,59.98,42.36%,122.95,80.49,52.74%,238.19,138.39,72.12%
