stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,run,size_bytes,bandwidth_MBps
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,1,0.13
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,2,0.26
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,4,0.52
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,8,1.03
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,16,2.07
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,32,4.16
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,64,8.31
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,128,16.54
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,256,511.97
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,512,1021.70
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,1024,2043.40
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,2048,4095.83
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,4096,8183.34
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,8192,13549.94
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,16384,21088.60
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,32768,28191.56
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,65536,36858.18
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,131072,40439.39
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,262144,41398.30
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,524288,42745.14
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,2,1048576,43359.96
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,1,0.13
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,2,0.25
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,4,0.49
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,8,0.99
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,16,1.98
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,32,3.97
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,64,7.95
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,128,15.86
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,256,507.61
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,512,1007.59
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,1024,2043.78
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,2048,4082.85
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,4096,8155.29
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,8192,13586.07
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,16384,21068.37
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,32768,28944.01
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,65536,36842.15
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,131072,40489.47
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,262144,41153.01
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,524288,42546.26
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,3,1048576,43456.79
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,1,0.13
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,2,0.26
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,4,0.52
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,8,1.04
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,16,2.08
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,32,4.17
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,64,8.37
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,128,16.68
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,256,511.28
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,512,1021.11
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,1024,2036.99
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,2048,4004.82
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,4096,8157.01
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,8192,13634.36
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,16384,20518.47
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,32768,27968.78
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,65536,36803.84
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,131072,40253.53
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,262144,40985.52
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,524288,42395.99
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,4,1048576,42813.53
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,1,0.13
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,2,0.26
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,4,0.52
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,8,1.03
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,16,2.07
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,32,4.13
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,64,8.28
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,128,16.43
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,256,510.92
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,512,1021.45
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,1024,2043.88
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,2048,4090.07
eessi,0,inter_GCD0_GCD0,nid005014,nid005015,0,0,inter_node,nic_via_xgmi,5,4096,8032.21
