stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,run,size_bytes,bandwidth_MBps
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,1,1.58
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,2,3.16
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,4,6.31
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,8,12.64
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,16,25.25
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,32,50.63
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,64,101.06
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,128,201.80
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,256,398.83
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,512,796.67
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,1024,1593.68
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,2048,3191.48
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,4096,6388.64
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,8192,13154.06
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,16384,24485.77
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,32768,30754.11
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,65536,37254.95
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,131072,41407.91
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,262144,43922.94
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,524288,45279.86
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,2,1048576,45986.02
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,3,1,1.56
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,3,2,3.13
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,3,4,6.26
native,0,inter_GCD0_GCD0,nid007968,nid007969,0,0,inter_node,nic_via_xgmi,3,8,12.53
