STACK=native  NODE_A=nid007968  NODE_B=nid007969
################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

################################################################
# [native sdma=0] inter_GCD0_GCD0  GCD(0,0)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:13:51
  [run 1/6] done in 5s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.16
4                       6.32
8                      12.64
16                     25.24
32                     50.60
64                    101.12
128                   201.45
256                   398.80
512                   795.92
1024                 1589.88
2048                 3166.77
4096                 6276.92
8192                13101.22
16384               24575.76
32768               30860.68
65536               37308.73
131072              41405.35
262144              43939.59
524288              45273.61
1048576             45990.33
  [run 2/6] recording - 18:13:56
  [run 2/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.16
4                       6.31
8                      12.64
16                     25.25
32                     50.63
64                    101.06
128                   201.80
256                   398.83
512                   796.67
1024                 1593.68
2048                 3191.48
4096                 6388.64
8192                13154.06
16384               24485.77
32768               30754.11
65536               37254.95
131072              41407.91
262144              43922.94
524288              45279.86
1048576             45986.02
  [run 3/6] recording - 18:13:58
  [run 3/6] done in 1s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.56
2                       3.13
4                       6.26
8                      12.53
16                     25.00
32                     50.18
64                    100.18
128                   199.18
256                   394.46
512                   787.68
1024                 1578.12
2048                 3155.01
4096                 6313.18
8192                12994.34
16384               24431.40
32768               30653.11
65536               37169.66
131072              41367.47
262144              43843.55
524288              45273.06
1048576             45983.71
  [run 4/6] recording - 18:13:59
srun: Step created for StepId=18750219.3
  [run 4/6] done in 3s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.17
4                       6.34
8                      12.68
16                     25.30
32                     50.69
64                    101.42
128                   202.20
256                   397.69
512                   798.12
1024                 1597.93
2048                 3194.68
4096                 6271.36
8192                13178.44
16384               24617.14
32768               30790.16
65536               37266.70
131072              41408.70
262144              43934.56
524288              45284.39
1048576             45988.51
  [run 5/6] recording - 18:14:02
  [run 5/6] done in 1s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.15
4                       6.30
8                      12.59
16                     25.14
32                     50.49
64                    100.66
128                   200.48
256                   397.26
512                   792.81
1024                 1588.96
2048                 3176.01
4096                 6353.84
8192                13037.22
16384               24570.54
32768               30726.32
65536               37293.60
131072              41396.77
262144              43931.58
524288              45289.61
1048576             45990.67
  [run 6/6] recording - 18:14:03
srun: Step created for StepId=18750219.5
  [run 6/6] done in 4s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.17
4                       6.32
8                      12.63
16                     25.28
32                     50.45
64                    101.14
128                   201.29
256                   396.61
512                   794.91
1024                 1590.05
2048                 3177.84
4096                 6340.83
8192                13091.28
16384               24514.07
32768               30761.96
65536               37286.28
131072              41398.17
262144              43932.31
524288              45287.31
1048576             45988.14

################################################################
# [native sdma=0] inter_GCD2_GCD2  GCD(2,2)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:14:07
  [run 1/6] done in 1s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.15
4                       6.30
8                      12.60
16                     25.17
32                     50.49
64                    100.61
128                   201.66
256                   399.36
512                   799.17
1024                 1600.01
2048                 3197.93
4096                 6395.85
8192                13149.27
16384               23525.85
32768               26883.15
65536               36047.12
131072              41261.30
262144              43576.33
524288              44986.48
1048576             45438.82
  [run 2/6] recording - 18:14:08
  [run 2/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
