stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,num_links,run,size_bytes,bandwidth_MBps
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,1,3.75
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,2,8.21
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,4,16.63
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,8,33.47
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,16,66.34
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,32,129.86
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,64,250.84
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,128,472.63
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,256,480.93
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,512,855.92
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,1024,589.43
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,2048,1181.30
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,4096,2362.31
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,8192,1068.62
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,16384,2132.85
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,32768,3980.89
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,65536,7769.82
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,131072,15122.20
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,262144,26702.48
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,524288,53199.36
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,1048576,86631.77
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,2097152,114233.66
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,4194304,124045.06
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,8388608,130098.07
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,16777216,137083.50
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,33554432,140768.97
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,2,67108864,142913.69
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,1,3.72
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,2,8.40
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,4,16.63
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,8,32.21
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,16,67.38
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,32,120.79
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,64,235.94
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,128,403.75
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,256,480.05
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,512,929.51
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,1024,588.98
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,2048,1183.52
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,4096,2358.43
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,8192,1070.47
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,16384,2140.19
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,32768,3978.07
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,65536,7840.79
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,131072,15144.66
native,0,intra_pkg_OAM0_ref,nid005014,nid005014,0,1,intra_node,intra_pkg,4,3,262144,26687.71
