STACK=native  NODE_A=nid005014  NODE_B=nid007968
################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

################################################################
# [native sdma=0] intra_pkg_OAM0_ref  intra_node  GCD(0,1)  nic=intra_pkg links=4
################################################################
  [run 1/6] warm-up - 17:41:28
  [run 1/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.70
2                       8.32
4                      16.71
8                      33.39
16                     67.42
32                    119.02
64                    257.61
128                   439.15
256                   476.10
512                   900.73
1024                  582.34
2048                 1190.65
4096                 2383.44
8192                 1071.08
16384                2141.74
32768                3978.76
65536                7844.20
131072              15140.92
262144              26669.11
524288              53178.25
1048576             87701.76
2097152            114536.28
4194304            123910.81
8388608            130006.61
16777216           137167.00
33554432           140551.95
67108864           142500.26
  [run 2/6] recording - 17:41:37
  [run 2/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.75
2                       8.21
4                      16.63
8                      33.47
16                     66.34
32                    129.86
64                    250.84
128                   472.63
256                   480.93
512                   855.92
1024                  589.43
2048                 1181.30
4096                 2362.31
8192                 1068.62
16384                2132.85
32768                3980.89
65536                7769.82
131072              15122.20
262144              26702.48
524288              53199.36
1048576             86631.77
2097152            114233.66
4194304            124045.06
8388608            130098.07
16777216           137083.50
33554432           140768.97
67108864           142913.69
  [run 3/6] recording - 17:41:44
  [run 3/6] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.72
2                       8.40
4                      16.63
8                      32.21
16                     67.38
32                    120.79
64                    235.94
128                   403.75
256                   480.05
512                   929.51
1024                  588.98
2048                 1183.52
4096                 2358.43
8192                 1070.47
16384                2140.19
32768                3978.07
65536                7840.79
131072              15144.66
262144              26687.71
524288              53208.73
1048576             87710.76
2097152            114476.24
4194304            123939.92
8388608            129994.62
16777216           137149.45
33554432           140548.10
67108864           142490.71
  [run 4/6] recording - 17:41:52
srun: Step created for StepId=18749733.3
  [run 4/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.68
2                       8.19
4                      16.35
8                      32.71
16                     66.94
32                    129.72
64                    247.94
128                   454.05
256                   480.15
512                   868.41
1024                  578.47
2048                 1160.35
4096                 2329.07
8192                 1068.62
16384                2137.17
32768                3974.03
65536                7785.07
131072              15137.13
262144              26718.63
524288              53192.96
1048576             85574.90
2097152            114534.58
4194304            124447.32
8388608            130111.47
16777216           137008.40
33554432           140772.88
67108864           142896.76
  [run 5/6] recording - 17:41:59
  [run 5/6] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.82
2                       8.56
4                      16.95
8                      34.54
16                     68.81
32                    131.50
64                    205.70
128                   460.11
256                   480.60
512                   959.77
1024                  597.56
2048                 1197.88
4096                 2394.05
8192                 1069.78
16384                2139.93
32768                3975.47
65536                7838.35
131072              15123.15
262144              26692.51
524288              53168.69
1048576             86919.48
2097152            114452.67
4194304            123811.90
8388608            130050.04
16777216           137207.72
33554432           140587.92
67108864           142486.20
  [run 6/6] recording - 17:42:07
  [run 6/6] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.76
2                       8.46
4                      16.67
8                      33.04
16                     68.11
32                    130.81
64                    247.87
128                   378.65
256                   481.03
512                   891.98
1024                  593.84
2048                 1190.35
4096                 2374.20
8192                 1066.78
16384                2137.79
32768                3975.28
65536                7789.13
131072              15127.54
262144              26736.17
524288              53190.78
1048576             85816.29
2097152            114283.81
4194304            124553.66
8388608            130230.48
16777216           137094.22
33554432           140867.25
67108864           142945.74

################################################################
