stack,sdma_enabled,benchmark,num_nodes,num_gcds,run,size_bytes,latency_us
eessi_a2a_linsync,0,osu_allreduce,2,16,2,4,44.79
eessi_a2a_linsync,0,osu_allreduce,2,16,2,8,47.46
eessi_a2a_linsync,0,osu_allreduce,2,16,2,16,46.17
eessi_a2a_linsync,0,osu_allreduce,2,16,2,32,46.03
eessi_a2a_linsync,0,osu_allreduce,2,16,2,64,44.44
eessi_a2a_linsync,0,osu_allreduce,2,16,2,128,46.47
eessi_a2a_linsync,0,osu_allreduce,2,16,2,256,46.23
eessi_a2a_linsync,0,osu_allreduce,2,16,2,512,46.76
eessi_a2a_linsync,0,osu_allreduce,2,16,2,1024,48.44
eessi_a2a_linsync,0,osu_allreduce,2,16,2,2048,49.86
eessi_a2a_linsync,0,osu_allreduce,2,16,2,4096,56.02
eessi_a2a_linsync,0,osu_allreduce,2,16,2,8192,79.99
eessi_a2a_linsync,0,osu_allreduce,2,16,2,16384,93.24
eessi_a2a_linsync,0,osu_allreduce,2,16,2,32768,126.36
eessi_a2a_linsync,0,osu_allreduce,2,16,2,65536,186.70
eessi_a2a_linsync,0,osu_allreduce,2,16,2,131072,324.60
eessi_a2a_linsync,0,osu_allreduce,2,16,2,262144,617.99
eessi_a2a_linsync,0,osu_allreduce,2,16,2,524288,1215.96
eessi_a2a_linsync,0,osu_allreduce,2,16,2,1048576,2401.73
eessi_a2a_linsync,0,osu_allreduce,2,16,3,4,42.30
eessi_a2a_linsync,0,osu_allreduce,2,16,3,8,44.91
eessi_a2a_linsync,0,osu_allreduce,2,16,3,16,43.50
eessi_a2a_linsync,0,osu_allreduce,2,16,3,32,43.59
eessi_a2a_linsync,0,osu_allreduce,2,16,3,64,41.96
eessi_a2a_linsync,0,osu_allreduce,2,16,3,128,44.05
eessi_a2a_linsync,0,osu_allreduce,2,16,3,256,43.91
eessi_a2a_linsync,0,osu_allreduce,2,16,3,512,44.53
eessi_a2a_linsync,0,osu_allreduce,2,16,3,1024,46.27
eessi_a2a_linsync,0,osu_allreduce,2,16,3,2048,48.16
eessi_a2a_linsync,0,osu_allreduce,2,16,3,4096,54.36
eessi_a2a_linsync,0,osu_allreduce,2,16,3,8192,77.92
eessi_a2a_linsync,0,osu_allreduce,2,16,3,16384,89.83
eessi_a2a_linsync,0,osu_allreduce,2,16,3,32768,124.29
eessi_a2a_linsync,0,osu_allreduce,2,16,3,65536,180.74
eessi_a2a_linsync,0,osu_allreduce,2,16,3,131072,317.61
eessi_a2a_linsync,0,osu_allreduce,2,16,3,262144,608.58
eessi_a2a_linsync,0,osu_allreduce,2,16,3,524288,1176.30
eessi_a2a_linsync,0,osu_allreduce,2,16,3,1048576,2288.34
eessi_a2a_linsync,0,osu_allreduce,2,16,4,4,42.64
eessi_a2a_linsync,0,osu_allreduce,2,16,4,8,44.95
eessi_a2a_linsync,0,osu_allreduce,2,16,4,16,43.61
eessi_a2a_linsync,0,osu_allreduce,2,16,4,32,43.81
eessi_a2a_linsync,0,osu_allreduce,2,16,4,64,42.12
eessi_a2a_linsync,0,osu_allreduce,2,16,4,128,44.38
eessi_a2a_linsync,0,osu_allreduce,2,16,4,256,44.22
eessi_a2a_linsync,0,osu_allreduce,2,16,4,512,44.57
eessi_a2a_linsync,0,osu_allreduce,2,16,4,1024,46.30
eessi_a2a_linsync,0,osu_allreduce,2,16,4,2048,48.04
eessi_a2a_linsync,0,osu_allreduce,2,16,4,4096,54.14
eessi_a2a_linsync,0,osu_allreduce,2,16,4,8192,78.71
eessi_a2a_linsync,0,osu_allreduce,2,16,4,16384,91.38
eessi_a2a_linsync,0,osu_allreduce,2,16,4,32768,128.27
eessi_a2a_linsync,0,osu_allreduce,2,16,4,65536,203.22
eessi_a2a_linsync,0,osu_allreduce,2,16,4,131072,351.26
eessi_a2a_linsync,0,osu_allreduce,2,16,4,262144,661.24
eessi_a2a_linsync,0,osu_allreduce,2,16,4,524288,1287.89
eessi_a2a_linsync,0,osu_allreduce,2,16,4,1048576,2535.89
