stack,sdma_enabled,benchmark,num_nodes,num_gcds,run,size_bytes,latency_us
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,4,45.51
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,8,48.07
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,16,46.46
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,32,46.66
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,64,44.80
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,128,47.01
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,256,46.63
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,512,46.68
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,1024,48.44
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,2048,49.75
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,4096,55.95
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,8192,80.36
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,16384,93.05
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,32768,126.87
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,65536,197.70
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,131072,343.63
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,262144,649.24
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,524288,1197.94
eessi_a2a_pairwise,0,osu_allreduce,2,16,2,1048576,2310.71
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,4,42.37
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,8,44.90
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,16,43.53
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,32,43.66
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,64,42.02
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,128,44.12
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,256,43.94
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,512,44.39
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,1024,46.19
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,2048,48.04
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,4096,53.96
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,8192,77.52
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,16384,88.39
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,32768,120.69
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,65536,193.79
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,131072,331.66
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,262144,618.17
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,524288,1183.52
eessi_a2a_pairwise,0,osu_allreduce,2,16,3,1048576,2329.50
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,4,42.29
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,8,44.65
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,16,43.28
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,32,43.44
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,64,41.76
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,128,43.92
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,256,43.80
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,512,44.40
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,1024,46.21
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,2048,47.95
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,4096,53.86
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,8192,78.06
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,16384,90.59
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,32768,125.55
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,65536,203.03
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,131072,350.61
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,262144,657.30
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,524288,1281.10
eessi_a2a_pairwise,0,osu_allreduce,2,16,4,1048576,2527.00
eessi_a2a_pairwise,0,osu_alltoall,2,16,2,1,105.33
