VARIANT=diag_hostbuf  NODE_A=nid005017  NODE_B=nid005018
############## EESSI coll tune  variant=diag_hostbuf  (SDMA=0) ##############
=== fi_info -e | grep -i FI_CXI_ (supported knobs) ===
=== applied env ===
  FI_CXI_DEFAULT_CQ_SIZE=131072
  FI_CXI_DISABLE_NON_INJECT_MSG_IDC=1
  FI_CXI_RX_MATCH_MODE=hybrid
  OMPI_MCA_coll_ucc_enable=0

# [diag_hostbuf] osu_alltoall  N=16  nodes=2  mem='host'
  [run 1/4] warm-up - 14:29:21
  [run 1/4] done in 14s

# OSU MPI All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.91
2                      20.62
4                      22.62
8                      22.78
16                     24.13
32                     27.83
64                     28.32
128                    28.97
256                    31.25
512                    20.37
1024                   21.16
2048                   26.45
4096                   40.04
8192                   73.03
16384                 127.22
32768                 238.40
65536                 460.53
131072                940.40
262144               2374.85
524288               5048.24
1048576              9871.41
  [run 2/4] recording - 14:29:35
  [run 2/4] done in 6s

# OSU MPI All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.54
2                      20.52
4                      23.30
8                      23.12
16                     24.03
32                     27.88
64                     28.28
128                    29.08
256                    31.09
512                    20.33
1024                   21.08
2048                   26.36
4096                   39.86
8192                   72.75
16384                 127.02
32768                 233.87
65536                 465.99
131072                938.07
262144               2380.89
524288               5085.99
1048576              9978.30
  [run 3/4] recording - 14:29:41
  [run 3/4] done in 6s

# OSU MPI All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.29
2                      20.29
4                      22.96
8                      22.93
16                     24.09
32                     27.86
64                     28.24
128                    29.08
256                    31.16
512                    20.37
1024                   21.28
2048                   26.52
4096                   40.10
8192                   72.94
16384                 127.19
32768                 234.11
65536                 460.45
131072                937.45
262144               2119.86
524288               4860.83
1048576             10164.75
  [run 4/4] recording - 14:29:47
  [run 4/4] done in 6s

# OSU MPI All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      21.18
2                      20.40
4                      22.91
8                      22.88
16                     24.06
32                     27.79
64                     28.20
128                    28.97
256                    31.19
512                    20.41
1024                   21.11
2048                   26.51
4096                   40.13
8192                   73.10
16384                 127.15
32768                 233.36
65536                 458.90
131072                936.17
262144               2138.79
524288               4763.33
1048576             10002.16

# [diag_hostbuf] osu_allgather  N=16  nodes=2  mem='host'
  [run 1/4] warm-up - 14:29:53
  [run 1/4] done in 6s

# OSU MPI Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.27
2                      16.69
4                      15.91
8                      16.18
16                     17.83
32                     19.53
64                     20.22
128                    21.07
256                    23.33
512                    29.13
1024                   33.35
2048                   38.14
4096                   53.65
8192                   81.29
16384                 135.22
32768                 248.73
65536                 484.40
131072                957.63
262144               1909.62
524288               3774.15
1048576              7405.97
  [run 2/4] recording - 14:29:59
  [run 2/4] done in 6s

# OSU MPI Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.40
2                      16.47
4                      15.83
8                      16.10
16                     17.79
32                     19.50
64                     20.25
128                    21.15
256                    23.29
512                    29.15
1024                   33.39
2048                   38.18
4096                   53.65
8192                   81.63
16384                 135.43
32768                 248.63
65536                 482.08
131072                957.95
262144               1910.29
524288               3756.70
1048576              7430.19
  [run 3/4] recording - 14:30:05
  [run 3/4] done in 6s

# OSU MPI Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.49
2                      16.53
4                      15.98
8                      16.16
16                     17.81
32                     19.47
64                     20.28
128                    21.15
256                    23.40
512                    29.15
1024                   33.30
2048                   38.21
4096                   53.49
8192                   81.25
16384                 133.62
32768                 246.27
65536                 487.26
131072                947.76
262144               1901.70
524288               3686.13
1048576              7411.53
  [run 4/4] recording - 14:30:11
  [run 4/4] done in 6s

# OSU MPI Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.35
2                      16.42
4                      15.85
8                      16.19
16                     17.84
32                     19.53
64                     20.24
128                    21.14
256                    23.35
512                    29.08
1024                   33.29
2048                   38.01
4096                   53.16
8192                   80.79
16384                 133.18
32768                 245.20
65536                 485.96
131072                944.52
262144               1890.37
524288               3808.74
1048576              7279.80
VARIANT=diag_hostbuf COMPLETE  CSV=results/osu_coll_diag_hostbuf_eessi_18762371.csv
