stack,sdma_enabled,benchmark,num_nodes,num_gcds,run,size_bytes,latency_us
eessi_rdzv0,0,osu_allreduce,2,16,2,4,42.32
eessi_rdzv0,0,osu_allreduce,2,16,2,8,44.84
eessi_rdzv0,0,osu_allreduce,2,16,2,16,43.38
eessi_rdzv0,0,osu_allreduce,2,16,2,32,43.57
eessi_rdzv0,0,osu_allreduce,2,16,2,64,42.63
eessi_rdzv0,0,osu_allreduce,2,16,2,128,47.20
eessi_rdzv0,0,osu_allreduce,2,16,2,256,46.61
eessi_rdzv0,0,osu_allreduce,2,16,2,512,47.30
eessi_rdzv0,0,osu_allreduce,2,16,2,1024,49.26
eessi_rdzv0,0,osu_allreduce,2,16,2,2048,50.96
eessi_rdzv0,0,osu_allreduce,2,16,2,4096,74.07
eessi_rdzv0,0,osu_allreduce,2,16,2,8192,81.03
eessi_rdzv0,0,osu_allreduce,2,16,2,16384,95.81
eessi_rdzv0,0,osu_allreduce,2,16,2,32768,130.24
eessi_rdzv0,0,osu_allreduce,2,16,2,65536,181.68
eessi_rdzv0,0,osu_allreduce,2,16,2,131072,315.57
eessi_rdzv0,0,osu_allreduce,2,16,2,262144,584.52
eessi_rdzv0,0,osu_allreduce,2,16,2,524288,1133.07
eessi_rdzv0,0,osu_allreduce,2,16,2,1048576,2227.47
eessi_rdzv0,0,osu_allreduce,2,16,3,4,44.31
eessi_rdzv0,0,osu_allreduce,2,16,3,8,46.86
eessi_rdzv0,0,osu_allreduce,2,16,3,16,45.59
eessi_rdzv0,0,osu_allreduce,2,16,3,32,45.91
eessi_rdzv0,0,osu_allreduce,2,16,3,64,44.10
eessi_rdzv0,0,osu_allreduce,2,16,3,128,46.38
eessi_rdzv0,0,osu_allreduce,2,16,3,256,45.95
eessi_rdzv0,0,osu_allreduce,2,16,3,512,46.37
eessi_rdzv0,0,osu_allreduce,2,16,3,1024,47.96
eessi_rdzv0,0,osu_allreduce,2,16,3,2048,49.54
eessi_rdzv0,0,osu_allreduce,2,16,3,4096,72.89
eessi_rdzv0,0,osu_allreduce,2,16,3,8192,80.80
eessi_rdzv0,0,osu_allreduce,2,16,3,16384,93.36
eessi_rdzv0,0,osu_allreduce,2,16,3,32768,119.78
eessi_rdzv0,0,osu_allreduce,2,16,3,65536,198.39
eessi_rdzv0,0,osu_allreduce,2,16,3,131072,329.54
