STACK=eessi  NODE_A=nid005006  NODE_B=nid005007
################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] osu_allreduce  N=16  nodes=2
  [run 1/6] warm-up - 18:47:47
  [run 1/6] done in 22s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     173.08
8                     185.15
16                    183.37
32                    183.69
64                    172.34
128                   176.18
256                    46.55
512                    47.41
1024                   49.06
2048                   49.79
4096                   56.11
8192                   80.41
16384                  92.42
32768                 118.57
65536                 193.43
131072                336.61
262144                629.33
524288               1224.31
1048576              2403.76
  [run 2/6] recording - 18:48:10
  [run 2/6] done in 6s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     170.67
8                     180.31
16                    179.26
32                    179.32
64                    169.88
128                   174.22
256                    43.60
512                    44.21
1024                   45.41
2048                   47.72
4096                   54.31
8192                   78.49
16384                  91.52
32768                 129.01
65536                 191.71
131072                332.93
262144                619.85
524288               1204.12
1048576              2357.88
  [run 3/6] recording - 18:48:16
  [run 3/6] done in 7s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     182.69
8                     200.55
16                    199.48
32                    199.14
64                    182.33
128                   185.35
256                    50.10
512                    50.68
1024                   52.32
2048                   55.67
4096                   61.42
8192                   85.26
16384                  99.27
32768                 128.58
65536                 196.37
131072                338.62
262144                637.47
524288               1210.91
1048576              2358.31
  [run 4/6] recording - 18:48:23
  [run 4/6] done in 6s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     170.21
8                     181.89
16                    180.78
32                    181.02
64                    170.22
128                   173.13
256                    43.62
512                    44.29
1024                   46.12
2048                   47.78
4096                   53.92
8192                   78.33
16384                  90.96
32768                 125.76
65536                 194.35
131072                339.00
262144                620.55
524288               1223.82
1048576              2429.71
  [run 5/6] recording - 18:48:29
  [run 5/6] done in 6s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     183.20
8                     170.05
16                    170.22
32                    170.01
64                    183.81
128                   187.17
256                    46.78
512                    47.49
1024                   48.15
2048                   50.30
4096                   56.21
8192                   79.96
16384                  92.53
32768                 128.88
65536                 195.89
131072                341.18
262144                643.26
524288               1251.19
1048576              2463.46
  [run 6/6] recording - 18:48:36
  [run 6/6] done in 6s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     193.09
8                     196.28
16                    194.96
32                    195.02
64                    192.81
128                   194.42
256                    45.73
512                    46.23
1024                   47.81
2048                   49.49
4096                   55.95
8192                   80.58
16384                  89.69
32768                 126.92
65536                 195.35
131072                336.78
262144                625.74
524288               1225.98
1048576              2416.74

# [eessi sdma=0] osu_alltoall  N=16  nodes=2
  [run 1/6] warm-up - 18:48:42
  [run 1/6] done in 20s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     770.07
2                     772.82
4                    1470.27
8                    1477.19
16                   1469.35
32                   1466.16
64                   1467.27
128                  1469.23
256                  1482.43
512                    74.07
1024                   74.34
2048                   75.24
4096                   79.00
8192                   99.83
16384                 136.83
32768                 230.99
65536                 428.17
131072                820.48
262144               1612.04
524288               3169.91
1048576              6346.44
  [run 2/6] recording - 18:49:02
  [run 2/6] done in 18s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     767.80
2                     772.33
4                    1355.48
8                    1365.47
16                   1327.33
32                   1330.84
64                   1324.92
128                  1329.83
256                  1384.56
512                    74.36
1024                   74.82
2048                   75.81
4096                   80.11
8192                   99.30
16384                 135.83
32768                 228.04
65536                 422.14
131072                811.02
262144               1590.94
524288               3132.28
1048576              6279.31
  [run 3/6] recording - 18:49:20
  [run 3/6] done in 19s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     758.78
2                     752.28
4                    1371.34
8                    1370.02
16                   1335.23
32                   1330.17
64                   1335.39
128                  1342.54
256                  1348.53
512                    74.14
1024                   73.86
2048                   74.73
4096                   78.91
8192                   98.82
16384                 135.43
32768                 228.99
65536                 426.17
131072                817.42
262144               1608.41
524288               3159.71
1048576              6322.75
  [run 4/6] recording - 18:49:39
  [run 4/6] done in 21s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     771.97
2                     778.58
4                    1486.18
8                    1494.64
16                   1481.23
32                   1484.98
64                   1471.55
128                  1476.34
256                  1490.18
512                    77.14
1024                   77.36
