stack,sdma_enabled,benchmark,num_nodes,num_gcds,run,size_bytes,latency_us
eessi,0,osu_allreduce,2,16,2,4,179.53
eessi,0,osu_allreduce,2,16,2,8,190.15
eessi,0,osu_allreduce,2,16,2,16,188.66
eessi,0,osu_allreduce,2,16,2,32,188.73
eessi,0,osu_allreduce,2,16,2,64,179.17
eessi,0,osu_allreduce,2,16,2,128,180.59
eessi,0,osu_allreduce,2,16,2,256,46.03
eessi,0,osu_allreduce,2,16,2,512,46.45
eessi,0,osu_allreduce,2,16,2,1024,48.00
eessi,0,osu_allreduce,2,16,2,2048,50.08
eessi,0,osu_allreduce,2,16,2,4096,56.14
eessi,0,osu_allreduce,2,16,2,8192,80.13
eessi,0,osu_allreduce,2,16,2,16384,93.94
eessi,0,osu_allreduce,2,16,2,32768,131.59
eessi,0,osu_allreduce,2,16,2,65536,202.81
eessi,0,osu_allreduce,2,16,2,131072,351.80
eessi,0,osu_allreduce,2,16,2,262144,656.50
eessi,0,osu_allreduce,2,16,2,524288,1276.84
eessi,0,osu_allreduce,2,16,2,1048576,2530.32
eessi,0,osu_allreduce,2,16,3,4,175.92
eessi,0,osu_allreduce,2,16,3,8,196.18
eessi,0,osu_allreduce,2,16,3,16,194.72
eessi,0,osu_allreduce,2,16,3,32,194.82
eessi,0,osu_allreduce,2,16,3,64,176.50
eessi,0,osu_allreduce,2,16,3,128,177.91
eessi,0,osu_allreduce,2,16,3,256,46.22
eessi,0,osu_allreduce,2,16,3,512,46.51
eessi,0,osu_allreduce,2,16,3,1024,48.04
eessi,0,osu_allreduce,2,16,3,2048,50.19
eessi,0,osu_allreduce,2,16,3,4096,56.18
eessi,0,osu_allreduce,2,16,3,8192,79.34
eessi,0,osu_allreduce,2,16,3,16384,92.43
eessi,0,osu_allreduce,2,16,3,32768,123.66
eessi,0,osu_allreduce,2,16,3,65536,190.47
eessi,0,osu_allreduce,2,16,3,131072,323.67
eessi,0,osu_allreduce,2,16,3,262144,616.38
eessi,0,osu_allreduce,2,16,3,524288,1170.63
eessi,0,osu_allreduce,2,16,3,1048576,2286.51
eessi,0,osu_allreduce,2,16,4,4,169.57
eessi,0,osu_allreduce,2,16,4,8,182.19
eessi,0,osu_allreduce,2,16,4,16,180.69
eessi,0,osu_allreduce,2,16,4,32,180.97
eessi,0,osu_allreduce,2,16,4,64,169.83
eessi,0,osu_allreduce,2,16,4,128,172.70
eessi,0,osu_allreduce,2,16,4,256,45.87
eessi,0,osu_allreduce,2,16,4,512,46.87
eessi,0,osu_allreduce,2,16,4,1024,48.13
eessi,0,osu_allreduce,2,16,4,2048,49.98
eessi,0,osu_allreduce,2,16,4,4096,56.32
eessi,0,osu_allreduce,2,16,4,8192,80.78
eessi,0,osu_allreduce,2,16,4,16384,91.78
eessi,0,osu_allreduce,2,16,4,32768,127.53
eessi,0,osu_allreduce,2,16,4,65536,187.57
eessi,0,osu_allreduce,2,16,4,131072,325.86
eessi,0,osu_allreduce,2,16,4,262144,624.09
eessi,0,osu_allreduce,2,16,4,524288,1184.94
eessi,0,osu_allreduce,2,16,4,1048576,2313.49
eessi,0,osu_allreduce,2,16,5,4,169.22
eessi,0,osu_allreduce,2,16,5,8,179.32
eessi,0,osu_allreduce,2,16,5,16,178.03
eessi,0,osu_allreduce,2,16,5,32,178.10
eessi,0,osu_allreduce,2,16,5,64,168.97
eessi,0,osu_allreduce,2,16,5,128,172.55
eessi,0,osu_allreduce,2,16,5,256,43.88
eessi,0,osu_allreduce,2,16,5,512,44.60
eessi,0,osu_allreduce,2,16,5,1024,46.05
eessi,0,osu_allreduce,2,16,5,2048,48.09
eessi,0,osu_allreduce,2,16,5,4096,53.84
eessi,0,osu_allreduce,2,16,5,8192,78.03
eessi,0,osu_allreduce,2,16,5,16384,88.77
eessi,0,osu_allreduce,2,16,5,32768,113.66
eessi,0,osu_allreduce,2,16,5,65536,202.76
eessi,0,osu_allreduce,2,16,5,131072,349.77
eessi,0,osu_allreduce,2,16,5,262144,656.80
eessi,0,osu_allreduce,2,16,5,524288,1277.04
eessi,0,osu_allreduce,2,16,5,1048576,2521.27
eessi,0,osu_allreduce,2,16,6,4,174.55
eessi,0,osu_allreduce,2,16,6,8,191.79
eessi,0,osu_allreduce,2,16,6,16,190.45
eessi,0,osu_allreduce,2,16,6,32,190.74
eessi,0,osu_allreduce,2,16,6,64,173.98
eessi,0,osu_allreduce,2,16,6,128,175.15
eessi,0,osu_allreduce,2,16,6,256,43.98
eessi,0,osu_allreduce,2,16,6,512,44.41
eessi,0,osu_allreduce,2,16,6,1024,46.18
eessi,0,osu_allreduce,2,16,6,2048,47.93
eessi,0,osu_allreduce,2,16,6,4096,54.16
eessi,0,osu_allreduce,2,16,6,8192,77.93
eessi,0,osu_allreduce,2,16,6,16384,90.66
eessi,0,osu_allreduce,2,16,6,32768,128.65
eessi,0,osu_allreduce,2,16,6,65536,204.66
eessi,0,osu_allreduce,2,16,6,131072,350.93
eessi,0,osu_allreduce,2,16,6,262144,655.58
eessi,0,osu_allreduce,2,16,6,524288,1274.24
eessi,0,osu_allreduce,2,16,6,1048576,2506.84
eessi,0,osu_alltoall,2,16,2,1,747.61
eessi,0,osu_alltoall,2,16,2,2,745.46
eessi,0,osu_alltoall,2,16,2,4,1425.46
eessi,0,osu_alltoall,2,16,2,8,1406.81
eessi,0,osu_alltoall,2,16,2,16,1395.98
eessi,0,osu_alltoall,2,16,2,32,1390.57
eessi,0,osu_alltoall,2,16,2,64,1398.58
eessi,0,osu_alltoall,2,16,2,128,1410.43
eessi,0,osu_alltoall,2,16,2,256,1423.15
eessi,0,osu_alltoall,2,16,2,512,74.30
eessi,0,osu_alltoall,2,16,2,1024,74.68
eessi,0,osu_alltoall,2,16,2,2048,75.51
eessi,0,osu_alltoall,2,16,2,4096,79.81
eessi,0,osu_alltoall,2,16,2,8192,99.47
eessi,0,osu_alltoall,2,16,2,16384,136.41
eessi,0,osu_alltoall,2,16,2,32768,229.76
eessi,0,osu_alltoall,2,16,2,65536,427.14
eessi,0,osu_alltoall,2,16,2,131072,820.56
eessi,0,osu_alltoall,2,16,2,262144,1612.30
eessi,0,osu_alltoall,2,16,2,524288,3199.24
eessi,0,osu_alltoall,2,16,2,1048576,6357.76
eessi,0,osu_alltoall,2,16,3,1,766.01
eessi,0,osu_alltoall,2,16,3,2,771.21
eessi,0,osu_alltoall,2,16,3,4,1419.40
eessi,0,osu_alltoall,2,16,3,8,1425.26
eessi,0,osu_alltoall,2,16,3,16,1406.82
eessi,0,osu_alltoall,2,16,3,32,1414.92
eessi,0,osu_alltoall,2,16,3,64,1418.94
eessi,0,osu_alltoall,2,16,3,128,1422.11
eessi,0,osu_alltoall,2,16,3,256,1438.26
eessi,0,osu_alltoall,2,16,3,512,74.12
eessi,0,osu_alltoall,2,16,3,1024,74.63
eessi,0,osu_alltoall,2,16,3,2048,75.62
eessi,0,osu_alltoall,2,16,3,4096,80.07
eessi,0,osu_alltoall,2,16,3,8192,99.28
eessi,0,osu_alltoall,2,16,3,16384,135.77
eessi,0,osu_alltoall,2,16,3,32768,233.27
eessi,0,osu_alltoall,2,16,3,65536,424.10
eessi,0,osu_alltoall,2,16,3,131072,814.50
eessi,0,osu_alltoall,2,16,3,262144,1600.07
eessi,0,osu_alltoall,2,16,3,524288,3168.25
eessi,0,osu_alltoall,2,16,3,1048576,6320.85
eessi,0,osu_alltoall,2,16,4,1,751.56
eessi,0,osu_alltoall,2,16,4,2,752.76
eessi,0,osu_alltoall,2,16,4,4,1359.72
eessi,0,osu_alltoall,2,16,4,8,1370.21
eessi,0,osu_alltoall,2,16,4,16,1348.06
