stack,sdma_enabled,benchmark,num_nodes,num_gcds,run,size_bytes,latency_us
native,0,osu_allreduce,2,16,2,4,6.53
native,0,osu_allreduce,2,16,2,8,6.27
native,0,osu_allreduce,2,16,2,16,6.27
native,0,osu_allreduce,2,16,2,32,6.24
native,0,osu_allreduce,2,16,2,64,6.40
native,0,osu_allreduce,2,16,2,128,7.31
native,0,osu_allreduce,2,16,2,256,13.22
native,0,osu_allreduce,2,16,2,512,13.98
native,0,osu_allreduce,2,16,2,1024,14.76
native,0,osu_allreduce,2,16,2,2048,17.16
native,0,osu_allreduce,2,16,2,4096,28.19
native,0,osu_allreduce,2,16,2,8192,69.48
native,0,osu_allreduce,2,16,2,16384,75.67
native,0,osu_allreduce,2,16,2,32768,85.26
native,0,osu_allreduce,2,16,2,65536,104.87
native,0,osu_allreduce,2,16,2,131072,270.26
native,0,osu_allreduce,2,16,2,262144,223.31
native,0,osu_allreduce,2,16,2,524288,226.16
native,0,osu_allreduce,2,16,2,1048576,235.76
native,0,osu_allreduce,2,16,3,4,6.50
native,0,osu_allreduce,2,16,3,8,6.30
native,0,osu_allreduce,2,16,3,16,6.25
native,0,osu_allreduce,2,16,3,32,6.19
native,0,osu_allreduce,2,16,3,64,6.35
native,0,osu_allreduce,2,16,3,128,7.29
native,0,osu_allreduce,2,16,3,256,13.44
native,0,osu_allreduce,2,16,3,512,14.17
native,0,osu_allreduce,2,16,3,1024,15.06
native,0,osu_allreduce,2,16,3,2048,16.97
native,0,osu_allreduce,2,16,3,4096,28.27
native,0,osu_allreduce,2,16,3,8192,69.19
native,0,osu_allreduce,2,16,3,16384,74.40
native,0,osu_allreduce,2,16,3,32768,84.58
native,0,osu_allreduce,2,16,3,65536,104.16
native,0,osu_allreduce,2,16,3,131072,263.18
native,0,osu_allreduce,2,16,3,262144,213.55
native,0,osu_allreduce,2,16,3,524288,226.49
native,0,osu_allreduce,2,16,3,1048576,236.04
native,0,osu_allreduce,2,16,4,4,6.47
native,0,osu_allreduce,2,16,4,8,6.35
native,0,osu_allreduce,2,16,4,16,6.24
native,0,osu_allreduce,2,16,4,32,6.26
native,0,osu_allreduce,2,16,4,64,6.35
native,0,osu_allreduce,2,16,4,128,7.30
native,0,osu_allreduce,2,16,4,256,13.36
native,0,osu_allreduce,2,16,4,512,14.02
native,0,osu_allreduce,2,16,4,1024,14.89
native,0,osu_allreduce,2,16,4,2048,16.95
native,0,osu_allreduce,2,16,4,4096,27.83
native,0,osu_allreduce,2,16,4,8192,69.44
native,0,osu_allreduce,2,16,4,16384,74.57
native,0,osu_allreduce,2,16,4,32768,84.36
native,0,osu_allreduce,2,16,4,65536,119.57
native,0,osu_allreduce,2,16,4,131072,221.82
native,0,osu_allreduce,2,16,4,262144,214.68
native,0,osu_allreduce,2,16,4,524288,225.92
native,0,osu_allreduce,2,16,4,1048576,235.75
native,0,osu_allreduce,2,16,5,4,6.52
native,0,osu_allreduce,2,16,5,8,6.37
native,0,osu_allreduce,2,16,5,16,6.25
native,0,osu_allreduce,2,16,5,32,6.29
native,0,osu_allreduce,2,16,5,64,6.38
native,0,osu_allreduce,2,16,5,128,7.34
native,0,osu_allreduce,2,16,5,256,13.49
native,0,osu_allreduce,2,16,5,512,14.07
native,0,osu_allreduce,2,16,5,1024,15.38
native,0,osu_allreduce,2,16,5,2048,16.99
native,0,osu_allreduce,2,16,5,4096,27.91
native,0,osu_allreduce,2,16,5,8192,69.48
native,0,osu_allreduce,2,16,5,16384,74.53
native,0,osu_allreduce,2,16,5,32768,90.07
native,0,osu_allreduce,2,16,5,65536,104.69
native,0,osu_allreduce,2,16,5,131072,246.49
native,0,osu_allreduce,2,16,5,262144,215.23
native,0,osu_allreduce,2,16,5,524288,226.39
native,0,osu_allreduce,2,16,5,1048576,235.42
native,0,osu_allreduce,2,16,6,4,6.55
native,0,osu_allreduce,2,16,6,8,6.40
