STACK=native  NODE_A=nid007956  NODE_B=nid007957
################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0] osu_allreduce  N=16  nodes=2
  [run 1/6] warm-up - 18:38:09
  [run 1/6] done in 6s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       6.58
8                       6.39
16                      6.32
32                      6.36
64                      6.47
128                     7.45
256                    13.46
512                    14.17
1024                   15.18
2048                   17.07
4096                   28.28
8192                   69.17
16384                  74.50
32768                  84.80
65536                 104.13
131072                211.62
262144                214.21
524288                226.23
1048576               235.85
  [run 2/6] recording - 18:38:15
  [run 2/6] done in 2s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       6.53
8                       6.27
16                      6.27
32                      6.24
64                      6.40
128                     7.31
256                    13.22
512                    13.98
1024                   14.76
2048                   17.16
4096                   28.19
8192                   69.48
16384                  75.67
32768                  85.26
65536                 104.87
131072                270.26
262144                223.31
524288                226.16
1048576               235.76
  [run 3/6] recording - 18:38:17
srun: Step created for StepId=18750651.2
  [run 3/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       6.50
8                       6.30
16                      6.25
32                      6.19
64                      6.35
128                     7.29
256                    13.44
512                    14.17
1024                   15.06
2048                   16.97
4096                   28.27
8192                   69.19
16384                  74.40
32768                  84.58
65536                 104.16
131072                263.18
262144                213.55
524288                226.49
1048576               236.04
  [run 4/6] recording - 18:38:18
  [run 4/6] done in 2s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       6.47
8                       6.35
16                      6.24
32                      6.26
64                      6.35
128                     7.30
256                    13.36
512                    14.02
1024                   14.89
2048                   16.95
4096                   27.83
8192                   69.44
16384                  74.57
32768                  84.36
65536                 119.57
131072                221.82
262144                214.68
524288                225.92
1048576               235.75
  [run 5/6] recording - 18:38:20
srun: Step created for StepId=18750651.4
  [run 5/6] done in 2s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       6.52
8                       6.37
16                      6.25
32                      6.29
64                      6.38
128                     7.34
256                    13.49
512                    14.07
1024                   15.38
2048                   16.99
4096                   27.91
8192                   69.48
16384                  74.53
32768                  90.07
65536                 104.69
131072                246.49
262144                215.23
524288                226.39
1048576               235.42
  [run 6/6] recording - 18:38:22
  [run 6/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       6.55
8                       6.40
16                      6.31
32                      6.31
64                      6.40
128                     7.34
256                    13.41
512                    14.20
1024                   15.04
2048                   17.03
4096                   27.97
8192                   69.54
16384                  74.59
32768                  85.14
65536                 104.03
131072                211.63
262144                213.16
524288                226.04
1048576               236.38

# [native sdma=0] osu_alltoall  N=16  nodes=2
  [run 1/6] warm-up - 18:38:23
  [run 1/6] done in 3s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.73
2                      13.77
4                      13.77
8                      13.89
16                     14.59
32                     18.51
64                     18.98
128                    21.32
256                    22.84
512                    46.06
1024                   72.35
2048                   77.34
4096                   90.54
8192                  156.66
16384                 158.81
32768                 184.75
65536                 148.66
131072                158.79
262144                301.22
524288                691.73
1048576              1310.65
  [run 2/6] recording - 18:38:26
  [run 2/6] done in 2s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.82
2                      13.95
4                      13.87
8                      14.00
16                     14.72
32                     18.63
64                     19.10
128                    21.47
256                    22.95
512                    45.26
1024                   71.98
2048                   79.34
4096                   93.37
8192                  154.11
16384                 155.27
32768                 190.15
65536                 148.56
131072                158.49
262144                300.99
524288                697.42
1048576              1312.95
  [run 3/6] recording - 18:38:28
srun: Step created for StepId=18750651.8
  [run 3/6] done in 3s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.72
2                      13.80
4                      13.75
8                      13.84
16                     14.60
32                     18.51
64                     18.97
128                    21.30
256                    22.64
512                    44.54
1024                   72.72
2048                   77.37
4096                   86.31
8192                  154.43
16384                 159.14
32768                 186.15
65536                 148.40
131072                159.21
262144                301.47
524288                684.62
1048576              1330.15
  [run 4/6] recording - 18:38:31
  [run 4/6] done in 2s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.72
2                      13.69
4                      13.63
8                      13.65
16                     14.41
32                     18.36
64                     18.83
128                    21.24
256                    22.63
512                    46.25
1024                   72.10
2048                   80.73
4096                   89.50
8192                  156.93
16384                 157.89
32768                 187.43
65536                 148.80
131072                158.98
262144                301.31
524288                691.79
1048576              1296.63
  [run 5/6] recording - 18:38:33
  [run 5/6] done in 2s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.64
2                      13.72
4                      13.72
8                      13.85
16                     14.55
32                     18.45
64                     18.93
128                    21.11
256                    22.59
512                    44.85
1024                   70.39
2048                   73.69
4096                   89.40
8192                  156.46
16384                 165.94
32768                 178.66
65536                 148.12
131072                158.99
262144                309.01
524288                684.93
1048576              1308.38
  [run 6/6] recording - 18:38:35
  [run 6/6] done in 4s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.80
2                      13.86
4                      13.81
8                      13.99
16                     14.67
32                     18.63
64                     19.05
128                    21.29
256                    22.86
512                    45.12
1024                   71.89
2048                   77.18
4096                   94.07
8192                  157.24
16384                 163.91
32768                 191.48
65536                 148.95
131072                158.89
262144                301.88
524288                696.60
1048576              1306.67

# [native sdma=0] osu_bcast  N=16  nodes=2
  [run 1/6] warm-up - 18:38:39
  [run 1/6] done in 2s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.64
2                       2.65
4                       2.72
8                       2.70
16                      2.70
32                      2.67
64                      2.69
128                     3.32
256                     4.76
512                     6.71
1024                   12.61
2048                   13.65
4096                   14.88
8192                   27.30
16384                  27.76
32768                  32.21
65536                  33.63
