STACK=eessi  NODE_A=nid005013  NODE_B=nid005014
################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

################################################################
# [eessi sdma=0] inter_GCD0_GCD0  GCD(0,0)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:22:06
  [run 1/6] done in 17s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.76
2                      20.72
4                      20.67
8                      20.61
16                     20.65
32                     20.61
64                     20.63
128                    21.17
256                     6.78
512                     3.36
1024                    3.44
2048                    3.62
4096                    3.75
8192                    6.95
16384                   7.39
32768                   8.17
65536                   9.53
131072                 12.25
262144                 17.64
524288                 28.48
1048576                50.11
2097152                93.26
4194304               179.58
  [run 2/6] recording - 18:22:23
  [run 2/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.57
2                      20.59
4                      20.60
8                      20.59
16                     20.58
32                     20.60
64                     21.06
128                    21.13
256                     3.24
512                     3.35
1024                    3.51
2048                    3.63
4096                    3.59
8192                    6.91
16384                   7.38
32768                   8.17
65536                   9.51
131072                 15.85
262144                 17.70
524288                 28.47
1048576                50.10
2097152                93.27
4194304               179.58
  [run 3/6] recording - 18:22:27
  [run 3/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.50
2                      20.48
4                      20.73
8                      20.51
16                     20.43
32                     20.44
64                     20.54
128                    20.98
256                     3.24
512                     3.33
1024                    3.38
2048                    3.51
4096                    3.57
8192                    7.07
16384                   7.38
32768                   8.19
65536                   9.51
131072                 16.01
262144                 17.61
524288                 28.45
1048576                50.08
2097152                93.26
4194304               179.67
  [run 4/6] recording - 18:22:31
  [run 4/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.59
2                      20.62
4                      20.92
8                      20.67
16                     20.62
32                     20.57
64                     20.62
128                    21.15
256                     6.75
512                     3.35
1024                    3.51
2048                    3.88
4096                    3.77
8192                    6.89
16384                   7.43
32768                   8.20
65536                   9.52
131072                 12.29
262144                 17.69
524288                 28.51
1048576                50.11
2097152                93.27
4194304               179.70
  [run 5/6] recording - 18:22:35
  [run 5/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.58
2                      20.58
4                      20.56
8                      20.48
16                     20.57
32                     20.51
64                     20.67
128                    21.15
256                     3.28
512                     3.39
1024                    3.41
2048                    3.61
4096                    3.58
8192                    6.93
16384                   7.42
32768                   8.20
65536                   9.53
131072                 15.77
262144                 17.67
524288                 28.52
1048576                50.11
2097152                93.26
4194304               179.78
  [run 6/6] recording - 18:22:39
  [run 6/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.64
2                      20.65
4                      20.60
8                      20.65
16                     20.64
32                     20.66
64                     20.62
128                    21.14
256                     3.28
512                     3.36
1024                    3.44
2048                    3.51
4096                    3.58
8192                    7.10
16384                   7.42
32768                   8.20
65536                   9.54
131072                 15.90
262144                 17.66
524288                 28.50
1048576                50.15
2097152                93.26
4194304               179.66

################################################################
# [eessi sdma=0] inter_GCD2_GCD2  GCD(2,2)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:22:43
  [run 1/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.80
2                      19.91
4                      19.75
8                      19.78
16                     19.76
32                     19.76
64                     19.77
128                    20.34
256                     3.34
512                     3.50
1024                    3.70
2048                    3.89
4096                    3.70
8192                    7.06
16384                   7.62
32768                   8.39
65536                   9.74
131072                 16.14
262144                 17.84
524288                 28.64
1048576                50.29
2097152                93.40
4194304               179.79
  [run 2/6] recording - 18:22:47
  [run 2/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.70
2                      19.68
4                      19.79
8                      19.74
16                     19.77
32                     19.70
64                     19.74
128                    20.30
256                     3.39
512                     3.45
1024                    3.50
2048                    3.63
4096                    3.69
8192                    7.30
16384                   7.58
32768                   8.39
65536                   9.77
131072                 16.19
262144                 17.80
524288                 28.65
1048576                50.26
2097152                93.37
4194304               179.65
  [run 3/6] recording - 18:22:51
  [run 3/6] done in 5s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.74
2                      19.74
4                      19.78
8                      19.76
16                     19.77
32                     19.77
64                     19.77
128                    20.25
256                     3.39
512                     3.43
1024                    3.64
2048                    3.76
4096                    3.88
8192                    7.13
16384                   7.56
32768                   8.37
65536                   9.69
131072                 16.01
262144                 17.83
524288                 28.65
1048576                50.30
2097152                93.38
4194304               179.65
  [run 4/6] recording - 18:22:56
  [run 4/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.75
2                      19.71
4                      19.69
8                      19.75
16                     19.74
32                     19.69
64                     19.77
128                    20.28
256                     3.26
512                     3.50
1024                    3.76
2048                    3.88
4096                    3.68
8192                    7.05
16384                   7.58
32768                   8.35
65536                   9.68
131072                 15.96
262144                 17.75
524288                 28.58
1048576                50.21
2097152                93.35
4194304               179.69
  [run 5/6] recording - 18:23:00
  [run 5/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.82
2                      19.81
4                      19.76
8                      19.80
16                     19.78
32                     19.82
64                     19.80
128                    20.33
256                     3.33
512                     3.48
1024                    3.63
2048                    3.88
4096                    3.88
8192                    7.05
16384                   7.58
32768                   8.37
65536                   9.70
131072                 16.00
262144                 17.80
524288                 28.62
1048576                50.26
2097152                93.40
4194304               179.71
  [run 6/6] recording - 18:23:03
  [run 6/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.80
2                      19.79
4                      19.79
8                      19.82
16                     19.83
32                     19.78
64                     19.82
128                    20.32
256                     3.34
512                     3.52
1024                    3.57
2048                    3.74
4096                    3.88
8192                    7.16
16384                   7.57
32768                   8.35
65536                   9.68
131072                 16.17
262144                 17.79
524288                 28.60
1048576                50.22
2097152                93.34
4194304               179.75

################################################################
# [eessi sdma=0] inter_GCD4_GCD4  GCD(4,4)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:23:07
  [run 1/6] done in 5s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.24
2                      19.25
4                      19.25
8                      19.28
16                     19.29
32                     19.45
64                     19.28
128                    19.80
256                     6.72
512                     3.11
1024                    3.09
2048                    3.25
4096                    3.43
8192                    6.72
16384                   7.01
32768                   7.86
65536                   9.19
131072                 11.94
262144                 17.38
524288                 28.23
1048576                49.95
2097152                93.11
4194304               179.78
  [run 2/6] recording - 18:23:12
  [run 2/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.18
2                      19.28
4                      19.18
8                      19.21
16                     19.24
32                     19.15
64                     19.39
128                    19.76
256                     6.68
512                     3.18
1024                    3.15
2048                    3.36
4096                    3.42
8192                    6.58
16384                   6.99
32768                   7.81
65536                   9.19
131072                 11.99
262144                 17.35
524288                 28.21
1048576                49.93
2097152                93.11
4194304               179.53
  [run 3/6] recording - 18:23:16
  [run 3/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.23
2                      19.29
4                      19.25
8                      19.50
16                     19.27
32                     19.26
64                     19.27
128                    19.76
256                     3.01
512                     3.09
1024                    3.14
2048                    3.39
4096                    3.41
8192                    6.58
16384                   7.02
32768                   7.80
65536                   9.21
131072                 11.95
262144                 17.36
524288                 28.23
1048576                49.92
2097152                93.11
4194304               179.55
  [run 4/6] recording - 18:23:20
  [run 4/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.58
2                      19.59
4                      19.60
8                      19.36
16                     19.10
32                     19.37
64                     19.34
128                    19.89
256                     2.99
512                     3.06
1024                    3.12
2048                    3.21
4096                    3.40
8192                    6.67
16384                   6.98
32768                   7.78
65536                   9.19
131072                 11.90
262144                 17.28
524288                 28.12
1048576                49.83
2097152                93.08
4194304               179.45
  [run 5/6] recording - 18:23:24
  [run 5/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.34
2                      19.27
4                      19.32
8                      19.26
16                     19.28
32                     19.28
64                     19.28
128                    19.81
256                     2.99
512                     3.13
1024                    3.25
2048                    3.33
4096                    3.41
8192                    6.58
16384                   6.99
32768                   7.80
65536                   9.19
131072                 11.94
262144                 17.33
524288                 28.22
1048576                49.93
2097152                93.11
4194304               179.50
  [run 6/6] recording - 18:23:28
  [run 6/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.28
2                      19.32
4                      19.05
8                      19.07
16                     19.09
32                     19.10
64                     19.09
128                    19.65
256                     2.98
512                     3.21
1024                    3.16
2048                    3.20
4096                    3.42
8192                    6.70
16384                   6.97
32768                   7.81
65536                   9.19
131072                 11.94
262144                 17.33
524288                 28.25
1048576                49.91
2097152                93.13
4194304               179.53

################################################################
# [eessi sdma=0] inter_GCD6_GCD6  GCD(6,6)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:23:32
  [run 1/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.26
2                      20.26
4                      20.41
8                      20.29
16                     20.23
32                     20.24
64                     20.24
128                    20.77
256                     3.29
512                     3.38
1024                    3.48
2048                    3.65
4096                    3.82
8192                    7.01
16384                   7.45
32768                  11.97
65536                   9.57
131072                 12.32
262144                 17.70
524288                 28.52
1048576                50.18
2097152                93.29
4194304               179.64
  [run 2/6] recording - 18:23:36
  [run 2/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.24
2                      20.28
4                      20.26
8                      20.24
16                     20.23
32                     20.25
64                     20.25
128                    20.80
256                     3.28
512                     3.40
1024                    3.55
2048                    3.54
4096                    3.61
8192                    7.13
16384                   7.45
32768                   8.22
65536                   9.59
131072                 12.30
262144                 17.70
524288                 28.54
1048576                50.20
2097152                93.32
4194304               179.68
  [run 3/6] recording - 18:23:40
  [run 3/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.17
2                      20.17
4                      20.17
8                      20.18
16                     20.15
32                     20.17
64                     20.17
128                    20.69
256                     3.29
512                     3.43
1024                    3.46
2048                    3.54
4096                    3.62
8192                    7.18
16384                   7.43
32768                   8.24
65536                   9.56
131072                 16.08
262144                 17.72
524288                 28.48
1048576                50.17
2097152                93.30
4194304               179.66
  [run 4/6] recording - 18:23:44
  [run 4/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.29
2                      20.20
4                      20.22
8                      20.20
16                     20.19
32                     20.17
64                     20.18
128                    20.75
256                     3.28
512                     3.40
1024                    3.54
2048                    3.65
4096                    3.61
8192                    7.04
16384                   7.46
32768                   8.22
65536                   9.55
131072                 16.23
262144                 17.68
524288                 28.56
1048576                50.19
2097152                93.27
4194304               179.69
  [run 5/6] recording - 18:23:48
  [run 5/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.05
2                      20.05
4                      20.05
8                      20.05
16                     20.07
32                     20.10
64                     20.08
128                    20.62
256                     3.31
512                     3.40
1024                    3.48
2048                    3.66
4096                    3.80
8192                    7.09
16384                   7.46
32768                   8.27
65536                   9.56
131072                 16.30
262144                 17.70
524288                 28.56
1048576                50.16
2097152                93.32
4194304               179.65
  [run 6/6] recording - 18:23:52
  [run 6/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.39
2                      20.27
4                      20.25
8                      20.29
16                     20.27
32                     20.26
64                     20.25
128                    20.81
256                     3.27
512                     3.37
1024                    3.44
2048                    3.54
4096                    3.60
8192                    7.17
16384                   7.45
32768                   8.27
65536                   9.59
131072                 12.32
262144                 17.68
524288                 28.51
1048576                50.18
2097152                93.32
4194304               179.72

################################################################
# [eessi sdma=0] inter_GCD1_GCD1  GCD(1,1)  nic=nic_local
################################################################
  [run 1/6] warm-up - 18:23:56
  [run 1/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.05
2                      21.80
4                      17.98
8                      18.01
16                     18.02
32                     18.01
64                     18.04
128                    18.57
256                     3.00
512                     3.11
1024                    3.19
2048                    3.20
4096                    3.40
8192                    6.58
16384                   6.97
32768                   7.81
65536                   9.15
131072                 11.92
262144                 17.29
524288                 28.20
1048576                49.91
2097152                93.13
4194304               179.53
  [run 2/6] recording - 18:24:00
  [run 2/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.32
2                      18.12
4                      18.15
8                      18.14
16                     18.19
32                     18.15
64                     18.18
128                    18.65
256                     2.97
512                     3.05
1024                    3.13
2048                    3.35
4096                    3.40
8192                    6.54
16384                   6.98
32768                   7.79
65536                   9.19
131072                 11.96
262144                 17.31
524288                 28.19
1048576                49.90
2097152                93.11
4194304               179.52
  [run 3/6] recording - 18:24:04
  [run 3/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.93
2                      17.95
4                      17.96
8                      18.01
16                     17.98
32                     18.14
64                     18.36
128                    18.57
256                     3.00
512                     3.04
1024                    3.17
2048                    3.41
4096                    3.49
8192                    6.45
16384                   6.97
32768                   7.79
65536                   9.23
131072                 11.93
262144                 17.32
524288                 28.19
1048576                49.92
2097152                93.12
4194304               179.54
  [run 4/6] recording - 18:24:08
  [run 4/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.06
2                      18.14
4                      18.11
8                      18.12
16                     18.09
32                     18.10
64                     18.13
128                    18.55
256                     2.98
512                     3.07
1024                    3.12
2048                    3.21
4096                    3.39
8192                    6.54
16384                   6.96
32768                   7.79
65536                   9.14
131072                 11.89
262144                 17.29
524288                 28.21
1048576                49.92
2097152                93.09
4194304               179.54
  [run 5/6] recording - 18:24:12
  [run 5/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.92
2                      17.94
4                      17.95
8                      18.00
16                     18.03
32                     18.00
64                     18.03
128                    18.80
256                     2.99
512                     3.09
1024                    3.13
2048                    3.24
4096                    3.42
8192                    6.70
16384                   6.98
32768                   7.80
65536                   9.15
131072                 11.92
262144                 17.31
524288                 28.20
1048576                49.90
2097152                93.12
4194304               179.54
  [run 6/6] recording - 18:24:16
  [run 6/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.00
2                      17.98
4                      17.98
8                      18.00
16                     18.05
32                     18.05
64                     18.10
128                    18.56
256                     3.01
512                     3.10
1024                    3.12
2048                    3.39
4096                    3.42
8192                    6.53
16384                   6.97
32768                   7.79
65536                   9.16
131072                 11.98
262144                 17.30
524288                 28.18
1048576                49.90
2097152                93.14
4194304               179.53

################################################################
# [eessi sdma=0] inter_GCD3_GCD3  GCD(3,3)  nic=nic_local
################################################################
  [run 1/6] warm-up - 18:24:20
  [run 1/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.24
2                      17.25
4                      17.27
8                      17.37
16                     17.32
32                     17.26
64                     17.60
128                    17.87
256                     3.63
512                     3.80
1024                    3.76
2048                    3.89
4096                    3.98
8192                    7.78
16384                   7.98
32768                   8.76
65536                  10.13
131072                 12.82
262144                 18.16
524288                 29.11
1048576                50.83
2097152                94.43
4194304               181.95
  [run 2/6] recording - 18:24:24
  [run 2/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.14
2                      17.17
4                      17.20
8                      17.18
16                     17.29
32                     17.19
64                     17.20
128                    17.71
256                     3.66
512                     7.80
1024                    3.88
2048                    3.90
4096                    4.11
8192                    7.55
16384                   7.98
32768                   8.77
65536                  10.12
131072                 12.83
262144                 18.19
524288                 29.14
1048576                50.99
2097152                94.62
4194304               182.54
  [run 3/6] recording - 18:24:28
  [run 3/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.34
2                      17.33
4                      17.33
8                      17.33
16                     17.31
32                     17.32
64                     17.34
128                    17.85
256                     3.67
512                     3.88
1024                    3.88
2048                    3.93
4096                    4.07
8192                    7.54
16384                   7.98
32768                   8.72
65536                  10.09
131072                 12.80
262144                 21.78
524288                 29.11
1048576                50.86
2097152                94.40
4194304               181.90
  [run 4/6] recording - 18:24:32
  [run 4/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.46
2                      17.39
4                      17.41
8                      17.41
16                     17.41
32                     17.43
64                     17.44
128                    17.98
256                     3.70
512                     3.86
1024                    3.89
2048                    3.95
4096                    4.00
8192                    7.56
16384                   8.01
32768                   8.75
65536                  10.12
131072                 12.87
262144                 21.83
524288                 29.16
1048576                50.98
2097152                94.77
4194304               182.69
  [run 5/6] recording - 18:24:35
  [run 5/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.23
2                      17.23
4                      17.26
8                      17.26
16                     17.31
32                     17.26
64                     17.36
128                    17.79
256                     3.66
512                     3.85
1024                    3.92
2048                    3.90
4096                    3.98
8192                    7.78
16384                   8.02
32768                   8.74
65536                  10.11
131072                 12.83
262144                 18.22
524288                 32.81
1048576                50.99
2097152                94.79
4194304               182.58
  [run 6/6] recording - 18:24:39
  [run 6/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.35
2                      17.53
4                      17.34
8                      17.38
16                     17.38
32                     17.37
64                     17.37
128                    17.92
256                     3.67
512                     3.87
1024                    3.88
2048                    3.98
4096                    4.15
8192                    7.52
16384                   7.97
32768                   8.74
65536                  10.12
131072                 12.82
262144                 18.24
524288                 29.13
1048576                50.98
2097152                94.74
4194304               182.67

################################################################
# [eessi sdma=0] inter_GCD5_GCD5  GCD(5,5)  nic=nic_local
################################################################
  [run 1/6] warm-up - 18:24:42
  [run 1/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.84
2                      16.86
4                      16.83
8                      16.83
16                     16.85
32                     17.05
64                     16.82
128                    17.39
256                     2.95
512                     2.98
1024                    3.05
2048                    3.29
4096                    3.24
8192                    6.18
16384                   6.72
32768                   7.55
65536                   8.93
131072                 11.74
262144                 17.15
524288                 28.02
1048576                49.73
2097152                92.97
4194304               179.40
  [run 2/6] recording - 18:24:45
  [run 2/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.71
2                      16.71
4                      16.85
8                      16.70
16                     16.71
32                     16.68
64                     16.72
128                    17.26
256                     2.91
512                     2.97
1024                    3.07
2048                    3.09
4096                    3.23
8192                    6.36
16384                   6.74
32768                   7.56
65536                   8.94
131072                 11.76
262144                 17.14
524288                 28.03
1048576                49.74
2097152                92.98
4194304               179.39
  [run 3/6] recording - 18:24:49
  [run 3/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.78
2                      16.82
4                      16.88
8                      17.01
16                     17.04
32                     16.88
64                     16.80
128                    17.36
256                     2.96
512                     3.00
1024                    3.01
2048                    3.18
4096                    3.24
8192                    6.27
16384                   6.75
32768                   7.58
65536                   8.95
131072                 11.72
262144                 17.15
524288                 28.00
1048576                49.75
2097152                93.00
4194304               179.34
  [run 4/6] recording - 18:24:52
  [run 4/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.23
2                      16.86
4                      16.84
8                      16.83
16                     16.85
32                     16.81
64                     16.86
128                    17.39
256                     2.92
512                     2.97
1024                    3.02
2048                    3.24
4096                    3.22
8192                    6.36
16384                   6.72
32768                   7.56
65536                   8.92
131072                 11.72
262144                 17.14
524288                 28.02
1048576                49.71
2097152                92.98
4194304               179.38
  [run 5/6] recording - 18:24:55
  [run 5/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.75
2                      16.80
4                      16.98
8                      16.78
16                     16.84
32                     16.77
64                     16.78
128                    17.31
256                     2.93
512                     2.99
1024                    3.04
2048                    3.24
4096                    3.39
8192                    6.26
16384                   6.70
32768                   7.57
65536                   8.91
131072                 11.71
262144                 17.16
524288                 28.02
1048576                49.73
2097152                92.99
4194304               179.39
  [run 6/6] recording - 18:24:59
  [run 6/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.78
2                      16.78
4                      16.80
8                      16.75
16                     16.79
32                     16.77
64                     16.77
128                    17.36
256                     2.93
512                     2.97
1024                    3.17
2048                    3.18
4096                    3.39
8192                    6.23
16384                   6.74
32768                   7.56
65536                   8.93
131072                 11.75
262144                 17.16
524288                 28.06
1048576                49.76
2097152                92.99
4194304               179.40

################################################################
# [eessi sdma=0] inter_GCD7_GCD7  GCD(7,7)  nic=nic_local
################################################################
  [run 1/6] warm-up - 18:25:02
  [run 1/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.65
2                      17.63
4                      17.72
8                      17.62
16                     17.63
32                     17.69
64                     17.65
128                    18.20
256                     2.96
512                     3.04
1024                    3.07
2048                    3.16
4096                    3.38
8192                    6.66
16384                   6.92
32768                   7.75
65536                   9.11
131072                 11.87
262144                 17.29
524288                 28.15
1048576                49.89
2097152                93.10
4194304               179.45
  [run 2/6] recording - 18:25:06
  [run 2/6] done in 5s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.50
2                      17.50
4                      17.49
8                      17.53
16                     17.49
32                     17.48
64                     17.52
128                    18.14
256                     7.07
512                     3.07
1024                    3.08
2048                    3.18
4096                    3.38
8192                    6.67
16384                   6.92
32768                   7.75
65536                   9.15
131072                 11.89
262144                 17.29
524288                 28.16
1048576                49.93
2097152                93.09
4194304               179.48
  [run 3/6] recording - 18:25:11
  [run 3/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.54
