stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,run,size_bytes,latency_us
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,1,3.20
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,2,3.20
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,4,3.23
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,8,3.22
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,16,3.22
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,32,3.23
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,64,3.24
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,128,3.23
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,256,3.23
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,512,3.30
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,1024,3.43
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,2048,3.61
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,4096,3.56
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,8192,6.96
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,16384,7.37
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,32768,8.14
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,65536,9.54
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,131072,12.30
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,262144,17.65
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,524288,28.51
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,1048576,50.13
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,2097152,93.23
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,2,4194304,179.67
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,3,1,6.92
eessi,0,inter_GCD0_GCD0,nid005023,nid005024,0,0,inter_node,nic_via_xgmi,3,2,3.22
