stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,run,size_bytes,latency_us
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,1,20.53
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,2,20.53
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,4,20.56
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,8,20.50
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,16,20.54
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,32,20.54
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,64,20.54
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,128,21.13
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,256,3.23
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,512,3.34
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,1024,3.42
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,2048,3.60
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,4096,3.70
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,8192,6.96
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,16384,7.37
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,32768,8.17
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,65536,9.52
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,131072,12.23
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,262144,17.62
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,524288,28.47
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,1048576,50.11
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,2097152,93.25
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,2,4194304,179.62
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,1,20.65
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,2,20.66
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,4,20.60
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,8,20.65
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,16,20.64
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,32,20.63
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,64,20.65
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,128,21.22
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,256,3.24
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,512,3.33
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,1024,3.41
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,2048,3.61
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,4096,3.74
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,8192,6.97
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,16384,7.38
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,32768,8.17
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,65536,9.54
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,131072,15.81
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,262144,17.62
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,524288,28.46
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,1048576,50.09
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,2097152,93.23
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,3,4194304,179.57
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,1,20.49
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,2,20.47
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,4,20.48
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,8,20.49
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,16,20.51
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,32,20.47
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,64,20.53
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,128,21.05
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,256,3.25
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,512,3.30
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,1024,3.42
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,2048,3.50
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,4096,3.57
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,8192,7.11
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,16384,7.37
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,32768,8.18
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,65536,9.51
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,131072,15.74
eessi,0,inter_GCD0_GCD0,nid007960,nid007961,0,0,inter_node,nic_via_xgmi,4,262144,17.64
