STACK=eessi  NODE_A=nid007960  NODE_B=nid007961
################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################
[fixed_rxmatch] FI_CXI_RX_MATCH_MODE=hardware

################################################################
# [eessi sdma=0] inter_GCD0_GCD0  GCD(0,0)  nic=nic_via_xgmi
#   FI_CXI_RX_MATCH_MODE=hardware
################################################################
  [run 1/6] warm-up - 18:44:50
  [run 1/6] done in 18s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.85
2                      20.67
4                      20.68
8                      20.68
16                     20.64
32                     20.66
64                     20.69
128                    21.20
256                     6.82
512                     3.35
1024                    3.48
2048                    3.88
4096                    3.89
8192                    6.89
16384                   7.39
32768                   8.18
65536                   9.50
131072                 12.25
262144                 17.62
524288                 28.47
1048576                50.14
2097152                93.26
4194304               179.66
  [run 2/6] recording - 18:45:08
  [run 2/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.53
2                      20.53
4                      20.56
8                      20.50
16                     20.54
32                     20.54
64                     20.54
128                    21.13
256                     3.23
512                     3.34
1024                    3.42
2048                    3.60
4096                    3.70
8192                    6.96
16384                   7.37
32768                   8.17
65536                   9.52
131072                 12.23
262144                 17.62
524288                 28.47
1048576                50.11
2097152                93.25
4194304               179.62
  [run 3/6] recording - 18:45:12
  [run 3/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.65
2                      20.66
4                      20.60
8                      20.65
16                     20.64
32                     20.63
64                     20.65
128                    21.22
256                     3.24
512                     3.33
1024                    3.41
2048                    3.61
4096                    3.74
8192                    6.97
16384                   7.38
32768                   8.17
65536                   9.54
131072                 15.81
262144                 17.62
524288                 28.46
1048576                50.09
2097152                93.23
4194304               179.57
  [run 4/6] recording - 18:45:15
  [run 4/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.49
2                      20.47
4                      20.48
8                      20.49
16                     20.51
32                     20.47
64                     20.53
128                    21.05
256                     3.25
512                     3.30
1024                    3.42
2048                    3.50
4096                    3.57
8192                    7.11
16384                   7.37
32768                   8.18
65536                   9.51
131072                 15.74
262144                 17.64
524288                 28.47
1048576                50.11
2097152                93.24
4194304               179.65
  [run 5/6] recording - 18:45:18
  [run 5/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.68
2                      20.69
4                      20.69
8                      20.71
16                     20.67
32                     20.65
64                     20.67
128                    21.23
256                     3.25
512                     3.37
1024                    3.63
2048                    3.88
4096                    3.73
8192                    6.92
16384                   7.40
32768                   8.18
65536                   9.50
131072                 12.28
262144                 17.66
524288                 28.48
1048576                50.14
2097152                93.23
4194304               179.74
  [run 6/6] recording - 18:45:22
  [run 6/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.59
2                      20.56
4                      20.57
8                      20.61
16                     20.60
32                     20.55
64                     20.58
