stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,run,size_bytes,latency_us
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,1,2.35
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,2,2.35
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,4,2.37
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,8,2.35
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,16,2.35
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,32,2.40
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,64,2.37
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,128,2.87
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,256,2.92
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,512,2.94
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,1024,3.01
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,2048,3.13
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,4096,3.30
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,8192,6.08
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,16384,6.78
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,32768,7.61
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,65536,9.07
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,131072,11.96
eessi,0,inter_GCD0_GCD0,nid007973,nid007974,0,0,inter_node,nic_via_xgmi,2,262144,17.75
