VARIANT=hostbuf  NODE_A=nid007973  NODE_B=nid007974
############### EESSI STACK  variant=hostbuf  (SDMA=0) ###############
[variant=hostbuf] OSU_MEM='H H'  IDC_DISABLE=unset  INJECT=default

################################################################
# [eessi variant=hostbuf] inter_GCD0_GCD0  GCD(0,0)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 13:27:52
  [run 1/6] done in 13s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.33
2                       2.33
4                       2.33
8                       2.37
16                      2.39
32                      2.33
64                      2.33
128                     2.86
256                     2.91
512                     2.92
1024                    2.98
2048                    3.16
4096                    3.29
8192                    6.10
16384                   6.79
32768                   7.62
65536                   9.12
131072                 11.97
262144                 17.78
524288                 29.38
1048576                52.55
2097152                98.90
4194304               191.45
  [run 2/6] recording - 13:28:05
  [run 2/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.35
2                       2.35
4                       2.37
8                       2.35
16                      2.35
32                      2.40
64                      2.37
128                     2.87
256                     2.92
512                     2.94
1024                    3.01
2048                    3.13
4096                    3.30
8192                    6.08
16384                   6.78
32768                   7.61
65536                   9.07
131072                 11.96
262144                 17.75
524288                 29.40
1048576                52.72
2097152                98.95
4194304               191.55
  [run 3/6] recording - 13:28:08
  [run 3/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.34
2                       2.38
4                       2.38
8                       2.36
16                      2.35
32                      2.35
64                      2.36
128                     2.87
256                     2.91
512                     2.94
1024                    3.00
2048                    3.14
4096                    3.30
8192                    6.08
16384                   6.77
32768                   7.63
65536                   9.08
131072                 11.96
262144                 17.76
524288                 29.38
1048576                52.58
2097152                98.85
4194304               191.49
  [run 4/6] recording - 13:28:12
  [run 4/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.34
2                       2.39
4                       2.38
8                       2.38
16                      2.34
32                      2.35
64                      2.34
128                     2.88
256                     2.91
512                     2.92
1024                    3.01
2048                    3.13
4096                    3.28
8192                    6.10
16384                   6.76
32768                   7.64
65536                   9.06
131072                 11.95
262144                 17.76
524288                 29.34
1048576                52.59
2097152                98.88
4194304               191.49
