stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,run,size_bytes,latency_us
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,1,2.42
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,2,2.40
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,4,2.43
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,8,2.41
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,16,2.41
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,32,2.44
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,64,2.40
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,128,2.97
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,256,3.13
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,512,3.24
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,1024,3.27
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,2048,3.47
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,4096,3.64
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,8192,3.94
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,16384,4.44
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,32768,7.91
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,65536,9.29
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,131072,12.12
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,262144,17.51
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,524288,28.36
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,1048576,50.09
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,2097152,93.26
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,2,4194304,179.68
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,1,2.43
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,2,2.41
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,4,2.44
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,8,2.41
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,16,2.42
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,32,2.45
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,64,2.42
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,128,2.98
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,256,3.14
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,512,3.23
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,1024,3.35
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,2048,3.47
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,4096,3.67
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,8192,3.90
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,16384,4.54
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,32768,7.93
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,65536,9.31
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,131072,12.10
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,262144,17.50
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,524288,28.36
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,1048576,50.11
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,2097152,93.28
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,3,4194304,179.67
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,1,2.40
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,2,2.40
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,4,2.43
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,8,2.41
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,16,2.41
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,32,2.44
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,64,2.41
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,128,2.97
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,256,3.12
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,512,3.26
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,1024,3.31
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,2048,3.46
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,4096,3.51
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,8192,3.87
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,16384,4.55
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,32768,7.93
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,65536,9.29
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,131072,12.11
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,262144,17.52
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,524288,28.37
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,1048576,50.09
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,2097152,93.27
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,4,4194304,179.69
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,1,2.40
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,2,2.39
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,4,2.42
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,8,2.40
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,16,2.39
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,32,2.42
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,64,2.40
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,128,2.96
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,256,3.12
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,512,3.20
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,1024,3.20
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,2048,3.38
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,4096,3.49
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,8192,3.87
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,16384,4.42
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,32768,7.94
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,65536,9.29
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,131072,12.08
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,262144,17.47
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,524288,28.34
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,1048576,50.06
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,2097152,93.28
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,5,4194304,179.67
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,6,1,2.40
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,6,2,2.40
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,6,4,2.42
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,6,8,2.42
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,6,16,2.41
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,6,32,2.44
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,6,64,2.43
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,6,128,2.96
native,0,inter_GCD0_GCD0,nid007975,nid007976,0,0,inter_node,nic_via_xgmi,6,256,3.13
