STACK=native  NODE_A=nid007975  NODE_B=nid007976
################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

################################################################
# [native sdma=0] inter_GCD0_GCD0  GCD(0,0)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:22:00
  [run 1/6] done in 5s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.42
2                       2.40
4                       2.42
8                       2.40
16                      2.39
32                      2.43
64                      2.41
128                     2.95
256                     3.13
512                     3.20
1024                    3.34
2048                    3.47
4096                    3.50
8192                    3.87
16384                   4.47
32768                   7.94
65536                   9.29
131072                 12.08
262144                 17.50
524288                 28.33
1048576                50.09
2097152                93.24
4194304               179.64
  [run 2/6] recording - 18:22:05
  [run 2/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.42
2                       2.40
4                       2.43
8                       2.41
16                      2.41
32                      2.44
64                      2.40
128                     2.97
256                     3.13
512                     3.24
1024                    3.27
2048                    3.47
4096                    3.64
8192                    3.94
16384                   4.44
32768                   7.91
65536                   9.29
131072                 12.12
262144                 17.51
524288                 28.36
1048576                50.09
2097152                93.26
4194304               179.68
  [run 3/6] recording - 18:22:06
  [run 3/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.43
2                       2.41
4                       2.44
8                       2.41
16                      2.42
32                      2.45
64                      2.42
128                     2.98
256                     3.14
512                     3.23
1024                    3.35
2048                    3.47
4096                    3.67
8192                    3.90
16384                   4.54
32768                   7.93
65536                   9.31
131072                 12.10
262144                 17.50
524288                 28.36
1048576                50.11
2097152                93.28
4194304               179.67
  [run 4/6] recording - 18:22:07
  [run 4/6] done in 2s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.40
2                       2.40
4                       2.43
8                       2.41
16                      2.41
32                      2.44
64                      2.41
128                     2.97
256                     3.12
512                     3.26
1024                    3.31
2048                    3.46
4096                    3.51
8192                    3.87
16384                   4.55
32768                   7.93
65536                   9.29
131072                 12.11
262144                 17.52
524288                 28.37
1048576                50.09
2097152                93.27
4194304               179.69
  [run 5/6] recording - 18:22:09
  [run 5/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.40
2                       2.39
4                       2.42
8                       2.40
16                      2.39
32                      2.42
64                      2.40
128                     2.96
256                     3.12
512                     3.20
1024                    3.20
2048                    3.38
4096                    3.49
8192                    3.87
16384                   4.42
32768                   7.94
65536                   9.29
131072                 12.08
262144                 17.47
524288                 28.34
1048576                50.06
2097152                93.28
4194304               179.67
  [run 6/6] recording - 18:22:10
  [run 6/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.40
2                       2.40
4                       2.42
8                       2.42
16                      2.41
32                      2.44
64                      2.43
128                     2.96
256                     3.13
512                     3.19
1024                    3.28
2048                    3.48
4096                    3.49
8192                    3.87
16384                   4.54
32768                   7.91
65536                   9.30
131072                 12.09
262144                 17.48
524288                 28.34
1048576                50.07
2097152                93.25
4194304               179.61

################################################################
# [native sdma=0] inter_GCD2_GCD2  GCD(2,2)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:22:11
srun: Step created for StepId=18750321.6
  [run 1/6] done in 2s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.54
2                       2.54
4                       2.55
8                       2.53
16                      2.53
32                      2.58
64                      2.56
128                     3.11
256                     3.36
512                     3.45
1024                    3.67
2048                    3.91
4096                    3.77
8192                    4.18
16384                   4.73
32768                   8.38
65536                   9.79
131072                 12.46
262144                 17.86
524288                 28.68
1048576                50.31
2097152                93.43
4194304               179.82
  [run 2/6] recording - 18:22:13
  [run 2/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.55
2                       2.56
4                       2.56
8                       2.55
16                      2.55
32                      2.61
64                      2.56
128                     3.10
256                     3.29
512                     3.47
1024                    3.63
2048                    3.81
4096                    3.93
8192                    4.15
16384                   4.72
32768                   8.43
65536                   9.75
131072                 12.51
262144                 17.84
524288                 28.69
1048576                50.34
2097152                93.45
4194304               179.74
  [run 3/6] recording - 18:22:14
  [run 3/6] done in 0s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.54
2                       2.54
4                       2.56
8                       2.53
16                      2.54
32                      2.59
64                      2.55
128                     3.10
256                     3.35
512                     3.61
1024                    3.54
2048                    3.68
4096                    3.75
8192                    4.19
16384                   4.70
32768                   8.39
65536                   9.79
131072                 12.49
262144                 17.89
524288                 28.70
1048576                50.34
2097152                93.46
4194304               179.92
  [run 4/6] recording - 18:22:14
  [run 4/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.55
2                       2.57
4                       2.59
8                       2.55
16                      2.55
32                      2.60
64                      2.58
128                     3.10
256                     7.05
512                     3.51
1024                    3.87
2048                    3.68
4096                    3.74
8192                    4.19
16384                   4.69
32768                   8.47
65536                   9.73
131072                 12.48
262144                 17.85
524288                 28.70
1048576                50.31
2097152                93.45
4194304               179.85
  [run 5/6] recording - 18:22:15
  [run 5/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.55
2                       2.53
4                       2.59
8                       2.56
16                      2.53
32                      2.57
64                      2.54
128                     3.09
256                     3.39
512                     3.42
1024                    3.60
2048                    3.82
4096                    3.79
8192                    4.18
16384                   4.74
32768                   8.37
65536                   9.76
131072                 12.48
262144                 17.86
524288                 28.68
1048576                50.30
2097152                93.45
4194304               179.80
  [run 6/6] recording - 18:22:18
  [run 6/6] done in 0s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.53
2                       2.55
4                       2.56
8                       2.53
16                      2.54
32                      2.57
64                      2.55
128                     3.09
256                     3.38
512                     3.51
1024                    3.56
2048                    7.26
4096                    3.76
8192                    4.16
16384                   4.76
32768                   8.37
65536                   9.70
131072                 12.45
262144                 17.84
524288                 28.65
1048576                50.32
2097152                93.48
4194304               179.81

################################################################
# [native sdma=0] inter_GCD4_GCD4  GCD(4,4)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:22:18
  [run 1/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.56
2                       2.53
4                       2.55
8                       2.55
16                      2.54
32                      2.56
64                      2.54
128                     3.09
256                     3.36
512                     3.45
1024                    3.57
2048                    3.79
4096                    3.90
8192                    4.18
16384                   4.71
32768                   8.39
65536                   9.71
131072                 12.46
262144                 17.84
524288                 28.68
1048576                50.30
2097152                93.46
4194304               179.82
  [run 2/6] recording - 18:22:19
  [run 2/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.53
2                       2.53
4                       2.55
8                       2.53
16                      2.53
32                      2.59
64                      2.56
128                     3.07
256                     3.36
512                     3.46
1024                    3.60
2048                    3.78
4096                    3.89
8192                    4.15
16384                   4.81
32768                   8.38
65536                   9.67
131072                 12.42
262144                 17.81
524288                 28.67
1048576                50.32
2097152                93.46
4194304               179.81
  [run 3/6] recording - 18:22:20
srun: Step created for StepId=18750321.14
  [run 3/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.56
2                       2.58
4                       2.59
8                       2.54
16                      2.55
32                      2.58
64                      2.55
128                     3.11
256                     3.36
512                     3.60
1024                    3.59
2048                    3.80
4096                    3.72
8192                    4.14
16384                   4.72
32768                   8.34
65536                   9.67
131072                 12.46
262144                 17.82
524288                 28.67
1048576                50.26
2097152                93.39
4194304               179.82
  [run 4/6] recording - 18:22:21
  [run 4/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.52
2                       2.57
4                       2.58
8                       2.52
16                      2.53
32                      2.58
64                      2.55
128                     3.07
256                     3.31
512                     3.43
1024                    3.53
2048                    3.64
4096                    3.70
8192                    4.14
16384                   4.76
32768                   8.33
65536                   9.67
131072                 12.41
262144                 17.83
524288                 28.64
1048576                50.28
2097152                93.43
4194304               179.80
  [run 5/6] recording - 18:22:22
  [run 5/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.54
2                       2.54
4                       2.55
8                       2.53
16                      2.53
32                      2.56
64                      2.54
128                     3.10
256                     3.36
512                     3.44
1024                    3.57
2048                    3.67
4096                    3.72
8192                    4.16
16384                   4.68
32768                   8.34
65536                   9.72
131072                 12.44
262144                 17.83
524288                 28.65
1048576                50.32
2097152                93.43
4194304               179.83
  [run 6/6] recording - 18:22:23
  [run 6/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.52
2                       2.52
4                       2.56
8                       2.53
16                      2.54
32                      2.56
64                      2.53
128                     3.07
256                     3.29
512                     3.46
1024                    3.54
2048                    3.75
4096                    3.71
8192                    4.13
16384                   4.73
32768                   8.32
65536                   9.66
131072                 12.39
262144                 17.80
524288                 28.63
1048576                50.30
2097152                93.45
4194304               179.72

################################################################
# [native sdma=0] inter_GCD6_GCD6  GCD(6,6)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:22:24
  [run 1/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.57
2                       2.57
4                       2.58
8                       2.55
16                      2.56
32                      2.63
64                      2.59
128                     3.11
256                     3.37
512                     3.58
1024                    3.85
2048                    3.91
4096                    4.06
8192                    4.28
16384                   4.78
32768                   8.48
65536                   9.85
131072                 12.57
262144                 17.98
524288                 28.78
1048576                50.37
2097152                93.50
4194304               179.89
  [run 2/6] recording - 18:22:25
  [run 2/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.53
2                       2.53
4                       2.55
8                       2.53
16                      2.53
32                      2.57
64                      2.54
