VARIANT=noidc  NODE_A=nid005023  NODE_B=nid005024
############### EESSI STACK  variant=noidc  (SDMA=0) ###############
[variant=noidc] OSU_MEM='D D'  IDC_DISABLE=1  INJECT=default

################################################################
# [eessi variant=noidc] inter_GCD0_GCD0  GCD(0,0)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 13:29:55
  [run 1/6] done in 21s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.17
2                       3.18
4                       3.20
8                       3.20
16                      3.19
32                      3.17
64                      3.19
128                     3.22
256                     3.23
512                     3.31
1024                    3.44
2048                    3.60
4096                    3.56
8192                    6.94
16384                   7.34
32768                   8.14
65536                   9.49
131072                 12.27
262144                 17.63
524288                 28.49
1048576                50.16
2097152                93.27
4194304               179.63
  [run 2/6] recording - 13:30:17
  [run 2/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.16
2                       3.20
4                       3.16
8                       3.17
16                      3.17
32                      3.17
64                      3.17
128                     3.20
256                     3.23
512                     3.34
1024                    3.42
2048                    3.62
4096                    3.56
8192                    7.00
16384                   7.36
32768                   8.14
65536                   9.52
131072                 15.84
262144                 17.64
524288                 28.49
1048576                50.08
2097152                93.24
4194304               179.62
  [run 3/6] recording - 13:30:20
  [run 3/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.24
2                       3.23
4                       3.21
8                       3.20
16                      3.21
32                      3.21
64                      3.22
128                     3.23
256                     3.26
512                     3.40
1024                    3.53
2048                    3.87
4096                    3.88
8192                    6.92
16384                   7.37
32768                   8.15
65536                   9.48
131072                 12.27
262144                 17.65
524288                 28.48
1048576                50.10
2097152                93.23
4194304               179.66
  [run 4/6] recording - 13:30:24
  [run 4/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.20
2                       3.21
4                       3.20
8                       3.20
16                      3.19
32                      3.20
64                      3.23
128                     3.24
256                     3.25
512                     3.35
1024                    3.37
2048                    3.49
4096                    3.56
8192                    7.04
16384                   7.37
32768                   8.16
65536                   9.49
131072                 12.25
262144                 17.64
524288                 28.50
1048576                50.13
2097152                93.27
4194304               179.65
  [run 5/6] recording - 13:30:28
  [run 5/6] done in 5s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.17
2                       3.18
4                       3.17
8                       3.16
16                      3.20
32                      3.17
64                      3.17
128                     3.20
256                     3.24
512                     3.34
1024                    3.46
2048                    3.62
4096                    3.57
8192                    6.95
16384                   7.36
32768                   8.14
65536                   9.48
131072                 12.24
262144                 17.62
524288                 28.48
1048576                50.13
2097152                93.27
4194304               179.66
  [run 6/6] recording - 13:30:32
  [run 6/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.75
2                       3.18
4                       3.17
8                       3.17
16                      3.18
32                      3.17
64                      3.18
128                     3.20
256                     3.23
512                     3.39
1024                    3.39
2048                    3.50
4096                    3.57
8192                    7.06
16384                   7.35
32768                   8.14
65536                   9.51
131072                 12.23
262144                 17.60
524288                 28.47
1048576                50.11
2097152                93.24
4194304               179.66

################################################################
# [eessi variant=noidc] inter_GCD7_GCD7  GCD(7,7)  nic=nic_local
################################################################
  [run 1/6] warm-up - 13:30:36
  [run 1/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.94
2                       2.91
4                       2.92
8                       2.91
16                      2.91
32                      2.92
64                      2.92
128                     2.94
256                     2.96
512                     3.03
1024                    3.18
2048                    3.37
4096                    3.46
8192                    6.38
16384                   6.88
32768                   7.72
65536                   9.05
131072                 11.86
262144                 17.29
524288                 28.13
1048576                49.85
2097152                93.07
4194304               179.52
  [run 2/6] recording - 13:30:40
  [run 2/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.93
2                       2.92
4                       2.94
8                       2.92
16                      2.95
32                      2.92
64                      2.93
128                     2.93
256                     2.95
512                     3.03
1024                    3.11
2048                    3.29
4096                    3.33
8192                    6.57
16384                   6.87
32768                   7.73
65536                   9.09
131072                 11.85
262144                 17.27
524288                 28.14
1048576                49.86
2097152                93.07
4194304               179.48
  [run 3/6] recording - 13:30:44
  [run 3/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.93
2                       2.94
4                       2.91
8                       2.92
16                      2.93
32                      2.93
64                      2.95
128                     2.96
256                     2.97
512                     3.01
1024                    3.14
2048                    3.16
4096                    3.36
8192                    6.63
16384                   6.89
32768                   7.72
65536                   9.10
131072                 11.85
262144                 17.30
524288                 28.17
1048576                49.86
2097152                93.07
4194304               179.65
  [run 4/6] recording - 13:30:48
  [run 4/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.95
