stack,sdma_enabled,pair_label,node_a,node_b,gcd_a,gcd_b,hop_class,nic_class,run,size_bytes,latency_us
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,1,3.15
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,2,3.18
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,4,3.15
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,8,3.13
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,16,3.17
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,32,3.14
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,64,3.17
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,128,3.19
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,256,3.25
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,512,3.33
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,1024,3.52
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,2048,3.61
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,4096,3.55
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,8192,6.86
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,16384,7.32
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,32768,8.07
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,65536,9.46
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,131072,12.24
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,262144,17.59
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,524288,28.41
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,1048576,50.07
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,2097152,93.32
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,2,4194304,180.01
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,1,6.86
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,2,3.18
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,4,3.15
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,8,3.15
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,16,3.16
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,32,3.14
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,64,3.16
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,128,3.18
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,256,3.23
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,512,3.30
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,1024,3.59
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,2048,3.57
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,4096,3.71
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,8192,6.89
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,16384,7.32
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,32768,8.07
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,65536,9.49
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,131072,12.18
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,262144,17.54
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,524288,28.37
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,1048576,50.05
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,2097152,93.31
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,3,4194304,179.95
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,1,3.19
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,2,3.19
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,4,3.18
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,8,3.17
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,16,3.21
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,32,3.18
eessi,0,inter_GCD0_GCD0,nid007974,nid007975,0,0,inter_node,nic_via_xgmi,4,64,3.20
