VARIANT=noidc_noinject  NODE_A=nid007974  NODE_B=nid007975
############### EESSI STACK  variant=noidc_noinject  (SDMA=0) ###############
[variant=noidc_noinject] OSU_MEM='D D'  IDC_DISABLE=1  INJECT=0

################################################################
# [eessi variant=noidc_noinject] inter_GCD0_GCD0  GCD(0,0)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 13:29:55
  [run 1/6] done in 21s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.16
2                       3.15
4                       3.15
8                       3.13
16                      3.16
32                      3.15
64                      6.76
128                     3.23
256                     3.23
512                     3.34
1024                    3.41
2048                    3.88
4096                    3.54
8192                    6.83
16384                   7.34
32768                   8.07
65536                   9.47
131072                 12.19
262144                 17.56
524288                 28.43
1048576                50.09
2097152                93.34
4194304               179.99
  [run 2/6] recording - 13:30:17
  [run 2/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.15
2                       3.18
4                       3.15
8                       3.13
16                      3.17
32                      3.14
64                      3.17
128                     3.19
256                     3.25
512                     3.33
1024                    3.52
2048                    3.61
4096                    3.55
8192                    6.86
16384                   7.32
32768                   8.07
65536                   9.46
131072                 12.24
262144                 17.59
524288                 28.41
1048576                50.07
2097152                93.32
4194304               180.01
  [run 3/6] recording - 13:30:20
  [run 3/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.86
2                       3.18
4                       3.15
8                       3.15
16                      3.16
32                      3.14
64                      3.16
128                     3.18
256                     3.23
512                     3.30
1024                    3.59
2048                    3.57
4096                    3.71
8192                    6.89
16384                   7.32
32768                   8.07
65536                   9.49
131072                 12.18
262144                 17.54
524288                 28.37
1048576                50.05
2097152                93.31
4194304               179.95
  [run 4/6] recording - 13:30:24
  [run 4/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.19
2                       3.19
4                       3.18
8                       3.17
16                      3.21
32                      3.18
64                      3.20
128                     3.23
256                     3.25
512                     3.30
1024                    3.48
2048                    3.74
4096                    3.54
8192                    6.81
16384                   7.30
32768                  11.95
65536                   9.45
131072                 12.20
262144                 17.54
524288                 28.39
1048576                50.03
2097152                93.33
4194304               179.99
  [run 5/6] recording - 13:30:28
  [run 5/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.17
2                       3.18
4                       3.18
8                       3.21
16                      3.21
32                      3.17
64                      3.19
128                     3.25
256                     3.29
512                     3.38
1024                    3.44
2048                    3.63
4096                    3.56
8192                    6.91
16384                   7.33
32768                   8.07
65536                   9.46
131072                 12.20
262144                 17.59
524288                 28.39
1048576                50.04
2097152                93.31
4194304               179.95
  [run 6/6] recording - 13:30:32
  [run 6/6] done in 4s

