benchmark,num_gcds,run,size_bytes,latency_us
osu_allreduce,2,2,4,0.40
osu_allreduce,2,2,8,0.43
osu_allreduce,2,2,16,0.41
osu_allreduce,2,2,32,0.41
osu_allreduce,2,2,64,0.42
osu_allreduce,2,2,128,0.44
osu_allreduce,2,2,256,2.56
osu_allreduce,2,2,512,2.62
osu_allreduce,2,2,1024,2.76
osu_allreduce,2,2,2048,2.56
osu_allreduce,2,2,4096,3.66
osu_allreduce,2,2,8192,21.35
osu_allreduce,2,2,16384,23.09
osu_allreduce,2,2,32768,27.50
osu_allreduce,2,2,65536,36.87
osu_allreduce,2,2,131072,61.35
osu_allreduce,2,2,262144,64.54
osu_allreduce,2,2,524288,71.72
osu_allreduce,2,2,1048576,76.21
osu_allreduce,2,3,4,0.41
osu_allreduce,2,3,8,0.42
osu_allreduce,2,3,16,0.42
osu_allreduce,2,3,32,0.43
osu_allreduce,2,3,64,0.43
osu_allreduce,2,3,128,0.44
osu_allreduce,2,3,256,2.57
osu_allreduce,2,3,512,2.62
osu_allreduce,2,3,1024,2.71
osu_allreduce,2,3,2048,2.51
osu_allreduce,2,3,4096,3.58
osu_allreduce,2,3,8192,22.51
osu_allreduce,2,3,16384,27.14
osu_allreduce,2,3,32768,30.09
osu_allreduce,2,3,65536,39.03
osu_allreduce,2,3,131072,60.00
osu_allreduce,2,3,262144,64.06
osu_allreduce,2,3,524288,72.15
osu_allreduce,2,3,1048576,77.69
osu_allreduce,2,4,4,0.42
osu_allreduce,2,4,8,0.42
osu_allreduce,2,4,16,0.42
osu_allreduce,2,4,32,0.43
osu_allreduce,2,4,64,0.43
osu_allreduce,2,4,128,0.44
osu_allreduce,2,4,256,2.54
osu_allreduce,2,4,512,2.63
osu_allreduce,2,4,1024,2.69
osu_allreduce,2,4,2048,2.53
osu_allreduce,2,4,4096,3.74
osu_allreduce,2,4,8192,22.91
osu_allreduce,2,4,16384,24.09
osu_allreduce,2,4,32768,28.67
osu_allreduce,2,4,65536,38.52
osu_allreduce,2,4,131072,61.33
osu_allreduce,2,4,262144,64.73
osu_allreduce,2,4,524288,71.09
osu_allreduce,2,4,1048576,76.59
osu_allreduce,2,5,4,0.41
osu_allreduce,2,5,8,0.42
osu_allreduce,2,5,16,0.42
osu_allreduce,2,5,32,0.42
osu_allreduce,2,5,64,0.43
osu_allreduce,2,5,128,0.45
osu_allreduce,2,5,256,2.52
osu_allreduce,2,5,512,2.58
osu_allreduce,2,5,1024,2.72
osu_allreduce,2,5,2048,2.49
osu_allreduce,2,5,4096,3.66
osu_allreduce,2,5,8192,21.38
osu_allreduce,2,5,16384,23.28
osu_allreduce,2,5,32768,28.19
osu_allreduce,2,5,65536,37.59
osu_allreduce,2,5,131072,61.59
osu_allreduce,2,5,262144,65.10
osu_allreduce,2,5,524288,71.19
osu_allreduce,2,5,1048576,76.74
osu_allreduce,2,6,4,0.41
osu_allreduce,2,6,8,0.43
osu_allreduce,2,6,16,0.42
osu_allreduce,2,6,32,0.42
osu_allreduce,2,6,64,0.43
osu_allreduce,2,6,128,0.44
osu_allreduce,2,6,256,2.51
osu_allreduce,2,6,512,2.60
osu_allreduce,2,6,1024,2.72
osu_allreduce,2,6,2048,2.49
osu_allreduce,2,6,4096,3.66
osu_allreduce,2,6,8192,22.18
osu_allreduce,2,6,16384,26.88
osu_allreduce,2,6,32768,30.57
