Using OSU collective binaries from: /users/joglekar/osu-native/osu-micro-benchmarks-7.5/c/mpi/collective/blocking

################################################################
# osu_allreduce  N=2 GCDs   devices=0,1
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       0.40
8                       0.43
16                      0.41
32                      0.41
64                      0.42
128                     0.44
256                     2.56
512                     2.62
1024                    2.76
2048                    2.56
4096                    3.66
8192                   21.35
16384                  23.09
32768                  27.50
65536                  36.87
131072                 61.35
262144                 64.54
524288                 71.72
1048576                76.21
  [run 3/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       0.41
8                       0.42
16                      0.42
32                      0.43
64                      0.43
128                     0.44
256                     2.57
512                     2.62
1024                    2.71
2048                    2.51
4096                    3.58
8192                   22.51
16384                  27.14
32768                  30.09
65536                  39.03
131072                 60.00
262144                 64.06
524288                 72.15
1048576                77.69
  [run 4/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       0.42
8                       0.42
16                      0.42
32                      0.43
64                      0.43
128                     0.44
256                     2.54
512                     2.63
1024                    2.69
2048                    2.53
4096                    3.74
8192                   22.91
16384                  24.09
32768                  28.67
65536                  38.52
131072                 61.33
262144                 64.73
524288                 71.09
1048576                76.59
  [run 5/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       0.41
8                       0.42
16                      0.42
32                      0.42
64                      0.43
128                     0.45
256                     2.52
512                     2.58
1024                    2.72
2048                    2.49
4096                    3.66
8192                   21.38
16384                  23.28
32768                  28.19
65536                  37.59
131072                 61.59
262144                 65.10
524288                 71.19
1048576                76.74
  [run 6/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       0.41
8                       0.43
16                      0.42
32                      0.42
64                      0.43
128                     0.44
256                     2.51
512                     2.60
1024                    2.72
2048                    2.49
4096                    3.66
8192                   22.18
16384                  26.88
32768                  30.57
65536                  40.09
131072                 60.87
262144                 64.81
524288                 71.69
1048576                78.36

################################################################
# osu_allreduce  N=4 GCDs   devices=0,1,2,3
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       0.55
8                       0.52
16                      0.53
32                      0.53
64                      0.54
128                     0.57
256                     3.73
512                     3.92
1024                    3.82
