Using OSU collective binaries from: /users/joglekar/osu-native/osu-micro-benchmarks-7.5/c/mpi/collective/blocking

################################################################
# osu_allreduce  N=2 GCDs   devices=0,1
################################################################
  [run 1/6] warm-up starting
  [run 2/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.37
2                       0.38
4                       0.39
8                       0.38
16                      0.38
32                      0.40
64                      0.41
128                     0.43
256                     1.54
512                     1.56
1024                    3.36
2048                    3.42
4096                    3.56
8192                   24.24
16384                  24.29
32768                  24.32
65536                  26.30
131072                 27.03
262144                 30.53
524288                 37.91
1048576                43.62
  [run 3/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.37
2                       0.38
4                       0.38
8                       0.38
16                      0.38
32                      0.39
64                      0.41
128                     0.43
256                     1.53
512                     1.56
1024                    3.37
2048                    3.43
4096                    3.52
8192                   23.74
16384                  23.57
32768                  23.62
65536                  24.91
131072                 26.48
262144                 29.87
524288                 38.26
1048576                42.38
  [run 4/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.37
2                       0.38
4                       0.38
8                       0.39
16                      0.37
32                      0.39
64                      0.41
128                     0.42
256                     1.53
512                     1.56
1024                    3.39
2048                    3.43
4096                    3.56
8192                   24.37
16384                  25.07
32768                  25.92
65536                  26.78
131072                 28.43
262144                 29.91
524288                 37.29
1048576                42.32
  [run 5/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.37
2                       0.38
4                       0.38
8                       0.37
16                      0.37
32                      0.39
64                      0.40
128                     0.42
256                     1.56
512                     1.59
1024                    3.42
2048                    3.47
4096                    3.56
8192                   23.29
16384                  24.03
32768                  24.06
65536                  25.26
131072                 27.06
262144                 30.17
524288                 37.82
1048576                42.06
  [run 6/6] recording

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.37
2                       0.39
4                       0.38
8                       0.42
16                      0.45
32                      0.40
64                      0.41
128                     0.42
256                     1.52
512                     1.56
1024                    3.38
2048                    3.44
4096                    3.52
8192                   23.86
16384                  23.12
