
################################################################
# intra_pkg_OAM0   GCD(0,1)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.47
2                       8.87
4                      17.77
8                      35.32
16                     70.77
32                    137.91
64                    270.20
128                   526.82
256                   522.66
512                   932.47
1024                  874.56
2048                 1734.16
4096                 3411.09
8192                 1478.12
16384                2975.14
32768                5889.99
65536               11539.00
131072              21978.38
262144              41361.54
524288              72457.23
1048576            115482.41
2097152            162783.96
4194304            202729.35
  [run 3] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.72
2                       9.46
4                      18.96
8                      37.70
16                     75.76
32                    146.18
64                    283.34
128                   551.38
256                   535.34
512                   946.69
1024                  886.98
2048                 1759.14
4096                 3460.34
8192                 1463.15
16384                2968.92
32768                5880.24
65536               11459.19
131072              21766.09
262144              41274.46
524288              72344.06
1048576            115479.67
2097152            163142.64
4194304            202445.87
  [run 4] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.60
2                       9.18
4                      18.39
8                      36.61
16                     73.21
32                    142.56
64                    275.75
128                   528.91
256                   532.87
512                   954.71
1024                  896.24
2048                 1773.25
4096                 3483.16
8192                 1478.56
16384                2960.37
32768                5883.68
65536               11435.76
131072              22002.14
262144              41193.13
524288              72236.27
1048576            115362.02
2097152            163445.21
4194304            202496.40
  [run 5] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.60
2                       9.11
4                      18.12
8                      36.38
16                     72.86
32                    140.91
64                    274.75
128                   532.13
256                   526.59
512                   943.56
1024                  887.13
2048                 1747.16
4096                 3436.46
8192                 1480.65
16384                2977.03
32768                5874.69
65536               11466.11
131072              21999.40
262144              41264.64
524288              72259.10
1048576            115556.12
2097152            163683.62
4194304            203174.73
  [run 6] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.62
2                       9.21
4                      18.22
8                      36.71
16                     72.89
32                    141.78
64                    274.56
128                   526.92
256                   528.53
512                   952.80
1024                  878.20
2048                 1741.76
4096                 3422.97
8192                 1464.67
16384                2959.92
32768                5861.16
65536               11442.41
131072              21783.77
262144              41166.77
524288              72205.51
1048576            114183.31
2097152            163263.11
4194304            202731.71

################################################################
# intra_pkg_OAM1   GCD(2,3)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.64
2                       9.16
4                      18.33
8                      36.43
16                     73.04
32                    141.47
64                    275.60
128                   530.56
256                   525.56
512                   941.09
1024                  885.11
2048                 1750.98
4096                 3437.43
8192                 1450.43
16384                2892.59
32768                5754.09
65536               11213.30
131072              21602.14
262144              40476.21
524288              71107.33
1048576            114461.08
2097152            161892.77
4194304            201386.07
  [run 3] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.60
2                       9.17
4                      18.19
8                      36.32
16                     72.54
32                    141.10
64                    274.38
128                   530.88
256                   524.52
512                   928.89
1024                  899.59
2048                 1785.68
4096                 3507.80
8192                 1449.90
16384                2898.45
32768                5753.04
65536               11245.30
131072              21554.45
262144              40391.52
524288              70979.21
1048576            113816.88
2097152            161007.77
4194304            201482.11
  [run 4] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.79
2                       9.40
4                      18.83
8                      37.67
16                     75.42
32                    145.46
64                    284.51
128                   542.55
256                   531.32
512                   958.44
1024                  891.05
2048                 1768.19
4096                 3472.06
8192                 1451.54
16384                2901.61
32768                5760.04
65536               11221.21
131072              21609.00
262144              40497.58
524288              71146.62
1048576            114531.55
2097152            162138.35
4194304            201481.28
  [run 5] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.59
2                       9.19
4                      18.31
8                      36.69
16                     73.20
32                    141.12
64                    276.23
128                   528.06
256                   504.20
512                   911.12
1024                  852.60
2048                 1694.51
4096                 3325.97
8192                 1448.23
16384                2899.74
32768                5754.17
65536               11262.48
131072              21604.66
262144              40484.97
524288              71067.54
1048576            114158.46
2097152            161954.77
4194304            201325.31
  [run 6] recording

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
