
################################################################
# intra_pkg_OAM0   GCD(0,1)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.60
2                       5.74
4                      10.99
8                      23.11
16                     47.53
32                     94.65
64                    171.32
128                   357.41
256                   430.99
512                   773.70
1024                  565.54
2048                 1130.95
4096                 2262.78
8192                  742.41
16384                1474.54
32768                2952.43
65536                5755.33
131072              11053.02
262144              20665.99
524288              36321.73
1048576             58495.63
2097152             82996.64
4194304            105380.63
  [run 3] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.01
2                       6.66
4                      13.41
8                      26.99
16                     55.86
32                    106.92
64                    205.86
128                   364.00
256                   442.55
512                   811.36
1024                  573.37
2048                 1149.90
4096                 2299.25
8192                  764.46
16384                1523.89
32768                3036.11
65536                5935.31
131072              11365.49
262144              21185.23
524288              37138.27
1048576             59683.72
2097152             84555.64
4194304            105882.52
  [run 4] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.64
2                       5.69
4                      11.77
8                      23.83
16                     47.60
32                     93.95
64                    184.55
128                   362.59
256                   427.52
512                   786.50
1024                  563.30
2048                 1128.52
4096                 2255.00
8192                  762.95
16384                1521.46
32768                3044.84
65536                5923.65
131072              11385.76
262144              21174.80
524288              37200.71
1048576             59553.95
2097152             84372.59
4194304            106072.48
  [run 5] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.76
2                       6.33
4                      12.42
8                      25.54
16                     48.58
32                     99.36
64                    181.18
128                   364.34
256                   421.93
512                   788.46
1024                  565.83
2048                 1133.40
4096                 2265.50
8192                  763.35
16384                1520.89
32768                3024.52
65536                5906.01
131072              11370.57
262144              21182.30
524288              37148.38
1048576             59661.08
2097152             84492.74
4194304            106376.69
  [run 6] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.68
2                       5.71
4                      11.94
8                      23.84
16                     48.85
32                     92.67
64                    168.28
128                   287.10
256                   430.56
512                   781.24
1024                  568.40
2048                 1137.09
4096                 2271.09
8192                  739.79
16384                1475.71
32768                2945.61
65536                5739.25
131072              11020.48
262144              20626.96
524288              36261.09
1048576             58492.36
2097152             83237.69
4194304            105354.10

################################################################
# intra_pkg_OAM1   GCD(2,3)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.67
2                       5.99
4                      14.77
8                      24.30
16                     49.00
32                     93.69
64                    185.87
128                   328.00
256                   427.80
512                   785.48
1024                  567.73
2048                 1146.57
4096                 2278.85
8192                  732.84
16384                1461.51
32768                2924.32
65536                5690.74
131072              10955.14
262144              20498.00
524288              36075.57
1048576             57670.43
2097152             82805.90
4194304            104597.09
  [run 3] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.68
