pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
intra_pkg_OAM0,0,1,intra_pkg,4,2,1,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,2,2,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,2,4,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,2,8,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,2,16,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,2,32,0.55
intra_pkg_OAM0,0,1,intra_pkg,4,2,64,0.63
intra_pkg_OAM0,0,1,intra_pkg,4,2,128,0.66
intra_pkg_OAM0,0,1,intra_pkg,4,2,256,1.10
intra_pkg_OAM0,0,1,intra_pkg,4,2,512,1.21
intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,2.55
intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,2.56
intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,2.56
intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,16.70
intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,16.65
intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,16.85
intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,17.02
intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,17.52
intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,18.41
intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,20.28
intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,23.65
intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,31.18
intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,46.08
intra_pkg_OAM0,0,1,intra_pkg,4,3,1,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,3,2,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,3,4,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,3,8,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,3,16,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,3,32,0.56
intra_pkg_OAM0,0,1,intra_pkg,4,3,64,0.61
intra_pkg_OAM0,0,1,intra_pkg,4,3,128,0.63
intra_pkg_OAM0,0,1,intra_pkg,4,3,256,1.12
intra_pkg_OAM0,0,1,intra_pkg,4,3,512,1.23
intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,2.51
intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,2.50
intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,2.53
intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,16.75
intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,16.89
intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,17.05
intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,17.11
intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,17.43
intra_pkg_OAM0,0,1,intra_pkg,4,3,262144,18.44
intra_pkg_OAM0,0,1,intra_pkg,4,3,524288,20.21
intra_pkg_OAM0,0,1,intra_pkg,4,3,1048576,23.61
intra_pkg_OAM0,0,1,intra_pkg,4,3,2097152,30.71
intra_pkg_OAM0,0,1,intra_pkg,4,3,4194304,45.83
intra_pkg_OAM0,0,1,intra_pkg,4,4,1,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,4,2,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,4,4,0.48
intra_pkg_OAM0,0,1,intra_pkg,4,4,8,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,4,16,0.49
intra_pkg_OAM0,0,1,intra_pkg,4,4,32,0.57
intra_pkg_OAM0,0,1,intra_pkg,4,4,64,0.63
intra_pkg_OAM0,0,1,intra_pkg,4,4,128,0.67
intra_pkg_OAM0,0,1,intra_pkg,4,4,256,1.12
intra_pkg_OAM0,0,1,intra_pkg,4,4,512,1.23
intra_pkg_OAM0,0,1,intra_pkg,4,4,1024,2.52
intra_pkg_OAM0,0,1,intra_pkg,4,4,2048,2.52
intra_pkg_OAM0,0,1,intra_pkg,4,4,4096,2.55
intra_pkg_OAM0,0,1,intra_pkg,4,4,8192,16.63
