
################################################################
# intra_pkg_OAM0   GCD(0,1)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.49
2                       0.49
4                       0.49
8                       0.49
16                      0.49
32                      0.55
64                      0.63
128                     0.66
256                     1.10
512                     1.21
1024                    2.55
2048                    2.56
4096                    2.56
8192                   16.70
16384                  16.65
32768                  16.85
65536                  17.02
131072                 17.52
262144                 18.41
524288                 20.28
1048576                23.65
2097152                31.18
4194304                46.08
  [run 3] recording

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.49
2                       0.49
4                       0.49
8                       0.49
16                      0.49
32                      0.56
64                      0.61
128                     0.63
256                     1.12
512                     1.23
1024                    2.51
2048                    2.50
4096                    2.53
8192                   16.75
16384                  16.89
32768                  17.05
65536                  17.11
131072                 17.43
262144                 18.44
524288                 20.21
1048576                23.61
2097152                30.71
4194304                45.83
  [run 4] recording

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.49
2                       0.49
4                       0.48
8                       0.49
16                      0.49
32                      0.57
64                      0.63
128                     0.67
256                     1.12
512                     1.23
1024                    2.52
2048                    2.52
4096                    2.55
8192                   16.63
16384                  16.63
32768                  16.71
65536                  17.09
131072                 17.47
262144                 18.23
524288                 20.14
1048576                23.52
2097152                30.72
4194304                45.78
  [run 5] recording

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.49
2                       0.49
4                       0.49
8                       0.49
16                      0.49
32                      0.57
64                      0.66
128                     0.73
256                     1.12
512                     1.23
1024                    2.52
2048                    2.53
4096                    2.56
8192                   16.89
16384                  16.85
32768                  16.99
65536                  17.18
131072                 17.53
262144                 18.55
524288                 20.36
1048576                23.97
2097152                30.91
4194304                46.04
  [run 6] recording

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.49
2                       0.49
4                       0.48
8                       0.48
16                      0.49
32                      0.56
64                      0.65
128                     0.70
256                     1.12
512                     1.26
1024                    2.57
2048                    2.57
4096                    2.59
8192                   16.68
16384                  16.67
32768                  16.73
65536                  16.96
131072                 17.70
262144                 18.58
524288                 20.36
1048576                23.65
2097152                30.75
4194304                45.94

################################################################
# intra_pkg_OAM1   GCD(2,3)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.48
2                       0.47
4                       0.47
8                       0.48
16                      0.48
32                      0.55
64                      0.63
128                     0.67
256                     1.10
512                     1.23
1024                    2.48
2048                    2.48
4096                    2.51
8192                   16.63
16384                  16.62
32768                  16.78
65536                  16.98
