stack,sdma_enabled,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,4.63
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,9.09
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,18.23
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,36.75
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,72.90
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,141.28
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,274.56
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,535.06
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,521.66
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,935.41
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,884.00
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,1777.54
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,3463.71
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,1879.24
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,3770.54
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,7145.51
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,13895.61
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,26118.86
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,45443.55
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,80991.86
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,120571.59
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,165084.60
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,228847.93
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,253099.50
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,270378.22
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,33554432,279042.85
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,67108864,282630.40
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,4.63
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,9.18
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,18.32
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,36.81
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,72.91
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,142.45
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,273.89
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,535.73
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,522.96
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,939.10
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,890.63
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,1766.33
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,3477.29
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,1878.68
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,3745.74
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,7071.10
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,13795.23
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,25921.65
