# === NATIVE / MPICH_GPU_IPC_THRESHOLD=8192 @ 2026-05-15T18:06:52+03:00 ===
# pair=(0,1) tier=intra_pkg_OAM0  HSA_ENABLE_SDMA=0
# OSU_FLAGS='-m 1:67108864 -i 100 -d rocm D D'

# ==== recorded run begin ====

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.82
2                       6.18
4                      12.78
8                      25.46
16                     51.95
32                     93.59
64                    195.68
128                   331.14
256                   422.29
512                   762.97
1024                 1322.69
2048                 1780.70
4096                 2931.44
8192                 1093.09
16384                2174.27
32768                4045.61
65536                7868.57
131072              14804.97
262144              23431.39
524288              41498.94
1048576             61624.64
2097152             85065.73
4194304            118046.78
8388608            132961.67
16777216           142588.31
33554432           147874.71
67108864           150291.55
# ==== recorded run end ====
