# === NATIVE / MPICH_GPU_IPC_THRESHOLD=DEFAULT @ 2026-05-15T18:06:23+03:00 ===
# pair=(0,1) tier=intra_pkg_OAM0  HSA_ENABLE_SDMA=0
# OSU_FLAGS='-m 1:67108864 -i 100 -d rocm D D'

# ==== recorded run begin ====

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.03
2                       6.80
4                      13.72
8                      27.11
16                     55.16
32                    105.56
64                    205.15
128                   299.26
256                   436.06
512                   789.68
1024                  591.98
2048                 1187.47
4096                 2324.92
8192                 1065.63
16384                2120.66
32768                3940.91
65536                7646.11
131072              14212.23
262144              22774.67
524288              40623.41
1048576             60654.71
2097152             84431.36
4194304            117929.88
8388608            132760.37
16777216           142276.62
33554432           147612.96
67108864           150174.77
# ==== recorded run end ====
