stack,sdma_enabled,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,2.99
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,5.91
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,12.66
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,26.00
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,52.01
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,104.15
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,202.59
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,411.33
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,30.81
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,61.64
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,120.50
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,238.14
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,486.59
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,924.14
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,1835.12
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,3478.21
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,6622.12
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,12182.14
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,21110.97
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,37577.18
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,57477.35
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,81957.73
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,115617.61
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,131226.69
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,141739.12
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,33554432,147471.66
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,67108864,149821.43
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,2.90
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,6.01
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,12.78
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,26.12
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,52.53
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,104.81
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,204.79
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,398.03
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,30.08
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,60.29
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,119.11
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,237.24
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,460.46
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,906.46
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,1798.48
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,3431.03
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,6670.29
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,12305.36
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,262144,21228.04
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,524288,37950.30
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1048576,57924.46
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2097152,82763.15
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4194304,116565.77
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8388608,131341.16
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16777216,141712.59
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,33554432,147215.91
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,67108864,149716.12
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,1,2.98
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,2,5.88
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,4,12.70
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,8,26.08
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,16,52.09
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,32,102.57
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,64,201.01
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,128,410.33
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,256,30.29
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,512,60.74
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,1024,121.28
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,2048,240.36
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,4096,483.76
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,8192,923.94
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,16384,1842.34
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,32768,3403.55
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,65536,6574.29
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,131072,12094.04
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,262144,21160.32
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,524288,37687.18
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,1048576,57621.71
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,2097152,81878.06
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,4194304,116072.04
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,8388608,131613.19
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,16777216,141645.85
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,33554432,147146.13
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,67108864,149743.61
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,1,2.96
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,2,5.78
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,4,12.64
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,8,25.93
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,16,51.77
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,32,103.81
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,64,207.34
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,128,410.73
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,256,30.26
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,512,60.37
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,1024,119.51
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,2048,239.03
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,4096,484.79
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,8192,935.68
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,16384,1860.47
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,32768,3298.22
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,65536,6441.63
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,131072,12156.14
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,262144,21134.83
