stack,sdma_enabled,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,3.02
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,6.10
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,12.95
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,26.64
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,53.42
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,93.21
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,189.76
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,386.63
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,795.18
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,42.76
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,120.51
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,241.18
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,482.30
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,926.41
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,1843.86
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,3437.51
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,6706.96
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,12282.74
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,21084.55
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,37753.22
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,57695.19
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,82276.76
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,116500.55
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,131906.06
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,141708.83
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,33554432,147689.21
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,67108864,150268.60
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,2.92
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,5.80
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,12.40
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,25.27
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,51.50
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,102.36
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,202.91
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,396.87
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,759.98
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,42.76
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,119.40
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,240.97
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,467.15
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,909.63
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,1808.03
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,3296.69
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,6514.97
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,12210.71
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,262144,21124.83
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,524288,37622.41
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1048576,57662.44
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2097152,82590.44
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4194304,116401.38
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8388608,131863.96
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16777216,141901.45
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,33554432,147569.58
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,67108864,149999.85
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,1,2.99
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,2,5.97
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,4,12.69
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,8,23.67
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,16,51.31
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,32,103.72
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,64,204.06
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,128,397.24
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,256,791.04
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,512,42.81
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,1024,121.17
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,2048,239.61
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,4096,478.40
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,8192,924.95
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,16384,1826.96
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,32768,3346.34
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,65536,6537.71
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,131072,12175.83
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,262144,21045.60
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,524288,37607.04
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,1048576,57517.07
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,2097152,81962.45
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,4194304,115556.52
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,8388608,131154.63
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,16777216,141642.37
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,33554432,147218.96
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,67108864,149737.21
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,1,2.99
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,2,5.99
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,4,12.81
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,8,26.17
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,16,52.77
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,32,105.11
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,64,209.41
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,128,385.39
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,256,799.00
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,512,42.82
