################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0 host_buf] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg
  [run 1/6] warm-up — 21:39:29
  [run 1/6] warm-up done in 48s
  [run 2/6] recording — 21:40:17
  [run 2/6] done in 44s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.39
2                      32.65
4                      66.48
8                     133.69
16                    267.77
32                    510.73
64                   1040.31
128                  1656.22
256                  2991.48
512                  5658.46
1024                10036.42
2048                15330.22
4096                16224.84
8192                27809.20
16384               33712.13
32768               38465.64
65536               44186.51
131072              46732.55
262144              44648.22
524288              37988.19
1048576             37766.40
2097152             38334.31
4194304             38373.22
8388608             37013.07
16777216            27161.99
33554432            15769.13
67108864            22254.03
  [run 3/6] recording — 21:41:01
  [run 3/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.78
2                      33.61
4                      68.48
8                     136.56
16                    273.60
32                    518.55
64                   1050.48
128                  1645.44
256                  3085.21
512                  5659.59
1024                10084.80
2048                15454.95
4096                16463.04
8192                27662.34
16384               33717.87
32768               39288.44
65536               44519.97
131072              48334.72
262144              41432.96
524288              37611.53
1048576             37893.25
2097152             37051.23
4194304             38087.60
8388608             37625.01
16777216            28341.86
33554432            16154.99
67108864            22304.95
  [run 4/6] recording — 21:41:44
  [run 4/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.62
2                      32.48
4                      66.30
8                     132.58
16                    267.03
32                    505.08
64                   1033.67
128                  1637.40
256                  2976.33
512                  5476.66
1024                 9967.59
2048                15436.14
4096                14459.69
8192                26619.91
16384               34306.51
32768               37048.59
65536               43752.96
131072              46977.28
262144              45738.67
524288              36673.24
1048576             37677.49
2097152             38096.92
4194304             38167.45
8388608             37876.00
16777216            27453.12
33554432            16110.78
67108864            22188.83
  [run 5/6] recording — 21:42:27
  [run 5/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.78
2                      32.80
4                      67.92
8                     135.70
16                    246.55
32                    516.21
64                   1053.71
128                  1552.21
256                  2990.00
512                  5580.05
1024                 9975.52
2048                15329.23
4096                16311.15
8192                27487.54
16384               34193.39
32768               37153.09
65536               44427.37
131072              48148.16
262144              43623.35
524288              37063.42
1048576             37881.60
2097152             38148.49
4194304             38076.91
8388608             38030.05
16777216            27083.87
33554432            15995.86
67108864            22280.37
  [run 6/6] recording — 21:43:10
  [run 6/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.88
2                      33.78
4                      67.24
8                     136.91
16                    273.71
32                    517.95
64                   1051.57
128                  1649.59
256                  3060.87
512                  5233.89
1024                 8858.93
2048                13915.44
4096                16383.01
8192                27573.37
16384               31838.24
32768               38875.66
65536               43307.98
131072              47654.02
262144              41963.77
524288              39669.91
1048576             37790.34
2097152             38278.62
4194304             38315.99
8388608             38148.80
16777216            27790.16
33554432            16167.66
67108864            22260.57

# [eessi sdma=0 host_buf] inter_pkg_2link_06  GCD(0,6) tier=inter_pkg_2link
  [run 1/6] warm-up — 21:43:53
  [run 1/6] warm-up done in 43s
  [run 2/6] recording — 21:44:36
  [run 2/6] done in 42s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      15.40
2                      32.95
4                      67.20
8                     134.48
16                    269.16
32                    494.65
64                   1011.18
128                  1413.61
256                  2650.77
512                  5029.08
1024                10072.59
2048                15154.25
4096                16206.28
8192                27626.41
16384               34211.96
32768               38010.12
65536               44342.90
131072              48079.02
262144              44389.20
524288              36770.51
1048576             37888.16
2097152             38302.75
4194304             38156.10
8388608             37184.76
16777216            28066.89
33554432            16187.54
67108864            22222.15
  [run 3/6] recording — 21:45:18
  [run 3/6] done in 43s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      16.58
2                      33.27
4                      67.75
8                     135.19
16                    271.49
32                    514.80
64                   1031.40
128                  1656.33
256                  3084.41
512                  5559.92
1024                 9920.08
2048                15023.30
4096                16164.88
8192                26733.51
16384               33862.75
32768               38598.91
65536               44153.64
131072              48347.47
262144              42339.53
524288              38189.88
1048576             38525.95
2097152             38800.86
4194304             38507.47
8388608             37703.41
16777216            28679.75
33554432            16218.00
67108864            22346.25
  [run 4/6] recording — 21:46:01
  [run 4/6] done in 43s

# OSU MPI Bandwidth Test v7.5
