################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0 host_buf] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg
  [run 1/6] warm-up — 21:39:23
  [run 1/6] warm-up done in 38s
  [run 2/6] recording — 21:40:01
  [run 2/6] done in 36s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.75
2                       5.94
4                      11.82
8                      23.48
16                     47.12
32                     95.85
64                    177.27
128                   289.46
256                   481.18
512                   865.49
1024                 2856.46
2048                 5563.64
4096                 9831.30
8192                15089.02
16384               23099.09
32768               29226.27
65536               37139.69
131072              43641.00
262144              42995.99
524288              37643.89
1048576             39400.03
2097152             40217.28
4194304             39427.92
8388608             39541.92
16777216            27975.71
33554432            24553.55
67108864            22138.66
  [run 3/6] recording — 21:40:37
  [run 3/6] done in 36s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.74
2                       5.88
4                      11.51
8                      23.19
16                     46.38
32                     93.49
64                    180.01
128                   351.10
256                   480.71
512                   876.95
1024                 2829.09
2048                 5503.42
4096                 9724.81
8192                15045.81
16384               22521.97
32768               29205.64
65536               37445.29
131072              44119.98
262144              42649.86
524288              35967.96
1048576             37662.25
2097152             38267.30
4194304             37060.93
8388608             37855.45
16777216            27134.35
33554432            24694.47
67108864            22191.87
  [run 4/6] recording — 21:41:13
  [run 4/6] done in 36s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.77
2                       5.95
4                      11.87
8                      23.61
16                     45.17
32                     95.01
64                    174.10
128                   276.85
256                   485.70
512                   881.75
1024                 2873.72
2048                 5642.21
4096                 9165.00
8192                15182.99
16384               23080.71
32768               29227.52
65536               37071.78
131072              42788.55
262144              40741.92
524288              36520.25
1048576             37636.18
2097152             38000.66
4194304             38055.44
8388608             38102.90
16777216            27348.77
33554432            24688.82
67108864            22489.08
  [run 5/6] recording — 21:41:49
  [run 5/6] done in 36s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.82
2                       6.14
4                      11.97
8                      23.90
16                     47.37
32                     97.10
64                    177.57
128                   294.29
256                   483.84
512                   880.58
1024                 2833.58
2048                 5506.04
4096                 9724.09
8192                15082.68
16384               22960.49
32768               29252.13
65536               37634.12
131072              43881.71
262144              43226.09
524288              37946.22
1048576             39714.49
2097152             40507.25
4194304             40870.39
8388608             40940.74
16777216            27820.04
33554432            24861.88
67108864            22195.65
  [run 6/6] recording — 21:42:25
  [run 6/6] done in 36s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.71
2                       6.07
4                      14.25
8                      23.50
16                     46.49
32                     95.97
64                    187.71
128                   348.87
256                   487.05
512                   885.74
1024                 2845.77
2048                 5572.12
4096                 9829.64
8192                15108.32
16384               22954.64
32768               29204.25
65536               37180.16
131072              43865.08
262144              42603.56
524288              36360.84
1048576             37703.87
2097152             38234.44
4194304             38143.42
8388608             38125.33
16777216            28288.69
33554432            24823.24
67108864            22192.94

# [native sdma=0 host_buf] inter_pkg_2link_06  GCD(0,6) tier=inter_pkg_2link
  [run 1/6] warm-up — 21:43:01
  [run 1/6] warm-up done in 36s
  [run 2/6] recording — 21:43:37
  [run 2/6] done in 36s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.86
2                       6.17
4                      12.27
8                      24.37
16                     53.34
32                    106.97
64                    180.87
128                   329.19
256                   490.44
512                   868.56
1024                 2838.58
2048                 5589.52
4096                 9911.22
8192                15074.89
16384               22508.93
32768               29079.87
65536               37464.12
131072              38173.90
262144              21903.64
524288              36502.37
1048576             37692.89
2097152             38283.57
4194304             37989.02
8388608             38115.05
16777216            29208.87
33554432            24834.90
67108864            21922.72
  [run 3/6] recording — 21:44:13
  [run 3/6] done in 35s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.03
2                       6.56
4                      12.94
8                      25.76
16                     51.02
32                    103.99
64                    200.55
128                   316.45
256                   495.05
512                   925.35
1024                 2953.12
2048                 5535.01
4096                10129.64
8192                15204.55
16384               23155.77
32768               28939.74
65536               37225.66
131072              43394.68
262144              43798.57
524288              37757.64
1048576             39455.62
2097152             40132.72
4194304             40499.98
8388608             40673.40
16777216            32681.93
33554432            24870.82
67108864            22576.32
  [run 4/6] recording — 21:44:48
  [run 4/6] done in 35s

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.96
2                       6.43
4                      12.88
8                      25.53
16                     50.57
32                    103.31
64                    189.05
128                   331.87
256                   495.22
512                   914.35
1024                 2958.89
2048                 5392.75
4096                10178.58
8192                15360.90
16384               23434.80
32768               29317.78
65536               35173.06
131072              38135.93
262144              43752.53
524288              36757.41
1048576             38147.62
2097152             38808.04
4194304             39073.72
8388608             38926.88
16777216            30267.66
33554432            24981.34
