################# NATIVE STACK #################
--- NATIVE / HSA_ENABLE_SDMA=0 ---

################################################################
# [native sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 20:20:12
  [run 1/6] warm-up done in 10s
  [run 2/6] recording — 20:20:22
  [run 2/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.80
2                       5.97
4                      12.35
8                      24.36
16                     49.54
32                    118.97
64                    185.86
128                   378.55
256                   441.58
512                   796.87
1024                  582.43
2048                 1174.52
4096                 2330.83
8192                 1058.70
16384                2115.05
32768                3938.66
65536                7651.67
131072              14295.34
262144              22932.17
524288              40760.67
1048576             60898.06
2097152             84735.18
4194304            117715.90
8388608            132692.37
16777216           142206.40
33554432           147556.11
67108864           150038.35
  [run 3/6] recording — 20:20:29
  [run 3/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.80
2                       6.16
4                      12.22
8                      25.06
16                     51.17
32                    104.08
64                    195.78
128                   336.53
256                   438.62
512                   775.60
1024                  579.52
2048                 1157.98
4096                 2317.94
8192                 1102.41
16384                2198.41
32768                4088.00
65536                7910.91
131072              14811.46
262144              23280.62
524288              41358.96
1048576             61416.24
2097152             85146.21
4194304            118354.72
8388608            133220.02
16777216           142669.79
33554432           148091.16
67108864           150444.87
  [run 4/6] recording — 20:20:36
  [run 4/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.87
2                       6.21
4                      12.50
8                      25.23
16                     50.27
32                     95.93
64                    194.07
128                   381.20
256                   439.28
512                   809.22
1024                  596.95
2048                 1196.74
4096                 2388.03
8192                 1063.26
16384                2119.47
32768                3966.86
65536                7703.64
131072              14362.95
262144              22835.67
524288              40586.54
1048576             60888.81
2097152             84938.14
4194304            117698.45
8388608            132502.39
16777216           142400.23
33554432           147901.63
67108864           150105.69
  [run 5/6] recording — 20:20:43
  [run 5/6] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.70
2                       5.82
4                      11.83
8                      23.63
16                     47.59
32                     93.21
64                    178.98
128                   359.77
256                   437.41
512                   779.26
1024                  590.59
2048                 1183.43
4096                 2366.85
8192                 1088.74
16384                2165.36
32768                4059.01
65536                7889.96
131072              14848.60
262144              23564.59
524288              41443.57
1048576             61707.11
2097152             85607.48
4194304            118125.43
8388608            132920.18
16777216           142843.30
33554432           148045.04
67108864           150242.39
  [run 6/6] recording — 20:20:51
  [run 6/6] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.73
2                       5.79
4                      11.87
8                      28.04
16                     47.51
32                     95.76
64                    167.31
128                   356.02
256                   434.69
512                   777.56
1024                  590.63
2048                 1174.94
4096                 2359.43
8192                 1093.51
16384                2178.37
32768                4064.19
65536                7879.05
131072              14725.92
262144              23391.68
524288              41627.84
1048576             61895.54
2097152             85706.26
4194304            118370.98
8388608            133051.30
16777216           142895.02
33554432           148337.56
67108864           150553.62

################################################################
# [native sdma=0] intra_pkg_OAM1  GCD(2,3) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 20:20:59
  [run 1/6] warm-up done in 8s
  [run 2/6] recording — 20:21:07
  [run 2/6] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.73
2                       5.81
4                      11.93
8                      23.04
16                     46.89
32                     95.25
64                    175.84
128                   361.35
256                   420.63
512                   762.06
1024                  567.09
2048                 1151.26
4096                 2291.50
8192                  982.41
16384                1953.92
32768                3657.41
65536                7119.03
131072              12945.92
262144              21830.73
524288              38934.38
1048576             58887.09
2097152             82960.54
4194304            116502.30
8388608            131831.85
16777216           141963.11
33554432           147405.19
67108864           149800.46
  [run 3/6] recording — 20:21:15
  [run 3/6] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.80
2                       6.12
4                      12.15
8                      24.84
16                     50.51
32                     98.72
64                    199.91
128                   324.12
256                   444.06
512                   800.23
1024                  570.39
2048                 1164.06
4096                 2312.04
8192                  948.95
16384                1880.72
32768                3388.71
65536                6593.21
131072              12421.53
262144              21439.86
524288              38252.99
1048576             58166.04
2097152             82810.64
4194304            116785.27
8388608            131714.64
16777216           141604.64
33554432           147407.42
67108864           149971.03
  [run 4/6] recording — 20:21:23
  [run 4/6] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.67
2                       5.69
4                      11.66
8                      22.81
16                     45.83
32                     96.04
64                    194.36
128                   373.39
256                   432.70
512                   776.53
1024                  586.29
2048                 1172.46
4096                 2345.40
8192                  984.51
16384                1967.42
32768                3670.57
65536                7060.92
131072              13127.88
262144              21804.02
524288              38893.48
1048576             58821.96
2097152             83288.40
4194304            117116.83
8388608            131879.18
16777216           141924.42
33554432           147513.21
67108864           149942.86
  [run 5/6] recording — 20:21:31
  [run 5/6] done in 8s

