########## NATIVE STACK (HSA_ENABLE_SDMA=0, baseline) ##########

# [native sdma=0 baseline] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg
  [run 1/6] warm-up — 02:23:58
  [run 1/6] warm-up done in 9s
  [run 2/6] recording — 02:24:07
  [run 2/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.89
2                       6.41
4                      12.99
8                      25.82
16                     51.92
32                    102.73
64                    195.62
128                   381.14
256                   435.65
512                   812.05
1024                  583.03
2048                 1166.53
4096                 2328.34
8192                 1054.59
16384                2103.21
32768                3933.77
65536                7635.99
131072              14352.87
262144              22900.86
524288              40786.96
1048576             61096.58
2097152             84881.64
4194304            117577.18
8388608            132394.17
16777216           142338.49
33554432           147779.88
67108864           150047.84
  [run 3/6] recording — 02:24:14
  [run 3/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.90
2                       6.32
4                      12.56
8                      25.46
16                     51.60
32                    119.03
64                    188.80
128                   383.88
256                   437.13
512                   804.70
1024                  586.77
2048                 1174.92
4096                 2352.84
8192                 1065.30
16384                2118.49
32768                3970.07
65536                7690.35
131072              14394.92
262144              22854.20
524288              40655.02
1048576             60909.55
2097152             85118.02
4194304            117822.97
8388608            132536.03
16777216           142562.32
33554432           147695.74
67108864           149985.69
  [run 4/6] recording — 02:24:21
  [run 4/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.91
2                       6.40
4                      12.96
8                      26.01
16                     52.47
32                    102.35
64                    190.96
128                   384.66
256                   433.97
512                   804.43
1024                  599.76
2048                 1202.33
4096                 2406.78
8192                 1062.76
16384                2117.52
32768                3925.54
65536                7633.06
131072              14425.01
262144              22883.81
524288              40703.55
1048576             61005.92
2097152             84990.86
4194304            117908.18
8388608            132612.58
16777216           142848.79
33554432           148052.51
67108864           150424.08
  [run 5/6] recording — 02:24:29
  [run 5/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.70
2                       5.83
4                      11.91
8                      23.95
16                     47.57
32                     91.51
64                    167.57
128                   362.65
256                   427.71
512                   789.92
1024                  588.52
2048                 1179.13
4096                 2361.80
8192                 1088.57
16384                2179.18
32768                4059.77
65536                7911.23
131072              14659.79
262144              23378.60
524288              41462.90
1048576             61646.37
2097152             85777.49
4194304            118385.98
8388608            133218.25
16777216           142925.89
33554432           148147.51
67108864           150421.60
  [run 6/6] recording — 02:24:36
  [run 6/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.69
2                       5.92
4                      11.85
8                      23.45
16                     49.12
32                     94.65
64                    192.95
128                   330.49
256                   430.32
512                   779.88
1024                  593.88
2048                 1186.39
4096                 2382.28
8192                 1092.40
16384                2173.50
32768                4047.96
65536                7854.14
131072              14801.65
262144              23316.94
524288              41389.41
1048576             61558.97
2097152             85452.39
4194304            118036.08
8388608            132873.66
16777216           142900.05
33554432           148111.07
67108864           150391.02
ALL BENCHMARKS COMPLETE  CSV=results/osu_bw_rndv_128_native_18639672.csv
