################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] osu_allreduce  N=2  devices=0,1
  [run 1/6] warm-up — 23:11:46
  [run 1/6] warm-up done in 14s
  [run 2/6] recording — 23:12:00
  [run 2/6] done in 3s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.44
8                       1.36
16                      1.27
32                      1.28
64                      1.38
128                     1.40
256                     1.33
512                    35.63
1024                   31.31
2048                   31.68
4096                   48.21
8192                   47.02
16384                  46.85
32768                  46.88
65536                  47.31
131072                 47.71
262144                 49.31
524288                 52.85
1048576                56.37
  [run 3/6] recording — 23:12:03
  [run 3/6] done in 4s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.30
8                       1.36
16                      1.32
32                      1.28
64                      1.37
128                     1.28
256                     1.28
512                    35.56
1024                   31.40
2048                   31.62
4096                   47.79
8192                   46.66
16384                  46.28
32768                  46.36
65536                  47.06
131072                 47.32
262144                 48.88
524288                 52.26
1048576                56.09
  [run 4/6] recording — 23:12:07
  [run 4/6] done in 3s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.32
8                       1.31
16                      1.27
32                      1.27
64                      1.27
128                     1.29
256                     1.30
512                    35.69
1024                   31.41
2048                   31.57
4096                   48.32
8192                   47.04
16384                  46.72
32768                  46.86
65536                  47.29
131072                 47.59
262144                 48.95
524288                 52.40
1048576                55.96
  [run 5/6] recording — 23:12:10
  [run 5/6] done in 4s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.32
8                       1.35
16                      1.29
32                      1.31
64                      1.32
128                     1.29
256                     1.32
512                    35.85
1024                   31.73
2048                   31.94
4096                   47.76
8192                   47.26
16384                  47.10
32768                  47.18
65536                  48.21
131072                 48.06
262144                 49.50
524288                 53.13
1048576                56.81
  [run 6/6] recording — 23:12:14
  [run 6/6] done in 3s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.33
8                       1.35
16                      1.27
32                      1.29
64                      1.27
128                     1.29
256                     1.30
512                    35.73
1024                   31.42
2048                   31.62
4096                   47.93
8192                   46.83
16384                  46.67
32768                  47.13
65536                  47.15
131072                 47.45
262144                 49.06
524288                 52.48
1048576                55.99

# [eessi sdma=0] osu_allreduce  N=4  devices=0,1,2,3
  [run 1/6] warm-up — 23:12:17
  [run 1/6] warm-up done in 4s
  [run 2/6] recording — 23:12:21
  [run 2/6] done in 3s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.74
8                       2.65
16                      2.67
32                      2.74
64                      2.61
128                     2.82
256                     2.83
512                    44.30
1024                   44.69
2048                   45.42
4096                  102.09
8192                  100.39
16384                 100.83
32768                 107.42
65536                 101.72
131072                103.56
262144                106.47
524288                113.84
1048576               126.12
  [run 3/6] recording — 23:12:24
  [run 3/6] done in 4s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.75
8                       2.66
16                      2.74
32                      2.63
64                      2.64
128                     2.66
256                     2.73
512                    44.68
1024                   44.69
2048                   45.75
4096                  105.02
8192                  102.61
16384                 103.06
32768                 109.79
65536                 104.03
131072                105.72
262144                109.06
524288                116.30
1048576               128.72
  [run 4/6] recording — 23:12:28
  [run 4/6] done in 4s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.77
8                       2.72
16                      2.68
32                      2.67
64                      2.85
128                     2.71
256                     2.71
512                    44.80
1024                   44.73
2048                   45.73
4096                  106.41
8192                  103.83
16384                 104.13
32768                 109.53
65536                 105.28
131072                107.25
262144                111.18
524288                117.92
1048576               129.83
  [run 5/6] recording — 23:12:32
  [run 5/6] done in 3s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.76
8                       2.67
16                      2.62
32                      2.82
64                      2.65
128                     2.66
256                     2.66
512                    46.01
1024                   45.87
2048                   47.00
4096                  103.61
8192                  102.19
16384                 102.19
32768                 109.24
65536                 103.13
131072                104.53
262144                108.10
524288                115.14
1048576               127.55
  [run 6/6] recording — 23:12:35
  [run 6/6] done in 4s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.76
8                       2.70
16                      2.66
32                      2.61
64                      2.63
128                     2.65
256                     2.67
512                    44.81
1024                   45.15
2048                   46.26
4096                  105.94
8192                  104.72
16384                 104.17
32768                 111.98
65536                 105.66
131072                107.75
262144                110.11
524288                117.36
1048576               129.61

# [eessi sdma=0] osu_allreduce  N=8  devices=0,1,2,3,4,5,6,7
  [run 1/6] warm-up — 23:12:39
  [run 1/6] warm-up done in 4s
  [run 2/6] recording — 23:12:43
  [run 2/6] done in 5s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.73
8                       4.57
16                      4.53
32                      4.50
64                      4.60
128                     4.70
256                    47.23
512                    84.29
1024                   86.45
2048                   86.23
4096                  164.22
8192                  166.03
16384                 163.14
32768                 162.94
65536                 163.79
131072                166.37
262144                170.89
524288                180.91
1048576               197.13
  [run 3/6] recording — 23:12:48
  [run 3/6] done in 4s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.88
8                       4.67
16                      4.66
32                      4.69
64                      4.60
128                     4.70
256                    47.77
512                    85.22
1024                   87.10
2048                   86.93
4096                  166.95
8192                  167.47
16384                 164.04
32768                 164.03
65536                 164.39
131072                166.79
262144                171.35
524288                181.61
1048576               197.58
  [run 4/6] recording — 23:12:52
  [run 4/6] done in 4s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.77
8                       4.70
16                      4.63
32                      4.63
64                      4.66
128                     4.94
256                    47.45
512                    84.74
1024                   87.19
2048                   86.55
4096                  164.62
8192                  167.10
16384                 163.36
32768                 163.58
65536                 164.04
131072                166.52
262144                170.88
524288                180.93
1048576               197.48
  [run 5/6] recording — 23:12:56
  [run 5/6] done in 5s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.81
8                       4.73
16                      4.70
32                      4.61
64                      4.70
128                     4.67
256                    47.63
512                    85.00
1024                   87.82
2048                   86.94
4096                  165.79
8192                  167.59
16384                 164.35
32768                 164.14
65536                 165.18
131072                167.46
262144                171.80
524288                182.28
1048576               198.27
  [run 6/6] recording — 23:13:01
  [run 6/6] done in 4s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.73
8                       4.60
16                      4.54
32                      4.55
64                      4.56
128                     4.65
256                    47.22
512                    85.16
1024                   87.45
2048                   87.31
4096                  166.25
8192                  167.42
16384                 164.19
32768                 163.95
65536                 164.80
131072                167.37
262144                171.55
524288                181.61
1048576               198.18

# [eessi sdma=0] osu_alltoall  N=2  devices=0,1
  [run 1/6] warm-up — 23:13:05
  [run 1/6] warm-up done in 3s
  [run 2/6] recording — 23:13:08
  [run 2/6] done in 3s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.68
2                       1.59
4                       1.53
8                       1.54
16                      1.54
32                      1.54
64                      1.54
128                     1.60
256                     1.60
512                    24.85
1024                   28.90
2048                   28.67
4096                   13.87
8192                   14.60
16384                  14.89
32768                  15.66
65536                  16.98
131072                 20.31
262144                 37.36
524288                 61.93
1048576                42.80
  [run 3/6] recording — 23:13:11
  [run 3/6] done in 4s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.61
2                       1.61
4                       1.53
8                       1.53
16                      1.54
32                      1.53
64                      1.57
128                     1.56
256                     1.57
512                    24.77
1024                   28.53
2048                   28.16
4096                   13.90
8192                   14.76
16384                  14.93
32768                  15.76
65536                  17.15
131072                 20.17
262144                 37.31
524288                 61.63
1048576                42.95
  [run 4/6] recording — 23:13:15
  [run 4/6] done in 3s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.66
2                       1.58
4                       1.52
8                       1.52
16                      1.52
32                      1.52
64                      1.52
128                     1.54
256                     1.56
512                    24.88
1024                   28.34
2048                   28.69
4096                   14.25
8192                   14.88
16384                  14.78
32768                  15.59
65536                  16.38
131072                 21.55
262144                 38.14
524288                 62.12
1048576                42.29
  [run 5/6] recording — 23:13:18
  [run 5/6] done in 3s

# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5
